#wave flux
3400.0 0.50249
3401.5 0.61021
3403.0 0.63588
3404.5 0.43519
3406.0 0.84432
3407.5 0.63535
3409.0 0.67879
3410.5 0.51498
3412.0 0.76024
3413.5 0.44837
3415.0 0.44326
3416.5 0.4724
3418.0 0.60338
3419.5 0.81504
3421.0 0.60941
3422.5 0.48999
3424.0 0.5584
3425.5 0.64366
3427.0 0.73492
3428.5 0.59624
3430.0 0.72215
3431.5 0.74433
3433.0 0.69593
3434.5 0.47593
3436.0 0.33978
3437.5 0.6612
3439.0 0.42147
3440.5 0.46714
3442.0 0.39016
3443.5 0.68113
3445.0 0.20904
3446.5 0.34123
3448.0 0.77906
3449.5 0.56287
3451.0 0.45799
3452.5 0.71422
3454.0 0.60091
3455.5 0.90751
3457.0 0.5257
3458.5 0.49602
3460.0 0.6419
3461.5 0.5954
3463.0 0.45983
3464.5 0.45266
3466.0 0.57351
3467.5 0.33209
3469.0 0.4256
3470.5 0.65734
3472.0 0.58248
3473.5 0.48241
3475.0 0.33707
3476.5 0.46687
3478.0 0.45758
3479.5 0.40614
3481.0 0.23656
3482.5 0.42218
3484.0 0.19404
3485.5 0.47735
3487.0 0.5677
3488.5 0.71952
3490.0 0.67826
3491.5 0.40059
3493.0 0.27318
3494.5 0.37112
3496.0 0.49413
3497.5 0.53908
3499.0 0.423
3500.5 0.68805
3502.0 0.59278
3503.5 0.60661
3505.0 0.50337
3506.5 0.46236
3508.0 0.35282
3509.5 0.55005
3511.0 0.56967
3512.5 0.42627
3514.0 0.88362
3515.5 0.58426
3517.0 0.47524
3518.5 0.66498
3520.0 0.57882
3521.5 0.40907
3523.0 0.56974
3524.5 0.60834
3526.0 0.6442
3527.5 0.69471
3529.0 0.71496
3530.5 0.54835
3532.0 0.43448
3533.5 0.59955
3535.0 0.35998
3536.5 0.26952
3538.0 0.51238
3539.5 0.56459
3541.0 0.59006
3542.5 0.62176
3544.0 0.58759
3545.5 0.46145
3547.0 0.60653
3548.5 0.47515
3550.0 0.33555
3551.5 0.23842
3553.0 0.39774
3554.5 0.54429
3556.0 0.45077
3557.5 0.36846
3559.0 0.56694
3560.5 0.65864
3562.0 0.37938
3563.5 0.40106
3565.0 0.33179
3566.5 0.48916
3568.0 0.5753
3569.5 0.54931
3571.0 0.59213
3572.5 0.51724
3574.0 0.49549
3575.5 0.49381
3577.0 0.50033
3578.5 0.41355
3580.0 0.55495
3581.5 0.38602
3583.0 0.48701
3584.5 0.6376
3586.0 0.48916
3587.5 0.48245
3589.0 0.49461
3590.5 0.30508
3592.0 0.46027
3593.5 0.49718
3595.0 0.62774
3596.5 0.56461
3598.0 0.50939
3599.5 0.48266
3601.0 0.44555
3602.5 0.3368
3604.0 0.37285
3605.5 0.44558
3607.0 0.51187
3608.5 0.45514
3610.0 0.36765
3611.5 0.46255
3613.0 0.3015
3614.5 0.27036
3616.0 0.35444
3617.5 0.5587
3619.0 0.59547
3620.5 0.50464
3622.0 0.42598
3623.5 0.40447
3625.0 0.68166
3626.5 0.47582
3628.0 0.41343
3629.5 0.47159
3631.0 0.53811
3632.5 0.54447
3634.0 0.56185
3635.5 0.42452
3637.0 0.23592
3638.5 0.3571
3640.0 0.4776
3641.5 0.49812
3643.0 0.42976
3644.5 0.49513
3646.0 0.59812
3647.5 0.45324
3649.0 0.44101
3650.5 0.42509
3652.0 0.58749
3653.5 0.73531
3655.0 0.49506
3656.5 0.36599
3658.0 0.58725
3659.5 0.37471
3661.0 0.31514
3662.5 0.58875
3664.0 0.32815
3665.5 0.42141
3667.0 0.53249
3668.5 0.47359
3670.0 0.44985
3671.5 0.36487
3673.0 0.50279
3674.5 0.41728
3676.0 0.53274
3677.5 0.40954
3679.0 0.47107
3680.5 0.55732
3682.0 0.66255
3683.5 0.51334
3685.0 0.52997
3686.5 0.52768
3688.0 0.49087
3689.5 0.648
3691.0 0.51701
3692.5 0.37905
3694.0 0.50721
3695.5 0.50339
3697.0 0.4455
3698.5 0.37497
3700.0 0.35165
3701.5 0.58869
3703.0 0.46953
3704.5 0.49571
3706.0 0.44749
3707.5 0.36347
3709.0 0.50028
3710.5 0.51359
3712.0 0.57074
3713.5 0.56143
3715.0 0.4957
3716.5 0.40556
3718.0 0.30509
3719.5 0.32599
3721.0 0.44847
3722.5 0.47104
3724.0 0.50702
3725.5 0.48318
3727.0 0.49816
3728.5 0.16594
3730.0 0.2674
3731.5 0.48448
3733.0 0.44634
3734.5 0.2993
3736.0 0.53378
3737.5 0.47244
3739.0 0.45845
3740.5 0.5874
3742.0 0.46977
3743.5 0.39808
3745.0 0.39974
3746.5 0.43416
3748.0 0.50847
3749.5 0.52252
3751.0 0.48812
3752.5 0.49007
3754.0 0.46316
3755.5 0.44839
3757.0 0.48369
3758.5 0.39018
3760.0 0.41878
3761.5 0.53991
3763.0 0.45992
3764.5 0.54267
3766.0 0.59096
3767.5 0.37105
3769.0 0.53046
3770.5 0.7212
3772.0 0.55999
3773.5 0.35613
3775.0 0.54656
3776.5 0.53403
3778.0 0.50881
3779.5 0.56456
3781.0 0.59593
3782.5 0.44483
3784.0 0.51095
3785.5 0.63014
3787.0 0.55803
3788.5 0.48792
3790.0 0.47111
3791.5 0.59885
3793.0 0.45954
3794.5 0.48138
3796.0 0.60062
3797.5 0.50815
3799.0 0.45106
3800.5 0.4566
3802.0 0.41166
3803.5 0.41047
3805.0 0.4503
3806.5 0.41108
3808.0 0.43307
3809.5 0.63906
3811.0 0.5422
3812.5 0.41833
3814.0 0.52342
3815.5 0.52898
3817.0 0.42662
3818.5 0.46563
3820.0 0.51903
3821.5 0.52477
3823.0 0.53897
3824.5 0.48573
3826.0 0.57955
3827.5 0.38095
3829.0 0.45271
3830.5 0.60227
3832.0 0.52959
3833.5 0.51962
3835.0 0.55008
3836.5 0.50344
3838.0 0.40621
3839.5 0.56989
3841.0 0.59941
3842.5 0.70398
3844.0 0.55427
3845.5 0.61781
3847.0 0.58682
3848.5 0.5784
3850.0 0.57834
3851.5 0.52433
3853.0 0.55159
3854.5 0.6943
3856.0 0.55472
3857.5 0.63285
3859.0 0.66593
3860.5 0.49098
3862.0 0.52657
3863.5 0.5709
3865.0 0.50215
3866.5 0.63531
3868.0 0.71139
3869.5 0.66631
3871.0 0.66629
3872.5 0.66204
3874.0 0.59821
3875.5 0.71568
3877.0 0.74673
3878.5 0.51914
3880.0 0.65021
3881.5 0.79512
3883.0 0.78149
3884.5 0.73495
3886.0 0.7526
3887.5 0.81089
3889.0 0.73112
3890.5 0.68343
3892.0 0.67337
3893.5 0.65829
3895.0 0.64796
3896.5 0.63986
3898.0 0.50626
3899.5 0.60453
3901.0 0.57306
3902.5 0.59605
3904.0 0.65342
3905.5 0.6322
3907.0 0.58457
3908.5 0.55826
3910.0 0.52541
3911.5 0.50855
3913.0 0.63021
3914.5 0.44921
3916.0 0.50831
3917.5 0.51444
3919.0 0.37735
3920.5 0.44113
3922.0 0.48628
3923.5 0.50755
3925.0 0.52458
3926.5 0.37291
3928.0 0.40845
3929.5 0.52971
3931.0 0.44389
3932.5 0.38086
3934.0 0.42027
3935.5 0.41776
3937.0 0.49579
3938.5 0.44877
3940.0 0.54855
3941.5 0.53256
3943.0 0.3649
3944.5 0.37821
3946.0 0.41058
3947.5 0.46278
3949.0 0.46623
3950.5 0.44896
3952.0 0.45439
3953.5 0.38872
3955.0 0.53206
3956.5 0.38776
3958.0 0.37726
3959.5 0.32692
3961.0 0.38191
3962.5 0.42684
3964.0 0.45708
3965.5 0.36705
3967.0 0.43219
3968.5 0.42485
3970.0 0.4618
3971.5 0.31187
3973.0 0.40973
3974.5 0.46535
3976.0 0.37637
3977.5 0.44832
3979.0 0.37423
3980.5 0.30006
3982.0 0.2613
3983.5 0.32651
3985.0 0.37892
3986.5 0.54565
3988.0 0.416
3989.5 0.30478
3991.0 0.48317
3992.5 0.51401
3994.0 0.39712
3995.5 0.52979
3997.0 0.37464
3998.5 0.30101
4000.0 0.26903
4001.5 0.37764
4003.0 0.27616
4004.5 0.30359
4006.0 0.33254
4007.5 0.23698
4009.0 0.32591
4010.5 0.37472
4012.0 0.39624
4013.5 0.36231
4015.0 0.40606
4016.5 0.3253
4018.0 0.35976
4019.5 0.34754
4021.0 0.40696
4022.5 0.41018
4024.0 0.4827
4025.5 0.35534
4027.0 0.30105
4028.5 0.395
4030.0 0.33679
4031.5 0.43237
4033.0 0.50175
4034.5 0.49099
4036.0 0.27406
4037.5 0.32935
4039.0 0.41764
4040.5 0.58222
4042.0 0.4339
4043.5 0.30335
4045.0 0.34766
4046.5 0.41777
4048.0 0.24642
4049.5 0.31369
4051.0 0.39408
4052.5 0.389
4054.0 0.32912
4055.5 0.36166
4057.0 0.34725
4058.5 0.43084
4060.0 0.46832
4061.5 0.46229
4063.0 0.41737
4064.5 0.32585
4066.0 0.32209
4067.5 0.31645
4069.0 0.41702
4070.5 0.42188
4072.0 0.33898
4073.5 0.3482
4075.0 0.40497
4076.5 0.37582
4078.0 0.26905
4079.5 0.20691
4081.0 0.30721
4082.5 0.32167
4084.0 0.32633
4085.5 0.38145
4087.0 0.45213
4088.5 0.35289
4090.0 0.25524
4091.5 0.34498
4093.0 0.36187
4094.5 0.41472
4096.0 0.41705
4097.5 0.36867
4099.0 0.2632
4100.5 0.28014
4102.0 0.28794
4103.5 0.36715
4105.0 0.3805
4106.5 0.3503
4108.0 0.43127
4109.5 0.48687
4111.0 0.45844
4112.5 0.39629
4114.0 0.39201
4115.5 0.35509
4117.0 0.4362
4118.5 0.37533
4120.0 0.35518
4121.5 0.45551
4123.0 0.32231
4124.5 0.31766
4126.0 0.38628
4127.5 0.44011
4129.0 0.43512
4130.5 0.39179
4132.0 0.43763
4133.5 0.48544
4135.0 0.34093
4136.5 0.19447
4138.0 0.31908
4139.5 0.41102
4141.0 0.36811
4142.5 0.33308
4144.0 0.46407
4145.5 0.32306
4147.0 0.40825
4148.5 0.45326
4150.0 0.39102
4151.5 0.27266
4153.0 0.41261
4154.5 0.30194
4156.0 0.33877
4157.5 0.32665
4159.0 0.2809
4160.5 0.28444
4162.0 0.37043
4163.5 0.3492
4165.0 0.3903
4166.5 0.41044
4168.0 0.41042
4169.5 0.30517
4171.0 0.49017
4172.5 0.51038
4174.0 0.37359
4175.5 0.25712
4177.0 0.28158
4178.5 0.37072
4180.0 0.38296
4181.5 0.47674
4183.0 0.28705
4184.5 0.39291
4186.0 0.48584
4187.5 0.3536
4189.0 0.42875
4190.5 0.51353
4192.0 0.4295
4193.5 0.38712
4195.0 0.40275
4196.5 0.42324
4198.0 0.38663
4199.5 0.37093
4201.0 0.40746
4202.5 0.41731
4204.0 0.39011
4205.5 0.42575
4207.0 0.34815
4208.5 0.45067
4210.0 0.48868
4211.5 0.4238
4213.0 0.48696
4214.5 0.43745
4216.0 0.4018
4217.5 0.349
4219.0 0.37614
4220.5 0.35025
4222.0 0.33543
4223.5 0.33551
4225.0 0.33446
4226.5 0.42687
4228.0 0.42371
4229.5 0.29762
4231.0 0.44126
4232.5 0.31928
4234.0 0.33696
4235.5 0.38587
4237.0 0.43965
4238.5 0.43118
4240.0 0.37663
4241.5 0.35212
4243.0 0.43419
4244.5 0.45654
4246.0 0.50654
4247.5 0.46397
4249.0 0.45646
4250.5 0.41014
4252.0 0.24553
4253.5 0.28405
4255.0 0.39265
4256.5 0.35655
4258.0 0.49132
4259.5 0.39158
4261.0 0.26569
4262.5 0.28008
4264.0 0.34702
4265.5 0.28262
4267.0 0.34538
4268.5 0.40093
4270.0 0.29913
4271.5 0.24784
4273.0 0.38159
4274.5 0.40108
4276.0 0.38605
4277.5 0.43653
4279.0 0.41067
4280.5 0.34507
4282.0 0.23937
4283.5 0.27051
4285.0 0.38029
4286.5 0.3482
4288.0 0.4084
4289.5 0.3531
4291.0 0.35583
4292.5 0.33551
4294.0 0.29527
4295.5 0.32447
4297.0 0.40414
4298.5 0.32932
4300.0 0.29299
4301.5 0.34945
4303.0 0.36045
4304.5 0.26179
4306.0 0.33973
4307.5 0.27672
4309.0 0.31322
4310.5 0.26711
4312.0 0.31231
4313.5 0.3433
4315.0 0.281
4316.5 0.39191
4318.0 0.38575
4319.5 0.21153
4321.0 0.33979
4322.5 0.37214
4324.0 0.29587
4325.5 0.31144
4327.0 0.34268
4328.5 0.32047
4330.0 0.31717
4331.5 0.23462
4333.0 0.27177
4334.5 0.41485
4336.0 0.30637
4337.5 0.1751
4339.0 0.35523
4340.5 0.34325
4342.0 0.33796
4343.5 0.38714
4345.0 0.29987
4346.5 0.2628
4348.0 0.41174
4349.5 0.37098
4351.0 0.29667
4352.5 0.29517
4354.0 0.43183
4355.5 0.21106
4357.0 0.31546
4358.5 0.74081
4360.0 0.09125
4361.5 0.34901
4363.0 0.41645
4364.5 0.51518
4366.0 0.40837
4367.5 0.27654
4369.0 0.28323
4370.5 0.27591
4372.0 0.41718
4373.5 0.37044
4375.0 0.42338
4376.5 0.35198
4378.0 0.39569
4379.5 0.39955
4381.0 0.34939
4382.5 0.32722
4384.0 0.36863
4385.5 0.34418
4387.0 0.24196
4388.5 0.25466
4390.0 0.36803
4391.5 0.38231
4393.0 0.33439
4394.5 0.29099
4396.0 0.20623
4397.5 0.26883
4399.0 0.40639
4400.5 0.43063
4402.0 0.33433
4403.5 0.25268
4405.0 0.31812
4406.5 0.33374
4408.0 0.31407
4409.5 0.25002
4411.0 0.28493
4412.5 0.36573
4414.0 0.28461
4415.5 0.30404
4417.0 0.28583
4418.5 0.37178
4420.0 0.35027
4421.5 0.32215
4423.0 0.29522
4424.5 0.24049
4426.0 0.31711
4427.5 0.30449
4429.0 0.34143
4430.5 0.38371
4432.0 0.38117
4433.5 0.2678
4435.0 0.36132
4436.5 0.25503
4438.0 0.25909
4439.5 0.23689
4441.0 0.33874
4442.5 0.29987
4444.0 0.39031
4445.5 0.29322
4447.0 0.37576
4448.5 0.36863
4450.0 0.27928
4451.5 0.32206
4453.0 0.3037
4454.5 0.2689
4456.0 0.2834
4457.5 0.29678
4459.0 0.29019
4460.5 0.30167
4462.0 0.31725
4463.5 0.28021
4465.0 0.31853
4466.5 0.26845
4468.0 0.25884
4469.5 0.26661
4471.0 0.22786
4472.5 0.32076
4474.0 0.26273
4475.5 0.27366
