#wave flux
3400.0 0.07592
3401.53 0.0949
3403.06 0.15879
3404.59 0.14714
3406.12 0.17599
3407.65 0.24319
3409.18 0.2396
3410.71 0.19878
3412.24 0.26765
3413.77 0.32384
3415.3 0.29988
3416.83 0.29544
3418.36 0.51113
3419.89 0.41719
3421.42 0.42989
3422.95 0.4115
3424.48 0.42558
3426.01 0.61794
3427.54 0.51205
3429.07 0.49764
3430.6 0.58445
3432.13 0.61116
3433.66 0.65529
3435.19 0.68522
3436.72 0.59728
3438.25 0.66285
3439.78 0.80806
3441.31 0.77056
3442.84 0.55269
3444.37 0.85788
3445.9 0.68939
3447.43 0.45532
3448.96 0.45156
3450.49 0.68338
3452.02 0.75192
3453.55 0.60776
3455.08 0.59705
3456.61 0.57004
3458.14 0.70533
3459.67 1.0062
3461.2 0.86958
3462.73 0.5845
3464.26 0.57735
3465.79 0.81499
3467.32 0.67656
3468.85 0.61201
3470.38 0.80504
3471.91 0.67527
3473.44 0.76453
3474.97 0.56661
3476.5 0.5899
3478.03 0.73853
3479.56 0.88592
3481.09 0.82047
3482.62 0.72177
3484.15 0.4538
3485.68 0.94128
3487.21 0.99826
3488.74 1.0045
3490.27 0.96788
3491.8 0.98462
3493.33 0.88028
3494.86 1.0005
3496.39 0.82786
3497.92 0.93565
3499.45 0.76574
3500.98 0.57765
3502.51 0.92582
3504.04 0.96327
3505.57 0.82375
3507.1 0.89371
3508.63 0.91607
3510.16 0.74025
3511.69 0.75318
3513.22 0.811
3514.75 0.70973
3516.28 0.56507
3517.81 0.70199
3519.34 0.74391
3520.87 0.77994
3522.4 0.78066
3523.93 0.67128
3525.46 0.79365
3526.99 0.66831
3528.52 0.77063
3530.05 0.62841
3531.58 0.72792
3533.11 0.7049
3534.64 0.66656
3536.17 0.64289
3537.7 0.94768
3539.23 0.75041
3540.76 0.53942
3542.29 0.71997
3543.82 0.63417
3545.35 0.60369
3546.88 0.54965
3548.41 0.60835
3549.94 0.4656
3551.47 0.65407
3553.0 0.81391
3554.53 0.50174
3556.06 0.39776
3557.59 0.432
3559.12 0.43292
3560.65 0.37073
3562.18 0.59489
3563.71 0.52065
3565.24 0.61088
3566.77 0.74495
3568.3 0.72308
3569.83 0.54713
3571.36 0.4361
3572.89 0.45944
3574.42 0.52848
3575.95 0.56677
3577.48 0.49087
3579.01 0.60004
3580.54 0.6465
3582.07 0.57268
3583.6 0.50976
3585.13 0.51271
3586.66 0.55625
3588.19 0.53932
3589.72 0.5273
3591.25 0.58338
3592.78 0.56861
3594.31 0.48931
3595.84 0.48852
3597.37 0.55332
3598.9 0.56909
3600.43 0.43146
3601.96 0.43259
3603.49 0.52951
3605.02 0.4336
3606.55 0.49975
3608.08 0.46775
3609.61 0.4377
3611.14 0.3906
3612.67 0.36545
3614.2 0.46065
3615.73 0.45432
3617.26 0.49146
3618.79 0.4122
3620.32 0.42193
3621.85 0.42196
3623.38 0.29354
3624.91 0.27987
3626.44 0.38941
3627.97 0.35775
3629.5 0.31155
3631.03 0.3964
3632.56 0.42994
3634.09 0.36353
3635.62 0.47095
3637.15 0.33109
3638.68 0.26894
3640.21 0.31041
3641.74 0.34208
3643.27 0.48592
3644.8 0.49136
3646.33 0.39807
3647.86 0.37956
3649.39 0.34983
3650.92 0.29809
3652.45 0.43206
3653.98 0.46944
3655.51 0.39376
3657.04 0.34428
3658.57 0.41453
3660.1 0.3749
3661.63 0.38546
3663.16 0.33896
3664.69 0.3429
3666.22 0.40489
3667.75 0.33781
3669.28 0.35174
3670.81 0.35888
3672.34 0.32459
3673.87 0.37982
3675.4 0.41969
3676.93 0.42521
3678.46 0.37647
3679.99 0.51636
3681.52 0.4091
3683.05 0.37411
3684.58 0.39276
3686.11 0.36151
3687.64 0.35344
3689.17 0.27014
3690.7 0.34437
3692.23 0.41032
3693.76 0.36186
3695.29 0.35987
3696.82 0.39813
3698.35 0.41873
3699.88 0.45423
3701.41 0.36764
3702.94 0.20569
3704.47 0.34724
3706.0 0.44736
3707.53 0.33822
3709.06 0.32917
3710.59 0.33642
3712.12 0.32336
3713.65 0.33557
3715.18 0.36742
3716.71 0.35255
3718.24 0.35468
3719.77 0.40937
3721.3 0.3528
3722.83 0.35386
3724.36 0.46813
3725.89 0.37221
3727.42 0.34704
3728.95 0.3054
3730.48 0.36361
3732.01 0.30596
3733.54 0.34984
3735.07 0.3637
3736.6 0.33659
3738.13 0.33922
3739.66 0.50594
3741.19 0.46235
3742.72 0.3256
3744.25 0.33194
3745.78 0.42069
3747.31 0.33263
3748.84 0.3325
3750.37 0.35882
3751.9 0.28089
3753.43 0.39824
3754.96 0.41659
3756.49 0.39057
3758.02 0.38386
3759.55 0.46654
3761.08 0.46625
3762.61 0.46966
3764.14 0.42118
3765.67 0.33866
3767.2 0.40836
3768.73 0.40145
3770.26 0.44646
3771.79 0.43421
3773.32 0.412
3774.85 0.44455
3776.38 0.47412
3777.91 0.41737
3779.44 0.4963
3780.97 0.50955
3782.5 0.48453
3784.03 0.50306
3785.56 0.44306
3787.09 0.38314
3788.62 0.45293
3790.15 0.45508
3791.68 0.38647
3793.21 0.33648
3794.74 0.319
3796.27 0.38103
3797.8 0.41477
3799.33 0.44998
3800.86 0.50352
3802.39 0.46981
3803.92 0.50355
3805.45 0.41959
3806.98 0.43657
3808.51 0.50289
3810.04 0.46438
3811.57 0.4784
3813.1 0.49496
3814.63 0.49784
3816.16 0.48546
3817.69 0.43217
3819.22 0.5066
3820.75 0.52804
3822.28 0.50068
3823.81 0.44216
3825.34 0.49789
3826.87 0.53088
3828.4 0.50936
3829.93 0.42117
3831.46 0.37212
3832.99 0.38377
3834.52 0.41558
3836.05 0.44492
3837.58 0.41784
3839.11 0.40517
3840.64 0.41015
3842.17 0.53826
3843.7 0.51888
3845.23 0.49178
3846.76 0.52134
3848.29 0.57005
3849.82 0.54316
3851.35 0.48802
3852.88 0.48111
3854.41 0.55099
3855.94 0.57618
3857.47 0.50076
3859.0 0.5187
3860.53 0.48493
3862.06 0.41388
3863.59 0.45882
3865.12 0.49061
3866.65 0.46441
3868.18 0.50808
3869.71 0.51335
3871.24 0.52392
3872.77 0.48278
3874.3 0.3788
3875.83 0.45152
3877.36 0.50923
3878.89 0.48824
3880.42 0.49036
3881.95 0.49497
3883.48 0.45001
3885.01 0.44723
3886.54 0.39574
3888.07 0.41003
3889.6 0.47068
3891.13 0.4857
3892.66 0.51988
3894.19 0.5061
3895.72 0.50499
3897.25 0.54987
3898.78 0.5305
3900.31 0.52119
3901.84 0.50483
3903.37 0.5077
3904.9 0.60352
3906.43 0.52026
3907.96 0.45598
3909.49 0.49484
3911.02 0.4567
3912.55 0.46918
3914.08 0.5144
3915.61 0.57777
3917.14 0.52924
3918.67 0.47894
3920.2 0.3837
3921.73 0.40088
3923.26 0.48451
3924.79 0.51691
3926.32 0.48941
3927.85 0.41577
3929.38 0.46307
3930.91 0.4383
3932.44 0.4014
3933.97 0.42771
3935.5 0.4622
3937.03 0.46432
3938.56 0.46986
3940.09 0.481
3941.62 0.48357
3943.15 0.4013
3944.68 0.40681
3946.21 0.4203
3947.74 0.52211
3949.27 0.5279
3950.8 0.45872
3952.33 0.47971
3953.86 0.41208
3955.39 0.35271
3956.92 0.42266
3958.45 0.38305
3959.98 0.39382
3961.51 0.37046
3963.04 0.3078
3964.57 0.29944
3966.1 0.2965
3967.63 0.32321
3969.16 0.31283
3970.69 0.41671
3972.22 0.35071
3973.75 0.40369
3975.28 0.43146
3976.81 0.43713
3978.34 0.40497
3979.87 0.43561
3981.4 0.40137
3982.93 0.40347
3984.46 0.34486
3985.99 0.36754
3987.52 0.3982
3989.05 0.34211
3990.58 0.43087
3992.11 0.37122
3993.64 0.4081
3995.17 0.45309
3996.7 0.38729
3998.23 0.37137
3999.76 0.43252
4001.29 0.38015
4002.82 0.28867
4004.35 0.35268
4005.88 0.36421
4007.41 0.37285
4008.94 0.47084
4010.47 0.41133
4012.0 0.34155
4013.53 0.40011
4015.06 0.36916
4016.59 0.35876
4018.12 0.37318
4019.65 0.41497
4021.18 0.3881
4022.71 0.34539
4024.24 0.32354
4025.77 0.39359
4027.3 0.40325
4028.83 0.43738
4030.36 0.43084
4031.89 0.327
4033.42 0.32131
4034.95 0.39956
4036.48 0.37972
4038.01 0.30517
4039.54 0.30992
4041.07 0.33719
4042.6 0.34944
4044.13 0.35774
4045.66 0.39693
4047.19 0.39437
4048.72 0.28219
4050.25 0.32143
4051.78 0.33593
4053.31 0.42055
4054.84 0.40888
4056.37 0.422
4057.9 0.31199
4059.43 0.36669
4060.96 0.38441
4062.49 0.31285
4064.02 0.32478
4065.55 0.37217
4067.08 0.30273
4068.61 0.31141
4070.14 0.34125
4071.67 0.35043
4073.2 0.36383
4074.73 0.35495
4076.26 0.24536
4077.79 0.29524
4079.32 0.29752
4080.85 0.3259
4082.38 0.2577
4083.91 0.35141
4085.44 0.28973
4086.97 0.23963
4088.5 0.28859
4090.03 0.37242
4091.56 0.32386
4093.09 0.334
4094.62 0.30645
4096.15 0.33207
4097.68 0.32604
4099.21 0.27563
4100.74 0.29866
4102.27 0.3053
4103.8 0.29201
4105.33 0.31961
4106.86 0.32223
4108.39 0.34749
4109.92 0.36294
