#wave flux
3400.0 0.0662
3401.53 0.10427
3403.06 0.16277
3404.59 0.16855
3406.12 0.1879
3407.65 0.15758
3409.18 0.21885
3410.71 0.24766
3412.24 0.30008
3413.77 0.33054
3415.3 0.41953
3416.83 0.45545
3418.36 0.40682
3419.89 0.38607
3421.42 0.35334
3422.95 0.44286
3424.48 0.5003
3426.01 0.70634
3427.54 0.54107
3429.07 0.51552
3430.6 0.55655
3432.13 0.60693
3433.66 0.85124
3435.19 0.85845
3436.72 0.87225
3438.25 0.77911
3439.78 0.74218
3441.31 0.78107
3442.84 0.88682
3444.37 0.7885
3445.9 0.66135
3447.43 0.5728
3448.96 0.78962
3450.49 0.74698
3452.02 0.79685
3453.55 0.60913
3455.08 0.68332
3456.61 0.71562
3458.14 0.64846
3459.67 0.7086
3461.2 0.59144
3462.73 0.59642
3464.26 0.58809
3465.79 0.53174
3467.32 0.65198
3468.85 0.6164
3470.38 0.62398
3471.91 0.6217
3473.44 0.71198
3474.97 0.66641
3476.5 0.7772
3478.03 0.63346
3479.56 0.71858
3481.09 0.72047
3482.62 0.58521
3484.15 0.94876
3485.68 0.68792
3487.21 0.6115
3488.74 0.82748
3490.27 0.64029
3491.8 0.76249
3493.33 0.49456
3494.86 0.77893
3496.39 0.74735
3497.92 0.70619
3499.45 0.61673
3500.98 0.6302
3502.51 0.74144
3504.04 0.58895
3505.57 0.57667
3507.1 0.42079
3508.63 0.61007
3510.16 0.69092
3511.69 0.65681
3513.22 0.58342
3514.75 0.57386
3516.28 0.49176
3517.81 0.42112
3519.34 0.5929
3520.87 0.65525
3522.4 0.69092
3523.93 0.66193
3525.46 0.54927
3526.99 0.66368
3528.52 0.72112
3530.05 0.56413
3531.58 0.57184
3533.11 0.59499
3534.64 0.58531
3536.17 0.62187
3537.7 0.63423
3539.23 0.49618
3540.76 0.53912
3542.29 0.42728
3543.82 0.47078
3545.35 0.39073
3546.88 0.60246
3548.41 0.69107
3549.94 0.60048
3551.47 0.48451
3553.0 0.53359
3554.53 0.61646
3556.06 0.53718
3557.59 0.47472
3559.12 0.56216
3560.65 0.41875
3562.18 0.44626
