#wave flux
3400.0 0.46632
3401.53 0.71284
3403.06 0.77813
3404.59 0.7054
3406.12 0.76019
3407.65 0.81155
3409.18 0.75862
3410.71 1.4643
3412.24 0.81001
3413.77 1.01487
3415.3 1.09928
3416.83 1.34361
3418.36 2.20239
3419.89 2.38656
3421.42 2.43933
3422.95 1.2489
3424.48 2.46778
3426.01 2.57077
3427.54 1.91854
3429.07 2.92472
3430.6 1.59853
3432.13 1.9168
3433.66 2.29375
3435.19 3.09067
3436.72 1.96537
3438.25 1.9558
3439.78 2.92137
3441.31 2.23419
3442.84 2.394
3444.37 2.35553
3445.9 3.2152
3447.43 2.65898
3448.96 3.03818
3450.49 2.45602
3452.02 1.36361
3453.55 1.58301
3455.08 1.23278
3456.61 1.40135
3458.14 2.70472
3459.67 2.13055
3461.2 1.79999
3462.73 2.72225
3464.26 2.11701
3465.79 2.48616
3467.32 2.20304
3468.85 2.49174
3470.38 2.68766
3471.91 2.73979
3473.44 1.71118
3474.97 2.09451
3476.5 2.2514
3478.03 2.6993
3479.56 2.21318
3481.09 2.65312
3482.62 4.49594
3484.15 2.95297
3485.68 2.70443
3487.21 3.223
3488.74 2.93858
3490.27 3.4742
3491.8 2.76007
3493.33 2.7614
3494.86 4.11047
3496.39 2.94396
3497.92 3.14582
3499.45 3.24906
3500.98 2.56309
3502.51 2.18894
3504.04 2.63162
3505.57 3.65591
3507.1 2.50927
3508.63 2.32009
3510.16 1.62148
3511.69 1.93422
3513.22 2.91757
3514.75 1.65166
3516.28 2.14853
3517.81 2.48628
3519.34 2.34139
3520.87 1.58079
3522.4 2.0981
3523.93 1.93616
3525.46 1.84024
3526.99 2.05414
3528.52 2.26789
3530.05 2.23039
3531.58 2.72492
3533.11 2.80169
3534.64 2.40293
3536.17 3.26397
3537.7 2.34333
3539.23 1.50875
3540.76 1.36337
3542.29 1.51137
3543.82 1.7945
3545.35 1.87604
3546.88 1.62156
3548.41 1.98743
3549.94 2.40317
3551.47 2.71825
3553.0 2.3464
3554.53 1.90493
3556.06 1.91588
3557.59 2.06174
3559.12 2.45925
3560.65 1.83232
3562.18 1.95317
3563.71 1.64027
3565.24 1.11742
3566.77 1.60128
3568.3 2.00226
3569.83 2.11629
3571.36 1.84545
3572.89 1.97483
3574.42 1.59077
3575.95 2.31335
3577.48 2.21403
3579.01 1.60358
3580.54 1.56818
3582.07 1.80524
3583.6 1.94675
3585.13 1.53275
3586.66 1.87858
3588.19 1.69587
3589.72 1.30377
3591.25 1.83284
3592.78 1.79397
3594.31 1.66112
3595.84 1.69534
3597.37 1.5519
3598.9 1.42535
3600.43 1.51525
3601.96 1.17653
3603.49 1.51319
3605.02 1.18332
3606.55 1.2645
3608.08 1.32377
3609.61 1.14413
3611.14 1.58515
3612.67 1.60657
3614.2 2.07738
3615.73 1.50139
3617.26 1.49372
3618.79 1.19787
3620.32 1.28296
