#wave flux
4900.0 1.02358
4901.2002 2.56158
4902.3999 2.30028
4903.6001 1.30258
4904.7998 1.75769
4906.0 1.40374
4907.2002 2.76771
4908.3999 1.93676
4909.6001 2.99957
4910.7998 2.429
4912.0 2.05392
4913.2002 1.45661
4914.3999 1.35473
4915.6001 1.69894
4916.7998 2.06804
4918.0 2.2311
4919.2002 2.33236
4920.3999 2.23858
4921.6001 1.95701
4922.7998 1.8924
4924.0 1.31296
4925.2002 1.20897
4926.3999 1.94814
4927.6001 0.29511
4928.7998 0.89937
4930.0 2.44729
4931.2002 2.42647
4932.3999 1.43029
4933.6001 2.50418
4934.7998 0.5719
4936.0 1.13852
4937.2002 1.29506
4938.3999 1.54583
4939.6001 2.5846
4940.7998 1.42483
4942.0 1.66989
4943.2002 1.56389
4944.3999 1.75923
4945.6001 1.31563
4946.7998 1.81475
4948.0 1.75607
4949.2002 1.97477
4950.3999 0.04776
4951.6001 2.03185
4952.7998 2.49454
4954.0 1.80539
4955.2002 1.27574
4956.3999 1.57418
4957.6001 2.25916
4958.7998 1.81892
4960.0 1.98921
4961.2002 1.34492
4962.3999 2.27476
4963.6001 0.53271
4964.7998 1.08164
4966.0 1.24154
4967.2002 1.49341
4968.3999 0.93028
4969.6001 1.70715
4970.7998 1.65998
4972.0 1.62278
4973.2002 1.7924
4974.3999 2.51898
4975.6001 1.96545
4976.7998 1.95518
4978.0 1.68316
4979.2002 1.16722
4980.3999 1.48349
4981.6001 2.09987
4982.7998 1.8415
4984.0 1.35454
4985.2002 1.3804
4986.3999 1.90359
4987.6001 1.32012
4988.7998 1.63392
4990.0 1.48423
4991.2002 1.28234
4992.3999 1.08817
4993.6001 1.23371
4994.7998 1.84326
4996.0 2.00097
4997.2002 1.66425
4998.3999 1.51516
4999.6001 2.23741
5000.7998 2.51634
5002.0 1.89657
5003.2002 2.1977
5004.3999 2.09128
5005.6001 2.38001
5006.7998 1.58399
5008.0 2.34951
5009.2002 1.55863
5010.3999 2.6423
5011.6001 1.99197
5012.7998 1.79726
5014.0 1.29904
5015.2002 0.83676
5016.3999 1.22469
5017.6001 2.10438
5018.7998 1.66011
5020.0 1.34745
5021.2002 1.09119
5022.3999 1.89343
5023.6001 2.57608
5024.7998 1.97371
5026.0 1.62009
5027.2002 1.72403
5028.3999 1.44377
5029.6001 2.60222
5030.7998 1.44987
5032.0 2.38454
5033.2002 2.09316
5034.3999 1.98758
5035.6001 2.83762
5036.7998 1.35721
5038.0 0.96271
5039.2002 2.17541
5040.3999 2.49172
5041.6001 2.48052
5042.7998 1.77083
5044.0 2.59759
5045.2002 2.2157
5046.3999 1.35959
5047.6001 1.45145
5048.7998 2.08375
5050.0 1.66027
5051.2002 1.84539
5052.3999 2.75339
5053.6001 2.02665
5054.7998 2.22357
5056.0 2.26863
5057.2002 1.93637
5058.3999 1.29953
5059.6001 1.7163
5060.7998 1.97935
5062.0 1.28915
5063.2002 1.91905
5064.3999 1.34049
5065.6001 1.56055
5066.7998 1.96056
5068.0 2.28066
5069.2002 1.56123
5070.3999 1.79361
5071.6001 1.09662
5072.7998 1.71772
5074.0 2.3293
5075.2002 1.95577
5076.3999 1.98508
5077.6001 1.99442
5078.7998 0.95866
5080.0 2.24424
5081.2002 1.84731
5082.3999 1.3546
5083.6001 1.61444
5084.7998 2.36098
5086.0 1.62481
5087.2002 1.99229
5088.3999 1.59906
5089.6001 1.36165
5090.7998 2.21698
5092.0 1.95167
5093.2002 1.73418
5094.3999 2.16016
5095.6001 1.83205
5096.7998 1.29
5098.0 1.50776
5099.2002 1.47099
5100.3999 1.68712
5101.6001 2.17021
5102.7998 2.07045
5104.0 1.9028
5105.2002 1.02565
5106.3999 1.28142
5107.6001 1.1014
5108.7998 1.62978
5110.0 1.52585
5111.2002 2.20707
5112.3999 1.51183
5113.6001 2.40877
5114.7998 2.65659
5116.0 1.94223
5117.2002 1.51703
5118.3999 2.26639
5119.6001 1.67189
5120.7998 1.82971
5122.0 1.71557
5123.2002 2.21709
5124.3999 1.75514
5125.6001 1.28055
5126.7998 2.68713
5128.0 2.26609
5129.2002 2.01397
5130.3999 1.55747
5131.6001 1.6633
5132.7998 1.1462
5134.0 1.26377
5135.2002 0.38424
5136.3999 1.35361
5137.6001 1.49744
5138.7998 1.81846
5140.0 2.09097
5141.2002 1.61171
5142.3999 1.38743
5143.6001 1.59584
5144.7998 1.70174
5146.0 2.30232
5147.2002 1.88789
5148.3999 1.37847
5149.6001 1.38323
5150.7998 1.13865
5152.0 1.87076
5153.2002 2.07774
5154.3999 1.9371
5155.6001 1.4794
5156.7998 1.40312
5158.0 1.39687
5159.2002 1.92628
5160.3999 1.6655
5161.6001 1.65209
5162.7998 2.23527
5164.0 2.37217
5165.2002 1.57266
5166.3999 1.35956
5167.6001 1.68666
5168.7998 1.73454
5170.0 2.17351
5171.2002 2.25047
5172.3999 2.36377
5173.6001 0.7366
5174.7998 1.18261
5176.0 1.87154
5177.2002 1.26785
5178.3999 1.5195
5179.6001 2.03327
5180.7998 1.54661
5182.0 1.50228
5183.2002 2.48881
5184.3999 2.09608
5185.6001 2.24072
5186.7998 2.14279
5188.0 1.49939
5189.2002 1.66236
5190.3999 1.7436
5191.6001 2.22353
5192.7998 1.08481
5194.0 1.49564
5195.2002 1.85399
5196.3999 1.18216
5197.6001 1.39435
5198.7998 2.1486
5200.0 1.77557
5201.2002 1.71206
5202.3999 2.35092
5203.6001 2.20262
5204.7998 2.22487
5206.0 2.35734
5207.2002 1.69345
5208.3999 1.53218
5209.6001 1.86557
