#wave flux
4908.0 1.18194
4909.5 1.0921
4911.0 0.809
4912.5 1.74921
4914.0 1.21977
4915.5 0.8946
4917.0 0.69374
4918.5 1.3477
4920.0 1.16949
4921.5 1.43631
4923.0 1.50824
4924.5 0.93023
4926.0 0.83259
4927.5 1.3064
4929.0 1.2258
4930.5 0.48608
4932.0 1.21641
4933.5 0.63044
4935.0 1.19839
4936.5 0.97239
4938.0 0.97738
4939.5 0.80408
4941.0 0.96958
4942.5 0.99983
4944.0 0.81075
4945.5 1.13288
4947.0 1.45164
4948.5 0.51038
4950.0 1.04353
4951.5 0.98753
4953.0 0.96438
4954.5 0.95208
4956.0 1.01473
4957.5 1.42084
4959.0 0.85142
4960.5 1.44492
4962.0 0.88331
4963.5 0.85066
4965.0 0.7121
4966.5 0.7783
4968.0 0.84792
4969.5 0.30849
4971.0 0.73352
4972.5 0.80488
4974.0 0.45096
4975.5 0.85129
4977.0 0.84825
4978.5 1.03474
4980.0 1.04265
4981.5 0.65464
4983.0 0.75183
4984.5 0.55166
4986.0 0.71636
4987.5 0.7851
4989.0 1.20726
4990.5 0.91512
4992.0 0.64887
4993.5 0.70753
4995.0 1.05823
4996.5 0.92043
4998.0 1.14584
4999.5 0.30615
5001.0 0.53366
5002.5 0.50946
5004.0 0.58314
5005.5 0.69279
5007.0 0.71377
5008.5 0.87918
5010.0 0.35179
5011.5 0.90879
5013.0 0.8091
5014.5 0.75767
5016.0 0.7347
5017.5 0.50869
5019.0 0.68867
5020.5 0.8261
5022.0 0.92168
5023.5 0.854
5025.0 0.96932
5026.5 0.37818
5028.0 0.36949
5029.5 0.96439
5031.0 1.3036
5032.5 1.3728
5034.0 0.72319
5035.5 0.4797
5037.0 0.82715
5038.5 0.96649
5040.0 0.52953
5041.5 0.61315
5043.0 0.70421
5044.5 0.97153
5046.0 0.51093
5047.5 1.01287
5049.0 0.91944
5050.5 1.20041
5052.0 0.73149
5053.5 0.7552
5055.0 0.26803
5056.5 0.80505
5058.0 0.47501
5059.5 0.61097
5061.0 1.10296
5062.5 0.41168
5064.0 0.80452
5065.5 0.73051
5067.0 0.46826
5068.5 0.77877
5070.0 0.38332
5071.5 0.8103
5073.0 0.45231
5074.5 1.00733
5076.0 1.19016
5077.5 0.83302
5079.0 1.23096
5080.5 1.19909
5082.0 0.71625
5083.5 0.89463
5085.0 0.81849
5086.5 0.63103
5088.0 0.90803
5089.5 0.53951
5091.0 0.7342
5092.5 0.68083
5094.0 0.77521
5095.5 0.60103
5097.0 0.80305
5098.5 0.96251
5100.0 0.60163
5101.5 0.90871
5103.0 0.9583
5104.5 0.92447
5106.0 0.59388
5107.5 0.70415
5109.0 0.91073
5110.5 0.76016
5112.0 0.83454
5113.5 1.00258
5115.0 0.67915
5116.5 0.7157
5118.0 0.82063
5119.5 0.62344
5121.0 1.17083
5122.5 1.19878
5124.0 0.59011
5125.5 0.89486
5127.0 0.75221
5128.5 0.73679
5130.0 0.92357
5131.5 0.76303
5133.0 0.63578
5134.5 0.74978
5136.0 0.5905
5137.5 0.79047
5139.0 1.23568
5140.5 0.42282
5142.0 0.97941
5143.5 0.86433
5145.0 0.68503
5146.5 0.44695
5148.0 0.78818
5149.5 0.35442
5151.0 0.86018
5152.5 2.07554
5155.5 0.77523
5157.0 0.76176
5158.5 0.92008
5160.0 0.59566
5161.5 0.99509
5163.0 0.95237
5164.5 0.56006
5166.0 0.80678
5167.5 1.05793
5169.0 0.75242
5170.5 0.93288
5172.0 0.68339
5173.5 0.76121
5175.0 0.85016
5176.5 0.67785
5178.0 0.47499
5179.5 1.00182
5181.0 1.03675
5182.5 0.96483
5184.0 0.96558
5185.5 0.64156
5187.0 0.74757
5188.5 0.98342
5190.0 0.65296
5191.5 0.63329
5193.0 1.28485
5194.5 1.04579
5196.0 0.897
5197.5 0.91236
5199.0 0.97397
5200.5 1.04272
5202.0 0.9781
5203.5 1.2411
5205.0 0.98643
5206.5 0.95476
5208.0 1.27791
5209.5 1.02408
5211.0 0.95914
5212.5 0.84361
5214.0 0.95615
5215.5 0.75415
5217.0 1.02041
5218.5 0.98118
5220.0 0.81908
5221.5 1.03391
5223.0 1.07291
5224.5 0.89389
5226.0 1.10933
5227.5 0.60273
5229.0 1.01269
5230.5 1.36738
5232.0 1.11079
5233.5 1.40762
5235.0 0.90412
5236.5 0.85619
5238.0 0.77676
5239.5 0.69111
5241.0 0.70816
5242.5 1.04954
5244.0 1.09233
5245.5 0.96319
5247.0 0.93689
5248.5 0.60757
5250.0 1.28699
5251.5 1.16002
5253.0 0.63486
5254.5 0.58165
5256.0 0.69294
5257.5 0.9529
5259.0 0.90582
5260.5 0.68363
5262.0 0.7448
5263.5 1.28443
5265.0 0.85553
5266.5 0.85393
5268.0 0.87213
5269.5 0.70414
5271.0 0.96195
5272.5 0.649
5274.0 0.78207
5275.5 0.77806
5277.0 1.0936
5278.5 0.74088
5280.0 0.96021
5281.5 0.88439
5283.0 0.99348
5284.5 0.97337
5286.0 0.89155
5287.5 0.79698
5289.0 0.87842
5290.5 0.79474
5292.0 0.89367
5293.5 0.93758
5295.0 0.7909
5296.5 0.84913
5298.0 0.61583
5299.5 0.40634
5301.0 0.7589
5302.5 0.92702
5304.0 0.74165
5305.5 0.68146
5307.0 1.0054
5308.5 1.09234
5310.0 0.94486
5311.5 0.92771
5313.0 0.97006
5314.5 1.18695
5316.0 1.09756
5317.5 0.67295
5319.0 0.75044
5320.5 0.42662
5322.0 1.12194
5323.5 0.91049
5325.0 0.98048
5326.5 0.55692
5328.0 0.86175
5329.5 0.64249
5331.0 1.09149
5332.5 0.89555
5334.0 0.77588
5335.5 0.95418
5337.0 0.73129
5338.5 0.47522
5340.0 0.55055
5341.5 1.02756
5343.0 0.78053
5344.5 0.66992
5346.0 0.69864
5347.5 1.03674
5349.0 0.92436
5350.5 0.76105
5352.0 0.77532
5353.5 0.83747
5355.0 0.8647
5356.5 0.91748
5358.0 0.61185
5359.5 0.92173
5361.0 0.9934
5362.5 0.86437
5364.0 0.53551
5365.5 0.86936
5367.0 0.76448
5368.5 0.98418
5370.0 0.69434
5371.5 0.63469
5373.0 0.6506
5374.5 0.51929
5376.0 0.4738
5377.5 0.99412
5379.0 0.4192
5380.5 0.83438
5382.0 0.60575
5383.5 0.96244
5385.0 0.82079
5386.5 0.80425
5388.0 0.8289
5389.5 0.84459
5391.0 0.99447
5392.5 0.72935
5394.0 0.78471
5395.5 0.60136
5397.0 0.84051
5398.5 0.72811
5400.0 1.03521
5401.5 0.6548
