#wave flux
3060.562 0.48789
3062.51 0.80929
3064.4585 0.76246
3066.4075 0.74468
3068.3569 1.22188
3070.3071 0.65802
3072.2581 1.43322
3074.2095 0.65246
3076.1614 0.36504
3078.114 1.1074
3080.0669 0.993
3082.0208 0.66246
3083.9749 0.97078
3085.9297 0.69262
3087.8853 0.92881
3089.8413 0.89073
3091.7979 0.76112
3093.7549 0.91081
3095.7129 0.85796
3097.6711 0.81771
3099.6299 0.67535
3101.5896 0.80982
3103.5496 0.85604
3105.51 1.0849
3107.4712 0.68187
3109.4331 0.41468
3111.3955 0.77683
3113.3584 0.84943
3115.3218 0.74075
3117.2859 0.69247
3119.2505 0.79523
3121.2156 0.63162
3123.1814 0.98378
3125.1477 1.02427
3127.1145 1.07015
3129.082 0.82183
3131.05 1.19525
3133.0186 1.01047
3134.9878 0.80223
3136.9575 0.98477
3138.9277 0.3857
3140.8984 0.71658
3142.8699 0.91654
3144.8418 0.88905
3146.8142 1.09366
3148.7874 0.93068
3150.761 0.7481
3152.7351 0.75423
3154.71 0.70928
3156.6853 0.89973
3158.6609 0.71062
3160.6375 0.79094
3162.6145 0.97092
3164.5918 1.11953
3166.5698 1.25705
3168.5486 1.30474
3170.5276 1.18083
3172.5073 1.05205
3174.4875 0.74865
3176.4685 0.73624
3178.4497 0.71753
3180.4316 0.83689
3182.4143 0.76903
3184.3972 0.81914
3186.3806 0.8764
3188.3647 1.01773
3190.3494 0.90109
3192.3347 0.93327
3194.3203 1.05465
3196.3066 1.00476
3198.2935 1.04427
3200.2808 1.23632
3202.2686 1.01071
3204.2571 1.02741
3206.2461 0.86289
3208.2356 1.01115
3210.2256 1.02473
3212.2161 1.1384
3214.2073 1.06179
3216.1987 0.99837
3218.1909 1.07363
3220.1836 0.79083
3222.177 0.93805
3224.1707 0.74984
3226.165 0.63412
3228.1599 0.82984
3230.1553 0.69603
3232.1511 0.95475
3234.1477 1.03106
3236.1445 1.16904
3238.1421 1.29863
3240.1399 1.30698
