#wave flux
3400.0 0.0
3401.53 0.0
3403.06 0.0
3404.59 0.0
3406.12 0.0
3407.65 0.0
3409.18 0.0
3410.71 0.0
3412.24 0.0
3413.77 0.0
3415.3 0.0
3416.83 0.22068
3418.36 0.42259
3419.89 0.45768
3421.42 0.79751
3422.95 0.82453
3424.48 1.07
3426.01 1.0963
3427.54 1.371
3429.07 1.733
3430.6 1.7088
3432.13 2.3146
3433.66 1.9168
3435.19 2.2555
3436.72 2.3773
3438.25 2.5331
3439.78 3.0178
3441.31 3.4139
3442.84 3.0737
3444.37 2.887
3445.9 3.2774
3447.43 3.2965
3448.96 3.1823
3450.49 2.7339
3452.02 3.5456
3453.55 3.0368
3455.08 2.7705
3456.61 4.1555
3458.14 3.526
3459.67 3.6927
3461.2 4.409
3462.73 3.9497
3464.26 3.3067
3465.79 3.2295
3467.32 2.7735
3468.85 2.5164
3470.38 2.6567
3471.91 2.8318
3473.44 2.9892
3474.97 2.8596
3476.5 2.9116
3478.03 3.4993
3479.56 2.9167
3481.09 2.977
3482.62 2.8824
3484.15 3.3544
3485.68 3.1244
3487.21 3.8016
3488.74 3.1635
3490.27 3.1596
3491.8 3.3014
3493.33 3.1899
3494.86 3.4445
3496.39 3.3664
3497.92 3.6035
3499.45 3.279
3500.98 3.9698
3502.51 3.8952
3504.04 3.4646
3505.57 3.5796
3507.1 3.6443
3508.63 3.777
3510.16 3.687
3511.69 3.6497
3513.22 3.3169
3514.75 3.5185
3516.28 3.5193
3517.81 3.4215
3519.34 3.0745
3520.87 3.2863
3522.4 3.0409
3523.93 2.9171
3525.46 2.933
3526.99 2.8729
3528.52 2.6845
3530.05 2.6239
3531.58 2.4189
3533.11 3.021
3534.64 3.1511
3536.17 2.6793
3537.7 2.5914
3539.23 2.8632
3540.76 2.6596
3542.29 3.0
3543.82 2.941
3545.35 2.7802
3546.88 3.0306
3548.41 2.9246
3549.94 2.9374
3551.47 3.2112
3553.0 3.1455
3554.53 2.8853
3556.06 2.886
3557.59 2.5401
3559.12 2.3461
3560.65 2.1451
3562.18 2.1379
3563.71 2.2122
3565.24 1.9742
3566.77 2.0758
3568.3 1.9612
3569.83 1.9435
3571.36 2.2402
3572.89 1.9111
3574.42 1.8155
3575.95 1.94
3577.48 1.9734
3579.01 1.6583
3580.54 1.5356
3582.07 1.6883
3583.6 1.6675
3585.13 1.4881
3586.66 1.6133
3588.19 1.5157
3589.72 1.5442
3591.25 1.5786
3592.78 1.6771
3594.31 1.6006
