#wave flux
3800.0 0.57118
3801.53 0.64186
3803.06 0.59632
3804.59 0.56516
3806.12 0.55779
3807.65 0.69257
3809.18 0.68339
3810.71 0.65082
3812.24 0.76061
3813.77 0.68925
3815.3 0.5465
3816.83 0.61306
3818.36 0.57336
3819.89 0.74488
3821.42 0.54503
3822.95 0.52365
3824.48 0.51274
3826.01 0.60952
3827.54 0.72873
3829.07 0.70341
3830.6 0.6135
3832.13 0.72154
3833.66 0.66418
3835.19 0.68874
3836.72 0.68823
3838.25 0.69017
3839.78 0.69049
3841.31 0.70003
3842.84 0.67194
3844.37 0.76836
3845.9 0.84399
3847.43 0.73479
3848.96 0.77046
3850.49 0.65965
3852.02 0.68917
3853.55 0.76897
3855.08 0.67774
3856.61 0.70829
3858.14 0.74842
3859.67 0.72178
3861.2 0.78018
3862.73 0.78342
3864.26 0.7608
3865.79 0.71968
3867.32 0.69057
3868.85 0.73829
3870.38 0.77343
3871.91 0.80478
3873.44 0.73185
3874.97 0.7411
3876.5 0.79044
3878.03 0.75036
3879.56 0.7334
3881.09 0.81902
3882.62 0.76243
3884.15 0.75635
3885.68 0.73383
3887.21 0.75885
3888.74 0.73567
3890.27 0.75671
3891.8 0.80636
3893.33 0.77282
3894.86 0.74157
3896.39 0.74806
3897.92 0.77883
3899.45 0.74109
3900.98 0.69602
3902.51 0.7132
3904.04 0.75461
3905.57 0.74589
3907.1 0.77307
3908.63 0.80544
3910.16 0.67636
3911.69 0.71507
3913.22 0.77331
3914.75 0.81024
3916.28 0.73927
3917.81 0.74293
3919.34 0.73627
3920.87 0.74708
3922.4 0.80329
3923.93 0.71926
3925.46 0.64905
3926.99 0.6674
3928.52 0.67295
3930.05 0.63305
3931.58 0.63727
3933.11 0.61012
3934.64 0.61339
3936.17 0.68315
3937.7 0.69788
3939.23 0.56145
3940.76 0.59351
3942.29 0.71336
3943.82 0.62756
3945.35 0.56167
3946.88 0.57735
3948.41 0.68244
3949.94 0.6045
3951.47 0.59039
3953.0 0.64094
3954.53 0.66259
3956.06 0.61162
3957.59 0.66288
3959.12 0.62266
3960.65 0.59149
3962.18 0.52819
3963.71 0.51606
3965.24 0.59399
3966.77 0.63761
3968.3 0.58445
3969.83 0.52239
3971.36 0.58919
3972.89 0.56415
