#wave flux
3800.0 0.8373
3801.53 0.85531
3803.06 0.71639
3804.59 0.53925
3806.12 0.61533
3807.65 0.64172
3809.18 0.78836
3810.71 0.96029
3812.24 0.83415
3813.77 0.6248
3815.3 0.70706
3816.83 0.86456
3818.36 1.0266
3819.89 0.90449
3821.42 1.0212
3822.95 0.96368
3824.48 0.95105
3826.01 0.91378
3827.54 1.0345
3829.07 0.94054
3830.6 0.85068
3832.13 0.78955
3833.66 0.61765
3835.19 0.80914
3836.72 0.96682
3838.25 0.95863
3839.78 0.90794
3841.31 1.0129
3842.84 1.0428
3844.37 0.99722
3845.9 0.87224
3847.43 0.64535
3848.96 0.3561
3850.49 0.50037
3852.02 0.79067
3853.55 0.84861
3855.08 0.84612
3856.61 0.83493
3858.14 1.0756
3859.67 1.0023
3861.2 1.0184
3862.73 1.103
3864.26 0.98116
3865.79 0.85984
3867.32 1.0533
3868.85 1.1113
3870.38 1.083
3871.91 0.84352
3873.44 0.89035
3874.97 0.63783
3876.5 0.33953
3878.03 0.17193
3879.56 0.44649
3881.09 0.82584
3882.62 0.97144
3884.15 0.86613
3885.68 0.84322
3887.21 0.91224
3888.74 0.95253
3890.27 0.98112
3891.8 0.99558
3893.33 0.89486
3894.86 1.0304
3896.39 1.1515
3897.92 1.2464
3899.45 1.2923
3900.98 1.3444
3902.51 1.2772
3904.04 1.2636
3905.57 1.1945
3907.1 1.1733
3908.63 1.1639
3910.16 1.1027
3911.69 1.0891
3913.22 1.3761
3914.75 1.3415
3916.28 1.2326
3917.81 0.98878
3919.34 0.90764
3920.87 0.93143
3922.4 1.0332
3923.93 1.1262
3925.46 1.1959
3926.99 1.3495
3928.52 1.365
3930.05 1.3035
3931.58 1.2653
3933.11 1.2093
3934.64 1.2177
3936.17 1.1095
3937.7 1.1457
3939.23 1.2688
3940.76 1.357
3942.29 1.289
3943.82 1.2078
3945.35 0.79796
3946.88 0.71035
3948.41 0.58826
3949.94 0.52799
3951.47 0.79341
3953.0 1.0267
3954.53 1.0441
3956.06 0.8641
3957.59 1.068
3959.12 1.2292
3960.65 1.2592
3962.18 1.2198
3963.71 1.1411
3965.24 1.1721
3966.77 1.3218
3968.3 1.2894
3969.83 1.553
3971.36 1.6054
3972.89 1.5739
3974.42 1.4615
3975.95 1.2722
3977.48 0.92201
3979.01 0.9129
3980.54 1.1787
3982.07 1.4653
3983.6 1.5117
3985.13 1.185
3986.66 1.2258
3988.19 1.3818
3989.72 1.5361
3991.25 1.6528
3992.78 1.735
3994.31 1.8309
3995.84 2.0044
3997.37 1.9985
3998.9 1.8546
4000.43 1.9108
4001.96 1.999
4003.49 1.9567
4005.02 1.7856
4006.55 1.7905
4008.08 1.8604
4009.61 1.7411
4011.14 1.442
4012.67 1.0913
4014.2 0.65111
4015.73 0.54809
4017.26 1.0753
4018.79 1.513
4020.32 1.5748
4021.85 1.5012
4023.38 1.8376
4024.91 2.0753
4026.44 2.2748
4027.97 2.3122
4029.5 2.385
4031.03 2.4325
4032.56 2.3331
4034.09 2.3911
4035.62 2.3928
4037.15 1.7908
4038.68 1.7673
4040.21 2.2734
4041.74 2.643
4043.27 2.8705
4044.8 2.8493
4046.33 2.8993
4047.86 2.4665
4049.39 2.3637
4050.92 2.793
4052.45 2.7058
4053.98 2.8617
4055.51 2.9317
4057.04 2.8743
4058.57 3.0089
4060.1 3.035
4061.63 3.2209
4063.16 3.0489
4064.69 3.0561
4066.22 3.046
4067.75 3.1347
4069.28 3.3315
4070.81 3.2469
4072.34 3.2585
4073.87 3.4781
4075.4 3.5179
4076.93 3.5176
4078.46 3.3593
4079.99 3.2624
4081.52 3.0635
4083.05 3.0068
4084.58 3.1182
4086.11 2.8494
4087.64 2.7441
4089.17 2.8042
