#wave flux
4905.0 2.31963
4906.5 2.51137
4908.0 2.71373
4909.5 2.79393
4911.0 2.68973
4912.5 2.92314
4914.0 2.79525
4915.5 2.89685
4917.0 2.80978
4918.5 2.58864
4920.0 2.5873
4921.5 2.77313
4923.0 2.58206
4924.5 2.53781
4926.0 2.69959
4927.5 2.54464
4929.0 2.72883
4930.5 2.77003
4932.0 2.7184
4933.5 2.75123
4935.0 2.78407
4936.5 2.81691
4938.0 2.84975
4939.5 2.88259
4941.0 2.91543
4942.5 2.71559
4944.0 3.8982
4945.5 3.29273
4947.0 2.60561
4948.5 2.61455
4950.0 2.85472
4951.5 2.80295
4953.0 3.06203
4954.5 2.7979
4956.0 2.8301
4957.5 2.83018
4959.0 2.86164
4960.5 2.80443
4962.0 2.7101
4963.5 2.00178
4965.0 2.46111
4966.5 2.83764
4968.0 2.59136
4969.5 2.66483
4971.0 2.85528
4972.5 2.53277
4974.0 2.74364
4975.5 2.52152
4977.0 2.8641
4978.5 2.55081
4980.0 2.93563
4981.5 2.66317
4983.0 2.52209
4984.5 2.70996
4986.0 2.71548
4987.5 2.49996
4989.0 2.7695
4990.5 2.59036
4992.0 2.71761
4993.5 2.6429
4995.0 2.46154
4996.5 2.84532
4998.0 2.65829
4999.5 2.76282
5001.0 2.58772
5002.5 2.73247
5004.0 2.69653
5005.5 2.51154
5007.0 2.46044
5008.5 2.52912
5010.0 2.61776
5011.5 2.29932
5013.0 2.71259
5014.5 2.22777
5016.0 2.34365
5017.5 2.35638
5019.0 2.50703
5020.5 2.59088
5022.0 2.5836
5023.5 2.47725
5025.0 2.63049
5026.5 2.67034
5028.0 2.37681
5029.5 2.53093
5031.0 2.565
5032.5 2.84126
5034.0 1.73841
5035.5 2.60099
5037.0 2.65638
5038.5 2.87234
5040.0 2.63174
5041.5 2.79191
5043.0 2.38345
5044.5 2.66285
5046.0 2.7019
5047.5 2.55398
5049.0 2.46043
5050.5 2.50245
5052.0 2.54447
5053.5 2.5865
5055.0 2.62852
5056.5 2.33957
5058.0 2.05041
5059.5 2.3639
5061.0 2.65245
5062.5 2.36925
5064.0 2.31116
5065.5 2.38776
5067.0 2.82042
5068.5 2.64513
5070.0 2.64363
5071.5 2.69065
5073.0 2.47059
5074.5 2.37196
5076.0 2.81966
5077.5 2.5755
5079.0 2.61472
5080.5 2.51059
5082.0 2.91192
5083.5 2.50057
5085.0 2.71235
5086.5 2.56221
5088.0 2.75816
5089.5 2.31528
5091.0 2.31667
5092.5 2.61576
5094.0 2.59787
5095.5 2.34445
5097.0 2.34788
5098.5 2.63178
5100.0 2.87865
5101.5 2.57736
5103.0 2.59077
5104.5 2.4365
5106.0 2.49176
5107.5 2.89757
5109.0 2.90767
5110.5 2.66454
5112.0 2.53911
5113.5 2.75597
5115.0 2.68035
5116.5 2.56386
5118.0 2.31828
5119.5 2.41826
5121.0 2.30333
5122.5 2.64609
5124.0 2.41157
5125.5 2.55621
5127.0 2.74094
5128.5 2.50276
5130.0 2.66046
5131.5 2.57745
5133.0 2.38798
5134.5 2.70772
5136.0 2.63975
5137.5 2.65029
5139.0 2.64536
5140.5 2.90934
5142.0 2.56428
5143.5 2.60984
5145.0 2.82161
5146.5 2.79421
5148.0 2.67801
5149.5 2.83888
5151.0 2.68152
5152.5 2.72816
5154.0 2.62033
5155.5 2.68069
5157.0 2.61513
5158.5 2.54144
5160.0 2.78116
5161.5 2.81469
5163.0 2.84823
5164.5 2.88177
5166.0 2.91531
5167.5 2.94885
5169.0 2.73764
5170.5 2.74789
5172.0 2.85118
5173.5 2.77033
5175.0 2.80217
5176.5 2.65566
5178.0 2.34665
5179.5 2.68923
5181.0 2.73861
5182.5 2.87289
5184.0 2.659
5185.5 2.74858
5187.0 2.54397
5188.5 2.84714
5190.0 2.79183
5191.5 2.71126
5193.0 2.69274
5194.5 2.77616
5196.0 2.71173
5197.5 2.50137
5199.0 2.62087
5200.5 2.93369
5202.0 2.55646
5203.5 2.98702
5205.0 2.71501
5206.5 2.82021
5208.0 2.72023
5209.5 3.19628
5211.0 3.0435
5212.5 2.89072
5214.0 2.73794
5215.5 2.58516
5217.0 2.71367
5218.5 2.78036
5220.0 2.76148
5221.5 2.74609
5223.0 2.76817
5224.5 2.75864
5226.0 2.80849
5227.5 2.51248
5229.0 2.72324
5230.5 2.55422
5232.0 2.7232
5233.5 2.43888
5235.0 2.64611
5236.5 2.6982
5238.0 2.43441
5239.5 2.51581
5241.0 2.6349
5242.5 2.44793
5244.0 2.49139
5245.5 2.45791
5247.0 2.54873
5248.5 2.75586
5250.0 2.35186
5251.5 2.59516
5253.0 2.80846
5254.5 2.59451
5256.0 2.57475
5257.5 2.46678
5259.0 2.48918
5260.5 2.35569
5262.0 1.93258
5263.5 2.41643
5265.0 2.73359
5266.5 2.43906
5268.0 2.58656
5269.5 2.60354
5271.0 2.56555
5272.5 0.73045
5274.0 0.90568
5275.5 2.78123
5277.0 2.30602
5278.5 2.67883
5280.0 2.59578
5281.5 2.5641
5283.0 2.44946
5284.5 2.53072
5286.0 2.59931
5287.5 2.67801
5289.0 2.39949
5290.5 2.493
5292.0 2.6214
5293.5 2.33517
5295.0 2.64464
5296.5 2.57984
5298.0 2.63441
5299.5 2.40888
5301.0 2.55278
5302.5 2.42499
5304.0 2.36936
5305.5 2.2478
5307.0 2.64986
5308.5 2.48851
5310.0 2.64964
5311.5 2.49818
5313.0 2.65635
5314.5 2.37614
5316.0 2.4487
5317.5 2.56368
5319.0 2.5416
5320.5 2.38308
5322.0 2.3156
5323.5 2.31353
5325.0 2.52088
5326.5 2.3873
5328.0 2.42832
5329.5 2.51876
5331.0 2.4947
5332.5 2.44414
5334.0 2.408
5335.5 2.34697
5337.0 2.51632
5338.5 2.48986
5340.0 2.39889
5341.5 2.29823
5343.0 2.53077
5344.5 2.46419
5346.0 2.65472
5347.5 2.59706
5349.0 2.27336
5350.5 2.39219
5352.0 2.57412
5353.5 2.34985
5355.0 2.15334
5356.5 2.25251
5358.0 2.29606
5359.5 2.44814
5361.0 2.4174
5362.5 2.45191
5364.0 2.46065
5365.5 2.31612
5367.0 2.25892
5368.5 2.38378
5370.0 2.33511
5371.5 2.28724
5373.0 2.22955
5374.5 2.26935
5376.0 2.38701
5377.5 2.49937
5379.0 2.13991
5380.5 2.11318
5382.0 2.30551
5383.5 2.22256
5385.0 2.33195
5386.5 2.31179
5388.0 2.16209
5389.5 2.36701
5391.0 2.39967
5392.5 2.33332
5394.0 2.24448
5395.5 2.30988
5397.0 2.39571
5398.5 2.44561
5400.0 2.42913
5401.5 2.28072
5403.0 2.36172
5404.5 2.38099
5406.0 2.16816
5407.5 2.32528
5409.0 2.48285
5410.5 2.5585
5412.0 2.4218
5413.5 2.27834
5415.0 2.30546
5416.5 2.29659
5418.0 2.18955
5419.5 2.14803
5421.0 2.24776
5422.5 2.42136
5424.0 2.40525
5425.5 2.50055
5427.0 2.171
5428.5 2.34432
5430.0 2.31831
5431.5 2.39322
5433.0 2.24346
5434.5 2.3002
5436.0 2.34874
