#wave flux
3800.0 2.00839
3801.53 2.0537
3803.06 2.05014
3804.59 2.20562
3806.12 2.21151
3807.65 2.25937
3809.18 2.13775
3810.71 2.24748
3812.24 2.068
3813.77 2.23112
3815.3 2.5501
3816.83 2.45368
3818.36 2.0495
3819.89 2.24976
3821.42 2.26845
3822.95 2.44671
3824.48 2.2732
3826.01 2.13495
3827.54 2.37884
3829.07 2.38812
3830.6 2.20281
3832.13 2.27112
3833.66 2.64324
3835.19 2.51246
3836.72 2.39673
3838.25 2.57288
3839.78 2.39959
3841.31 2.51371
3842.84 2.63638
3844.37 2.56235
3845.9 2.55321
3847.43 2.48126
3848.96 2.58224
3850.49 2.57821
3852.02 2.56132
3853.55 2.46926
3855.08 2.46299
3856.61 2.62832
3858.14 2.51943
3859.67 2.41915
3861.2 2.53802
3862.73 2.62149
3864.26 2.44429
3865.79 2.31706
3867.32 2.45304
3868.85 2.44732
3870.38 2.37045
3871.91 2.45893
3873.44 2.74027
3874.97 2.44251
3876.5 2.42876
3878.03 2.72621
3879.56 2.50371
3881.09 2.44704
3882.62 2.4326
3884.15 2.55404
3885.68 2.6126
3887.21 2.36184
3888.74 2.59393
3890.27 2.47632
3891.8 2.57679
3893.33 2.35301
3894.86 2.3659
3896.39 2.49174
3897.92 2.48871
3899.45 2.53432
3900.98 2.52657
3902.51 2.42596
3904.04 2.48604
3905.57 2.43585
3907.1 2.36201
3908.63 2.47457
3910.16 2.4531
3911.69 2.54402
3913.22 2.36301
3914.75 2.55096
3916.28 2.44154
3917.81 2.46843
3919.34 2.37018
3920.87 2.3044
3922.4 2.20714
3923.93 1.95258
3925.46 2.14403
3926.99 2.27751
3928.52 2.25692
3930.05 2.33173
3931.58 2.04831
3933.11 2.05906
3934.64 2.14
3936.17 2.06672
3937.7 2.11034
3939.23 2.08922
3940.76 1.98397
3942.29 1.74869
3943.82 1.74472
3945.35 1.82983
3946.88 1.93108
3948.41 2.09295
3949.94 1.84141
3951.47 1.78963
3953.0 1.81255
3954.53 1.86525
3956.06 1.96453
3957.59 2.12856
3959.12 1.88969
3960.65 1.78008
3962.18 1.7233
3963.71 1.76716
3965.24 1.73188
3966.77 1.75191
3968.3 1.77091
3969.83 1.86833
3971.36 1.95705
3972.89 1.81277
3974.42 1.83958
3975.95 1.85938
3977.48 1.88844
3979.01 1.82186
3980.54 1.75749
3982.07 1.8238
3983.6 1.84116
3985.13 1.84933
3986.66 1.91544
3988.19 1.75863
3989.72 1.98253
3991.25 2.01325
3992.78 1.88025
3994.31 1.93989
3995.84 1.8905
3997.37 1.80744
3998.9 1.80105
4000.43 1.6228
4001.96 1.80613
4003.49 1.70227
4005.02 1.74499
4006.55 1.75008
4008.08 1.59849
4009.61 1.71549
4011.14 1.83002
4012.67 1.82019
4014.2 1.64418
4015.73 1.5509
4017.26 1.70688
