#wave flux
4600.0 1.80343
4600.62305 2.80263
4601.24609 2.46942
4601.86914 1.13515
4602.49219 1.78236
4603.11523 1.67335
4603.73828 1.45898
4604.36133 2.48761
4604.98438 1.6055
4605.60742 1.84086
4606.23047 2.58378
4606.85352 1.01553
4607.47656 0.92562
4608.09961 1.39299
4608.72266 1.95553
4609.3457 1.22776
4609.96875 1.58357
4610.5918 1.74044
4611.21484 2.05326
4611.83789 2.17168
4612.46094 1.51442
4613.08398 1.48254
4613.70703 1.91214
4614.33008 1.38495
4614.95312 0.93403
4615.57617 2.20473
4616.19922 2.22621
4616.82227 1.36819
4617.44531 1.72113
4618.06836 2.65212
4618.69141 1.52235
4619.31445 1.53713
4619.9375 2.04184
4620.56055 2.17086
4621.18359 1.76329
4621.80664 1.66655
4622.42969 1.56854
4623.05273 1.74428
4623.67578 1.77229
4624.29883 1.80233
4624.92188 2.30935
4625.54492 2.47295
4626.16797 1.94375
4626.79102 1.39622
4627.41406 2.50554
4628.03711 3.19812
4628.66016 1.64828
4629.2832 1.29498
4629.90625 1.91495
4630.5293 1.97215
4631.15234 2.31516
4631.77539 2.52255
4632.39844 1.87256
4633.02148 1.58786
4633.64453 1.97599
4634.26758 2.32013
4634.89062 1.87548
4635.51367 1.39059
4636.13672 1.44662
4636.75977 1.25454
4637.38281 1.3287
4638.00586 1.99997
4638.62891 2.37023
4639.25195 2.31342
4639.875 2.29893
4640.49805 2.13673
4641.12109 1.90016
4641.74414 1.86723
4642.36719 1.65189
4642.99023 1.69883
4643.61328 2.11537
4644.23633 2.18751
4644.85938 1.80316
4645.48242 1.60112
4646.10547 1.80986
4646.72852 1.4592
4647.35156 1.85581
4647.97461 2.37992
4648.59766 2.10367
4649.2207 1.89749
4649.84375 2.18911
4650.4668 2.05177
4651.08984 1.4738
4651.71289 1.53703
4652.33594 1.67871
4652.95898 2.53753
4653.58203 2.61297
4654.20508 2.14081
4654.82812 1.35322
4655.45117 1.08007
4656.07422 1.1539
4656.69727 1.93793
4657.32031 2.58479
4657.94336 1.92943
4658.56641 0.95694
4659.18945 1.00785
4659.8125 1.91672
4660.43555 2.16852
4661.05859 1.90304
4661.68164 1.53149
4662.30469 1.50131
4662.92773 2.39934
4663.55078 1.71491
4664.17383 1.91852
4664.79688 2.77952
4665.41992 1.88325
4666.04297 1.78882
4666.66602 1.72159
4667.28906 1.68363
4667.91211 2.13064
4668.53516 1.76601
4669.1582 1.69981
4669.78125 2.8608
4670.4043 1.98849
4671.02734 1.57085
4671.65039 1.72673
4672.27344 1.65392
4672.89648 1.16054
4673.51953 1.62436
4674.14258 2.0515
4674.76562 2.00336
4675.38867 1.90342
4676.01172 1.4905
4676.63477 1.08981
4677.25781 1.43181
4677.88086 1.90655
4678.50391 1.64027
4679.12695 1.67565
4679.75 1.36738
4680.37305 1.95976
4680.99609 2.0069
4681.61914 2.04066
4682.24219 2.04101
4682.86523 2.42964
4683.48828 2.23443
4684.11133 2.1069
4684.73438 2.03252
4685.35742 1.97732
4685.98047 1.99105
4686.60352 1.75234
4687.22656 1.44875
4687.84961 1.41677
4688.47266 2.18193
4689.0957 2.75768
4689.71875 2.22247
4690.3418 1.91572
4690.96484 1.98544
4691.58789 2.17746
4692.21094 2.43641
4692.83398 2.45676
4693.45703 2.49298
4694.08008 2.19628
4694.70312 1.68575
4695.32617 1.41827
4695.94922 1.74543
4696.57227 1.97497
4697.19531 1.80216
4697.81836 2.00351
4698.44141 2.24949
4699.06445 1.82603
4699.6875 1.56184
4700.31055 1.78198
4700.93359 1.22714
4701.55664 0.8708
4702.17969 1.17379
4702.80273 1.92403
4703.42578 2.44519
4704.04883 1.91656
4704.67188 2.21194
4705.29492 1.81762
4705.91797 1.49322
4706.54102 1.95104
4707.16406 1.66229
4707.78711 2.00469
4708.41016 2.16684
4709.0332 1.73721
4709.65625 1.92538
4710.2793 1.90773
4710.90234 1.69
4711.52539 1.57594
4712.14844 1.73569
4712.77148 1.96719
4713.39453 1.82817
4714.01758 1.50355
4714.64062 1.3795
4715.26367 1.5207
4715.88672 2.07777
4716.50977 2.55171
4717.13281 2.32766
4717.75586 2.07302
4718.37891 1.24258
4719.00195 0.5831
4719.625 1.79996
4720.24805 1.85946
4720.87109 2.13681
4721.49414 1.72908
4722.11719 1.38726
4722.74023 1.85699
4723.36328 2.06878
4723.98633 2.47298
4724.60938 1.65026
4725.23242 1.9491
4725.85547 2.02754
4726.47852 1.39995
4727.10156 1.43725
4727.72461 1.52779
4728.34766 1.93313
4728.9707 2.70195
4729.59375 2.7434
4730.2168 2.2457
4730.83984 2.19051
4731.46289 1.57524
4732.08594 1.88166
4732.70898 2.46047
