#wave flux
3051.5767 0.73345
3053.5266 3.20433
3055.4771 1.54544
3057.4282 1.98654
3059.3799 -0.63132
3061.332 2.47875
3063.2849 1.70635
3065.2383 -0.06904
3067.1921 2.89125
3069.1465 2.50548
3071.1016 2.23085
3073.0571 1.51405
3075.0132 3.58483
3076.97 3.06568
3078.9272 4.29756
3080.885 3.56346
3082.8433 3.56715
3084.8022 1.92126
3086.7617 4.74112
3088.7217 3.06442
3090.6824 3.5271
3092.6433 4.42677
3094.605 4.11148
3096.5674 3.93616
3098.53 3.10483
3100.4934 2.92136
3102.4573 3.71591
3104.4216 3.69538
3106.3867 2.82269
3108.3521 3.2066
3110.3181 3.29766
3112.2849 3.41282
3114.252 2.18357
3116.2197 2.7547
3118.188 2.09909
3120.1567 1.4702
3122.126 3.43836
3124.0959 2.55473
3126.0664 1.54359
3128.0374 1.62845
3130.0088 2.52072
3131.9807 1.84671
3133.9534 1.77059
3135.9265 2.11707
3137.9001 2.2965
3139.8745 2.49226
3141.8491 2.4447
3143.8245 2.76195
3145.8003 1.37117
3147.7766 2.47053
3149.7534 1.38264
3151.731 2.01061
3153.709 1.67454
3155.6875 2.41571
3157.6665 1.74536
3159.646 2.9929
3161.6262 2.65943
3163.6067 1.90194
3165.5879 2.71384
3167.5696 2.20069
3169.552 1.86961
3171.5347 2.12015
3173.5178 1.47357
3175.5017 2.06877
3177.4861 2.1671
3179.4709 1.83179
3181.4563 1.91035
3183.4424 2.29088
3185.4287 1.77035
3187.4158 2.21047
3189.4033 2.42031
3191.3914 2.17871
3193.3799 2.25208
3195.3689 1.93851
3197.3584 2.39073
3199.3486 2.34694
3201.3394 2.42319
3203.3306 2.54617
3205.322 1.89544
3207.3145 1.79686
3209.3071 2.88423
3211.3003 1.78649
3213.2942 2.04818
3215.2883 2.41325
3217.2832 2.37593
3219.2786 2.58856
3221.2744 2.93572
3223.2708 2.34491
3225.2676 2.74639
3227.2649 2.2134
3229.2627 2.78532
3231.2612 3.15594
3233.26 2.35336
3235.2595 2.34424
3237.2595 2.59551
3239.26 2.24624
3241.261 2.96329
3243.2622 2.36716
3245.2644 2.46363
3247.2668 2.73933
3249.2698 2.11284
3251.2732 2.50648
3253.2773 2.18132
3255.2817 2.56744
3257.2869 2.90979
3259.2922 3.06924
3261.2983 2.97974
3263.3047 3.11104
3265.312 2.36294
3267.3193 2.88036
3269.3274 2.53238
3271.3359 1.97772
3273.345 2.4075
3275.3545 2.63165
3277.3645 2.18141
3279.375 2.22248
3281.386 2.76141
3283.3977 2.52014
3285.4097 2.68305
3287.4221 2.52828
3289.4353 3.23035
3291.4487 2.9293
3293.4626 2.79235
3295.4773 2.67221
3297.4922 2.37942
3299.5078 2.04498
3301.5237 2.23032
3303.54 2.2395
3305.5569 2.69949
3307.5745 2.05835
3309.5923 2.34658
3311.6108 2.38026
3313.6296 2.48316
3315.6492 2.44106
3317.6689 2.41585
3319.6895 2.51171
3321.7102 2.15945
3323.7317 2.32306
3325.7534 2.13755
3327.7756 2.36964
3329.7986 2.63618
3331.8218 2.11366
3333.8455 2.02575
3335.8696 2.42636
3337.8945 2.12769
3339.9197 2.47252
3341.9453 2.52158
3343.9714 2.39132
3345.998 2.29296
3348.0251 2.40144
3350.0527 2.2956
3352.0808 1.80933
3354.1094 2.0237
3356.1384 2.27787
3358.168 2.31125
3360.1978 2.14342
3362.2283 2.0706
3364.259 2.04849
3366.2905 2.26089
3368.3223 1.88371
3370.3547 1.85392
3372.3875 2.195
3374.4207 1.90985
3376.4543 1.88637
3378.4885 2.14439
3380.5232 1.97625
3382.5583 2.27473
3384.594 2.26698
3386.6299 1.89207
3388.6665 1.96688
3390.7036 2.30271
3392.741 1.84839
3394.7788 2.20639
3396.8171 1.72562
3398.856 1.96452
3400.8953 2.04393
3402.9351 1.94487
3404.9751 1.8491
3407.0159 2.04934
3409.0569 2.21226
3411.0986 1.87739
3413.1406 1.95422
3415.1831 1.78532
3417.2261 2.05721
3419.2695 2.65606
3421.3132 2.25081
3423.3577 1.76954
3425.4023 2.2115
3427.4475 2.39145
3429.4932 1.82338
3431.5393 2.43543
3433.5859 1.82531
3435.6328 2.12247
3437.6804 2.0435
3439.7283 2.17658
3441.7766 2.12571
3443.8254 2.28124
3445.8748 2.26417
3447.9243 2.12768
3449.9746 2.44076
3452.0251 2.5738
3454.0762 2.17063
3456.1277 2.33543
3458.1794 2.57315
3460.2317 2.24656
3462.2847 2.2924
3464.3379 2.26647
3466.3916 2.23391
3468.4456 2.3538
3470.5002 2.31484
3472.5552 2.03342
3474.6106 2.25617
3476.6665 2.19784
3478.7227 2.43548
3480.7793 2.38582
3482.8367 2.32557
3484.8943 2.33426
3486.9521 2.17335
3489.0107 2.21437
3491.0696 2.45941
3493.1289 2.49045
3495.1887 2.50871
3497.2488 2.4472
3499.3093 2.90268
3501.3704 2.50727
3503.4319 2.67777
3505.4939 2.6015
3507.5562 2.76
3509.6189 2.46889
3511.6819 2.3944
3513.7456 2.72606
3515.8096 2.37979
3517.874 2.2818
3519.9387 2.15895
3522.0042 2.5168
3524.0698 2.21378
3526.136 2.40146
3528.2024 1.91275
3530.2693 2.22869
3532.3369 2.06989
3534.4045 2.22682
3536.4727 2.14014
3538.5415 2.14309
3540.6104 2.02744
3542.6797 2.33502
3544.7498 2.10343
3546.8201 1.61235
3548.8906 1.97058
3550.9617 1.55237
3553.0332 1.65281
3555.1052 1.99966
3557.1775 1.98482
3559.2502 1.87131
3561.3232 1.95878
3563.397 2.23908
3565.4707 2.15504
3567.5452 2.19461
3569.6201 1.95122
3571.6951 2.22234
3573.7708 2.15679
3575.8467 2.03128
3577.9231 2.00327
3579.9998 2.04457
3582.0769 2.21654
3584.1545 2.07497
3586.2327 2.1234
3588.311 2.22204
3590.3896 2.21346
3592.469 1.96411
3594.5486 2.07108
3596.6284 2.16921
3598.7087 2.23219
3600.7896 1.72162
3602.8706 2.18283
3604.9524 1.9651
3607.0342 1.98686
3609.1167 2.03711
3611.1992 1.96175
3613.2825 1.81525
3615.366 1.78386
3617.4497 1.93824
3619.5342 1.79664
3621.6187 1.90574
3623.7039 1.84889
3625.7893 1.87282
3627.875 2.05187
3629.9612 2.03615
3632.0479 1.99326
3634.135 2.0932
3636.2222 1.94418
3638.3101 1.9653
3640.3982 2.02331
3642.4866 2.1846
3644.5754 2.21089
3646.6648 2.18208
3648.7544 2.13474
3650.8445 2.10856
3652.9348 2.18642
3655.0256 1.95163
3657.1167 1.83288
3659.2083 2.04476
3661.3003 2.01771
3663.3926 1.96152
3665.4851 2.19022
3667.5781 2.05876
3669.6716 2.02602
3671.7654 1.94891
3673.8596 2.20217
3675.9541 1.8236
3678.0488 2.13135
3680.144 2.00712
3682.2397 1.89162
3684.3357 2.03898
3686.4319 1.90911
3688.5288 1.76061
3690.6257 1.94095
3692.7231 1.91227
3694.821 2.17119
3696.9192 1.99548
3699.0176 1.86715
3701.1167 1.89223
3703.2158 2.14117
3705.3154 2.07519
3707.4153 1.86102
3709.5159 2.00427
3711.6165 1.98411
3713.7175 2.18683
3715.8188 1.8877
3717.9207 2.2445
3720.0227 2.09475
3722.1252 2.10776
3724.228 2.15056
3726.3313 2.09048
3728.4348 2.2309
3730.5386 2.27781
3732.6428 2.33799
3734.7473 2.0858
3736.8523 2.37315
3738.9575 1.9217
3741.0632 2.08917
3743.1692 2.33352
3745.2754 2.04442
3747.3821 2.28485
3749.489 2.25945
3751.5964 2.10838
3753.7041 1.98571
3755.8123 1.92823
3757.9204 2.12324
3760.0293 2.05662
3762.1382 2.01294
3764.2478 1.9618
3766.3574 1.93373
3768.4675 2.21715
3770.5779 2.17711
3772.6887 2.07127
3774.7998 2.18522
3776.9111 2.43654
3779.0229 2.55849
3781.135 2.65019
3783.2473 2.47361
3785.3601 2.42267
3787.4734 2.63018
3789.5867 2.74819
3791.7004 2.90182
3793.8145 2.82262
3795.929 2.94707
3798.0437 2.89568
3800.1587 2.99981
3802.2742 2.77703
3804.3899 2.74218
3806.5059 2.64228
3808.6223 2.65879
3810.739 2.65126
3812.856 2.72178
3814.9734 2.63233
3817.0911 2.54611
3819.209 2.73052
3821.3274 2.69222
3823.4458 2.78037
3825.5649 2.92778
3827.6841 2.67182
3829.8037 2.96515
3831.9236 2.72729
3834.0437 2.82294
3836.1643 2.83539
3838.2852 2.77935
3840.4065 2.7653
3842.5278 2.67623
3844.6497 2.65747
3846.7717 2.22154
3848.8943 2.34883
3851.0168 2.32264
3853.1399 2.21921
3855.2632 2.02847
3857.387 2.15511
3859.511 2.24514
3861.6353 2.04912
3863.7598 2.21946
3865.8845 2.186
3868.0098 2.07744
3870.1353 2.10824
3872.261 1.96427
3874.3872 2.24825
3876.5137 2.00435
3878.6404 1.96158
3880.7673 1.7569
3882.8945 1.83527
3885.0222 1.93696
3887.1501 2.03767
3889.2783 1.93401
3891.4067 1.95729
3893.5356 2.06832
3895.6648 1.85291
3897.7942 2.18749
3899.9238 1.79549
3902.0537 1.85617
3904.1841 1.81161
3906.3147 1.95147
3908.4456 2.07274
3910.5767 2.0131
3912.708 2.06493
3914.8398 1.8739
3916.9717 1.93275
3919.104 1.95518
3921.2368 2.11944
3923.3696 1.84858
3925.5027 2.0288
3927.6362 1.95102
3929.77 1.84569
3931.9041 1.76906
3934.0383 1.97592
3936.1729 1.73813
3938.3076 2.05634
3940.4429 1.90878
3942.5784 1.84668
3944.7141 1.99354
3946.8501 2.04378
3948.9863 1.98118
3951.1228 1.9633
3953.2595 1.8391
3955.3967 1.75076
3957.5342 1.77206
3959.6719 1.69587
3961.8098 1.76337
3963.948 1.72444
3966.0864 1.79143
3968.2251 1.92165
3970.364 1.794
3972.5034 1.82901
3974.6431 2.03956
3976.7827 1.91642
3978.9229 1.66441
3981.0632 1.86606
3983.2039 2.15165
3985.3447 2.00358
3987.4861 1.85474
3989.6274 1.94241
3991.769 1.99218
3993.9109 2.07525
3996.0532 2.0375
3998.1958 1.8714
4000.3384 1.92178
4002.4814 1.75673
4004.6248 2.06266
4006.7683 1.92156
4008.9121 1.83882
4011.0562 1.98578
4013.2004 2.08461
4015.345 1.83921
4017.4897 2.08711
4019.635 1.85424
4021.7803 1.79613
4023.9258 1.99693
4026.0715 1.95699
4028.2178 1.94716
4030.364 1.86848
4032.5107 1.958
4034.6575 1.76774
4036.8047 1.93221
4038.9519 1.91433
4041.0996 1.77976
