#wave flux
3200.17602 8.76577
3201.25 -2.826
3202.32398 0.91023
3203.39795 0.46702
3204.4729 -5.40631
3205.54712 -2.07648
3206.62109 3.21989
3207.69507 2.08317
3208.77002 7.46941
3209.84399 4.40822
3210.91797 -4.08031
3211.99194 4.12333
3213.0669 -2.28489
3214.14111 0.57706
3215.21509 0.36453
3216.28906 3.81644
3217.36401 2.43977
3218.43799 0.26195
3219.51196 2.71893
3220.58594 9.03442
3221.66089 4.28298
3222.73511 2.587
3223.80908 7.9675
3224.88306 8.81071
3225.95801 4.52868
3227.03198 5.57266
3228.10596 8.51625
3229.17993 2.77247
3230.25488 -3.65583
3231.3291 -3.62428
3232.40308 2.82887
3233.47705 -0.0525
3234.552 -1.35277
3235.62598 5.57553
3236.69995 2.0239
3237.77393 -3.20554
3238.84912 -1.42925
3239.9231 8.26291
3240.99707 4.79063
3242.07104 -5.57935
3243.146 -3.01816
3244.21997 -2.07553
3245.29394 1.32027
3246.36792 2.61759
3247.44312 8.94073
3248.51709 1.27438
3249.59106 3.65679
3250.66504 1.23901
3251.73999 5.0478
3252.81396 -2.86233
3253.88794 0.80746
3254.96191 1.40153
3256.03711 -3.42256
3257.11108 0.47859
3258.18506 -2.42256
3259.25903 -1.61281
3260.33301 4.48375
3261.40796 3.78872
3262.48193 3.32696
3263.55591 4.06405
3264.62988 -3.17591
3265.70508 -2.66922
3266.77905 2.42734
3267.85303 -1.35086
3268.927 1.68738
3270.00195 7.86998
3271.07593 6.15488
3272.1499 0.64082
3273.22412 -0.09028
3274.29907 -0.6891
3275.37305 1.79254
3276.44702 0.82973
3277.521 -0.96272
3278.59595 2.59465
3279.66992 -0.59465
3280.7439 2.92734
3281.81812 1.89579
3282.89307 1.85946
3283.96704 1.16444
3285.04102 0.65813
3286.11499 -0.31444
3287.18994 5.52008
3288.26392 4.03728
3289.33789 -3.43595
3290.41211 0.41625
3291.48706 0.87132
3292.56104 -0.38537
3293.63501 0.20946
3294.70898 -0.40736
3295.78394 1.2065
3296.85791 -0.74924
3297.93188 -2.4914
3299.0061 0.68604
3300.08106 -1.35086
3301.15503 -0.6326
3302.229 2.15679
3303.30298 -1.35946
3304.37793 -1.52581
3305.4519 3.10229
3306.52588 0.08092
3307.6001 -1.93499
3308.67505 -1.28967
3309.74902 0.46826
3310.823 4.42065
3311.89697 1.86998
3312.97192 4.06883
3314.0459 3.49044
3315.12012 2.10421
3316.19409 -0.47925
3317.26904 -4.76577
3318.34302 -0.68203
3319.41699 1.56692
3320.49097 2.07553
3321.56592 0.39713
3322.63989 1.32122
3323.71411 1.4608
3324.78809 0.63834
3325.86304 -1.174
3326.93701 -0.11673
3328.01099 2.43021
3329.08496 0.67141
3330.15894 2.60229
3331.23389 0.47294
3332.3081 1.34608
3333.38208 -0.10793
3334.45606 -1.2543
3335.53101 1.30688
3336.60498 2.0325
3337.67896 0.87562
3338.75293 2.46272
3339.82788 0.26912
3340.9021 3.22849
3341.97607 3.10038
3343.05005 -1.26673
3344.125 0.41166
3345.19898 3.80688
3346.27295 3.17591
3347.34692 -1.54589
3348.42212 0.72046
3349.49609 0.69608
3350.57007 -0.21319
3351.64404 -0.70774
3352.71899 2.85564
3353.79297 2.74952
3354.86694 -1.82314
3355.94092 -1.0631
3357.01611 2.57553
3358.09009 1.82887
3359.16406 1.53824
3360.23804 1.23423
3361.31299 -1.32792
3362.38696 -0.94665
3363.46094 3.10707
3364.53491 1.44073
3365.61011 1.06597
3366.68408 -0.58939
3367.75806 2.09656
3368.83203 4.42161
3369.90698 2.5392
3370.98096 1.27247
3372.05493 2.38528
3373.12891 1.93499
3374.2041 3.36424
3375.27808 4.8499
3376.35205 3.09656
3377.42602 1.73136
3378.50098 0.29407
3379.57495 -0.80545
3380.64893 -0.88489
3381.7229 1.76386
3382.7981 1.52964
3383.87207 -0.06011
3384.94604 -1.35182
3386.02002 1.64436
3387.09497 1.33556
3388.16894 1.68738
3389.24292 -0.12476
3390.3169 2.6348
3391.39209 1.32409
3392.46606 0.51367
3393.54004 0.67447
3394.61401 0.18614
3395.68799 0.11128
