#wave flux
3800.0 0.5603
3801.53 0.58159
3803.06 0.42477
3804.59 0.46983
3806.12 0.48716
3807.65 0.53238
3809.18 0.58879
3810.71 0.60281
3812.24 0.51077
3813.77 0.49474
3815.3 0.53995
3816.83 0.51265
3818.36 0.51531
3819.89 0.59867
3821.42 0.63411
3822.95 0.63915
3824.48 0.51379
3826.01 0.56312
3827.54 0.63077
3829.07 0.63055
3830.6 0.65455
3832.13 0.49189
3833.66 0.63101
3835.19 0.57059
3836.72 0.58326
3838.25 0.5994
3839.78 0.69736
3841.31 0.60077
3842.84 0.48368
3844.37 0.53046
3845.9 0.58453
3847.43 0.54532
3848.96 0.502
3850.49 0.53302
3852.02 0.59332
3853.55 0.57751
3855.08 0.63028
3856.61 0.5709
3858.14 0.63928
3859.67 0.55049
3861.2 0.59911
3862.73 0.58177
3864.26 0.53054
3865.79 0.67066
3867.32 0.66647
3868.85 0.68029
3870.38 0.69282
3871.91 0.61792
3873.44 0.58674
3874.97 0.68886
3876.5 0.66387
3878.03 0.64073
3879.56 0.60269
3881.09 0.57431
3882.62 0.59624
3884.15 0.60428
3885.68 0.61496
3887.21 0.66517
3888.74 0.65966
3890.27 0.59737
3891.8 0.63071
3893.33 0.63321
3894.86 0.63783
3896.39 0.57312
3897.92 0.60595
3899.45 0.63016
3900.98 0.625
3902.51 0.64037
3904.04 0.61259
3905.57 0.60287
3907.1 0.62173
3908.63 0.59475
3910.16 0.55498
3911.69 0.57848
3913.22 0.54045
3914.75 0.53314
3916.28 0.63157
3917.81 0.53555
3919.34 0.56844
3920.87 0.63047
3922.4 0.62725
3923.93 0.62091
3925.46 0.5625
3926.99 0.58638
3928.52 0.59169
3930.05 0.60384
3931.58 0.58981
3933.11 0.53692
3934.64 0.53186
3936.17 0.62274
3937.7 0.64061
3939.23 0.60527
3940.76 0.56048
3942.29 0.59176
3943.82 0.59393
3945.35 0.62272
3946.88 0.61173
3948.41 0.62725
3949.94 0.49982
3951.47 0.56685
3953.0 0.53435
3954.53 0.55291
3956.06 0.53858
3957.59 0.52575
3959.12 0.57618
3960.65 0.62687
3962.18 0.67837
3963.71 0.60147
3965.24 0.58654
3966.77 0.55452
3968.3 0.54016
3969.83 0.56355
3971.36 0.6185
3972.89 0.55286
3974.42 0.51758
3975.95 0.56504
3977.48 0.60406
3979.01 0.55856
3980.54 0.53015
3982.07 0.61714
3983.6 0.5911
3985.13 0.56931
3986.66 0.65226
3988.19 0.65549
3989.72 0.57987
3991.25 0.5781
3992.78 0.65108
3994.31 0.67039
3995.84 0.56418
3997.37 0.54343
3998.9 0.57893
4000.43 0.54092
4001.96 0.59188
4003.49 0.65656
4005.02 0.57347
4006.55 0.61485
4008.08 0.66025
4009.61 0.62178
4011.14 0.61384
4012.67 0.61672
4014.2 0.56798
4015.73 0.56153
4017.26 0.55469
4018.79 0.57009
4020.32 0.57606
4021.85 0.56543
4023.38 0.58176
4024.91 0.62347
4026.44 0.56055
4027.97 0.54933
4029.5 0.52069
4031.03 0.51544
4032.56 0.56299
4034.09 0.57532
4035.62 0.57468
4037.15 0.62139
4038.68 0.63505
4040.21 0.56299
4041.74 0.61867
4043.27 0.63453
4044.8 0.60911
4046.33 0.52464
4047.86 0.41231
4049.39 0.50244
4050.92 0.56305
4052.45 0.63195
4053.98 0.64073
4055.51 0.61874
4057.04 0.62273
4058.57 0.57145
4060.1 0.57327
4061.63 0.58394
4063.16 0.56265
4064.69 0.61195
4066.22 0.60054
4067.75 0.50727
4069.28 0.47487
4070.81 0.51511
4072.34 0.56402
4073.87 0.57824
4075.4 0.57443
4076.93 0.6192
4078.46 0.55895
4079.99 0.51185
4081.52 0.55317
4083.05 0.52909
4084.58 0.50246
4086.11 0.5165
4087.64 0.62194
4089.17 0.60949
4090.7 0.57425
4092.23 0.55295
4093.76 0.5461
4095.29 0.50519
4096.82 0.5061
4098.35 0.57766
4099.88 0.56142
4101.41 0.58566
4102.94 0.55437
4104.47 0.56513
4106.0 0.53891
4107.53 0.5149
4109.06 0.51269
4110.59 0.527
4112.12 0.48526
4113.65 0.47194
4115.18 0.53363
4116.71 0.59049
4118.24 0.5458
4119.77 0.50962
4121.3 0.50757
4122.83 0.52111
4124.36 0.52745
4125.89 0.51217
4127.42 0.45985
4128.95 0.53199
4130.48 0.57892
4132.01 0.5546
4133.54 0.46772
4135.07 0.54407
4136.6 0.53776
4138.13 0.50136
4139.66 0.48076
4141.19 0.50129
4142.72 0.56176
4144.25 0.45942
4145.78 0.42561
4147.31 0.42069
4148.84 0.47513
4150.37 0.44932
4151.9 0.51135
4153.43 0.61576
4154.96 0.51003
4156.49 0.48569
4158.02 0.46271
4159.55 0.46745
4161.08 0.45498
4162.61 0.49954
4164.14 0.49488
4165.67 0.44793
4167.2 0.51393
4168.73 0.54458
4170.26 0.51598
4171.79 0.49367
4173.32 0.51398
4174.85 0.52643
4176.38 0.54883
4177.91 0.50469
4179.44 0.50649
4180.97 0.48524
4182.5 0.45587
4184.03 0.55427
4185.56 0.5034
4187.09 0.46535
4188.62 0.51271
4190.15 0.5875
4191.68 0.53339
4193.21 0.46067
4194.74 0.47325
4196.27 0.4595
4197.8 0.50092
4199.33 0.50034
4200.86 0.43851
4202.39 0.46217
4203.92 0.58614
4205.45 0.52147
4206.98 0.48402
4208.51 0.47252
4210.04 0.48875
4211.57 0.48574
4213.1 0.47974
4214.63 0.46633
4216.16 0.45895
4217.69 0.46068
4219.22 0.51858
4220.75 0.50247
4222.28 0.48108
4223.81 0.46934
4225.34 0.47743
4226.87 0.47422
4228.4 0.50084
4229.93 0.49522
4231.46 0.4122
4232.99 0.44102
4234.52 0.47582
4236.05 0.50637
4237.58 0.51376
4239.11 0.55143
4240.64 0.49875
4242.17 0.48204
4243.7 0.40438
4245.23 0.46633
4246.76 0.52979
4248.29 0.54303
4249.82 0.48832
4251.35 0.46615
4252.88 0.45102
4254.41 0.50662
4255.94 0.4754
4257.47 0.46895
4259.0 0.49098
4260.53 0.50102
4262.06 0.50675
4263.59 0.48641
4265.12 0.48976
4266.65 0.50661
4268.18 0.46228
4269.71 0.49612
4271.24 0.52154
4272.77 0.50494
4274.3 0.49959
4275.83 0.44726
4277.36 0.45807
4278.89 0.51186
4280.42 0.50017
4281.95 0.48872
4283.48 0.50383
4285.01 0.52176
4286.54 0.4688
4288.07 0.4696
4289.6 0.4846
4291.13 0.4717
4292.66 0.50782
4294.19 0.45118
4295.72 0.51368
4297.25 0.53158
4298.78 0.51452
4300.31 0.46564
4301.84 0.50584
4303.37 0.48979
4304.9 0.45049
4306.43 0.48472
4307.96 0.45649
4309.49 0.50506
4311.02 0.47682
4312.55 0.49073
4314.08 0.46051
4315.61 0.4766
4317.14 0.46192
4318.67 0.44811
4320.2 0.48387
4321.73 0.50733
4323.26 0.44395
4324.79 0.44438
4326.32 0.42545
4327.85 0.49134
4329.38 0.5131
4330.91 0.44364
4332.44 0.40221
4333.97 0.46906
4335.5 0.47165
4337.03 0.50567
4338.56 0.44861
4340.09 0.46087
4341.62 0.45194
4343.15 0.45574
4344.68 0.4612
4346.21 0.4228
4347.74 0.49148
4349.27 0.47327
4350.8 0.48801
4352.33 0.4636
4353.86 0.45253
4355.39 0.51682
4356.92 0.43669
