#wave flux
3060.5161 0.96307
3062.4639 2.78305
3064.4124 2.68617
3066.3613 2.28492
3068.311 1.83
3070.2612 0.88564
3072.2119 3.53241
3074.1633 0.21784
3076.1152 3.84709
3078.0679 0.56213
3080.021 -0.30834
3081.9746 0.29064
3083.929 1.32389
3085.8838 1.05734
3087.8391 1.73435
3089.7952 1.07291
3091.7517 1.38548
3093.709 0.43608
3095.6667 0.42254
3097.625 1.91876
3099.584 1.19426
3101.5435 1.29939
3103.5034 1.15663
3105.4641 1.32075
3107.4253 0.95407
3109.387 1.61278
3111.3494 0.71959
3113.3123 1.02442
3115.2756 1.04199
3117.2397 1.6169
3119.2043 1.1347
3121.1697 1.23021
3123.1353 1.43615
3125.1016 1.29518
3127.0686 1.02539
3129.0359 1.29017
3131.0039 1.88363
3132.9724 1.43008
3134.9417 0.67055
3136.9114 0.93798
3138.8816 0.6354
3140.8523 1.21483
3142.8237 1.59176
3144.7959 1.26107
3146.7683 1.29698
3148.7412 1.77733
3150.7148 1.02005
3152.6892 1.22428
3154.6638 1.11953
3156.6392 0.85594
3158.615 0.53945
3160.5913 0.69259
3162.5684 1.05372
3164.5459 0.66482
3166.5239 1.3283
3168.5024 0.81304
3170.4817 0.62199
3172.4612 0.37316
3174.4417 1.21761
3176.4224 0.93227
3178.4038 0.89648
3180.3857 0.88089
3182.3682 0.722
3184.3511 1.36759
3186.3347 0.89674
3188.3186 0.72247
3190.3035 0.82407
3192.2886 1.07032
3194.2744 0.7823
3196.2605 1.31979
3198.2473 0.85947
3200.2346 0.64263
3202.2224 0.80016
3204.2109 0.98218
3206.2 0.9323
3208.1895 0.9533
3210.1794 1.2501
3212.1699 0.38913
3214.1611 0.67975
3216.1528 0.94738
3218.145 0.71711
3220.1377 1.14302
3222.1309 0.60964
3224.1248 1.44616
3226.1189 1.35558
3228.1138 1.27264
3230.1091 0.57984
3232.105 0.89609
3234.1016 1.29437
3236.0984 1.25514
3238.0959 1.02791
3240.094 1.13642
3242.0925 0.88146
3244.0916 1.32751
3246.0913 0.75302
3248.0913 0.73475
3250.0918 1.10306
3252.093 1.06866
3254.0947 0.90473
3256.0969 1.11013
3258.0996 1.17203
3260.1028 0.74736
3262.1067 1.2344
3264.1108 1.19603
3266.1157 1.49226
3268.1211 1.37331
3270.127 1.05999
3272.1333 1.23361
3274.1401 0.66636
3276.1475 1.09346
3278.1555 0.59119
3280.1638 1.1283
3282.1726 0.87466
3284.1821 1.32736
3286.1921 0.91821
3288.2024 0.81723
3290.2134 0.9369
3292.2249 0.97696
3294.2368 0.58908
3296.2495 0.80044
3298.2625 0.60592
3300.2759 0.53427
3302.2898 0.73894
3304.3044 1.18067
3306.3193 0.33951
3308.335 0.69904
3310.3508 0.80604
3312.3674 0.86127
3314.3845 0.86066
3316.4019 1.16399
3318.4199 0.74829
3320.4385 0.76781
3322.4575 0.68364
3324.4771 0.87845
3326.4971 0.90586
3328.5176 0.82004
3330.5386 1.04103
3332.5601 0.43748
3334.582 0.69312
3336.6045 0.81738
3338.6274 0.62324
3340.6509 0.89647
3342.6748 1.03682
3344.6992 0.81968
3346.7241 0.57756
3348.7498 0.61352
3350.7756 1.00068
3352.802 0.64936
3354.8289 0.75423
3356.8562 0.89453
3358.884 0.70086
3360.9124 0.8142
3362.9412 0.79021
3364.9705 0.90283
3367.0002 0.56522
3369.0305 0.38766
3371.0613 1.16015
3373.0925 0.46347
3375.1243 0.86817
3377.1565 0.8303
3379.1892 0.62556
3381.2224 0.99422
3383.2559 0.5926
3385.29 0.71832
3387.3247 0.74286
3389.3596 0.89495
3391.3953 0.9497
3393.4312 0.71766
3395.4675 0.62533
3397.5046 0.81409
3399.542 0.94214
3401.5798 0.96254
3403.6182 0.73043
3405.657 0.79509
3407.6963 0.88862
3409.7361 0.80419
3411.7764 0.75559
3413.8169 0.91766
3415.8582 0.84109
3417.8997 0.87032
3419.9419 0.79412
3421.9844 1.01106
3424.0273 0.64379
3426.0708 0.81752
3428.1147 0.82046
3430.1592 0.99891
3432.2041 0.63303
3434.2493 1.06214
3436.2949 0.78574
3438.3413 0.7938
3440.3879 0.81346
3442.4351 0.86302
3444.4827 0.94725
3446.5308 0.97851
3448.5791 0.89593
3450.6282 0.80938
3452.6775 1.08536
3454.7273 0.58328
3456.7776 0.73463
3458.8284 0.8896
3460.8796 0.88539
3462.9314 0.70318
3464.9834 0.73433
3467.0359 0.82926
3469.0889 0.81031
3471.1423 0.83769
3473.1963 0.77556
3475.2505 0.84441
3477.3054 0.84977
3479.3606 0.71506
3481.416 1.01368
3483.4722 0.95692
3485.5288 0.80943
3487.5857 0.85552
3489.6431 0.99173
3491.7009 1.01841
3493.7593 0.96538
3495.8181 0.76558
3497.8772 0.82913
3499.9368 0.76332
3501.9968 0.85157
3504.0571 0.8854
3506.1182 0.77677
3508.1794 1.02979
3510.2412 0.92303
3512.3035 0.86264
3514.366 0.88619
3516.429 0.96221
3518.4924 0.96874
3520.5564 0.87098
3522.6206 0.94957
3524.6855 0.72211
3526.7507 1.02922
3528.8164 0.81053
3530.8823 0.63189
3532.9487 0.94109
3535.0156 0.84616
3537.083 0.79926
3539.1506 0.60381
3541.2188 0.76951
3543.2874 0.74835
3545.3564 0.83902
3547.4258 0.94373
3549.4956 0.82429
3551.5659 0.64747
3553.6365 0.71144
3555.7075 0.91411
3557.7791 0.98592
3559.8508 0.86753
3561.9231 0.89907
3563.9958 0.7133
3566.0691 0.82061
3568.1426 0.75542
3570.2166 0.96262
3572.291 0.92567
3574.3657 0.96941
3576.4409 0.85785
3578.5164 0.97207
3580.5923 0.95242
3582.6687 0.85018
3584.7456 0.61013
3586.8228 0.82856
3588.9004 0.67851
3590.9785 0.79794
3593.0569 0.88221
3595.1357 0.74366
3597.2148 0.77607
3599.2944 0.84378
3601.3745 0.83692
3603.4548 0.77987
3605.5359 0.88394
3607.6169 0.94442
3609.6985 0.82723
3611.7805 0.78026
3613.863 0.78508
3615.9458 0.87274
3618.0291 1.00371
3620.1125 0.87131
3622.1965 0.80604
3624.281 0.79865
3626.3655 0.91302
3628.4507 0.7015
3630.5364 0.95052
3632.6223 0.68612
3634.7085 0.9106
3636.7952 0.83275
3638.8823 0.89077
3640.9697 0.92594
3643.0576 0.74772
3645.1458 0.80326
3647.2344 0.82455
3649.3235 1.0455
3651.4128 1.01773
3653.5024 0.91766
3655.5928 0.97006
3657.6831 0.72818
3659.7742 1.07617
3661.8655 1.03075
3663.957 1.02829
3666.0491 1.11972
3668.1416 1.04029
3670.2341 1.03075
3672.3274 0.83765
3674.4209 0.94311
3676.5149 0.98692
3678.6091 0.95294
3680.7036 0.89083
3682.7986 1.00247
3684.894 1.13027
3686.99 1.02009
3689.0859 1.03588
3691.1826 1.0
3693.2793 1.13239
3695.3767 1.13595
3697.4741 1.0425
3699.572 1.10614
3701.6704 0.95843
3703.769 1.08981
3705.8682 1.06629
3707.9675 1.02096
3710.0674 1.04041
3712.1675 1.11535
3714.2678 1.26763
3716.3687 1.10141
3718.47 1.08156
3720.5715 1.16625
3722.6733 1.3542
3724.7756 1.41103
3726.8784 1.3814
3728.9812 1.23838
3731.0847 1.11546
3733.1882 1.43012
3735.2925 1.35414
3737.3967 1.41408
3739.5015 1.50958
3741.6067 1.40335
3743.7119 1.60097
3745.8179 1.62987
3747.9238 1.52392
3750.0305 1.66035
3752.1372 1.76717
3754.2444 1.57168
3756.3521 1.65332
3758.4597 1.46991
3760.5681 1.50454
3762.6765 1.485
3764.7854 1.48405
3766.8948 1.42252
3769.0044 1.50441
3771.1143 1.51214
3773.2246 1.24656
3775.3352 1.18436
3777.446 1.28409
3779.5571 1.21298
3781.6689 1.31582
3783.7808 1.3019
3785.8931 1.30658
