#wave flux
3400.0 0.14518
3401.53 0.21695
3403.06 0.3425
3404.59 0.37874
3406.12 0.33427
3407.65 0.43317
3409.18 0.52694
3410.71 0.49435
3412.24 0.42536
3413.77 0.66521
3415.3 0.75217
3416.83 0.699
3418.36 0.64111
3419.89 0.63037
3421.42 0.83361
3422.95 0.94415
3424.48 1.1626
3426.01 0.84302
3427.54 1.3008
3429.07 1.6995
3430.6 1.5851
3432.13 1.1912
3433.66 1.4073
3435.19 1.2637
3436.72 1.1317
3438.25 1.2103
3439.78 1.5234
3441.31 1.3188
3442.84 1.1633
3444.37 1.2621
3445.9 1.3014
3447.43 1.3863
3448.96 1.3777
3450.49 1.2324
3452.02 1.0972
3453.55 0.99912
3455.08 1.3444
3456.61 1.3001
3458.14 1.3531
3459.67 1.1244
3461.2 1.3161
3462.73 1.3222
3464.26 1.4895
3465.79 1.3512
3467.32 1.4758
3468.85 1.2634
3470.38 1.6621
3471.91 1.8363
3473.44 1.5316
3474.97 1.4655
3476.5 1.716
3478.03 1.8735
3479.56 1.4114
3481.09 1.4821
3482.62 1.6969
3484.15 1.546
3485.68 1.4054
3487.21 1.5598
3488.74 1.2537
3490.27 1.512
3491.8 1.5132
3493.33 1.5282
3494.86 1.6599
3496.39 1.2295
3497.92 1.3881
3499.45 1.304
3500.98 1.1239
3502.51 1.2592
3504.04 1.8234
3505.57 1.4664
3507.1 1.3814
3508.63 1.2416
3510.16 1.3371
3511.69 1.0564
3513.22 1.3996
3514.75 1.5007
3516.28 1.3305
3517.81 1.1498
3519.34 1.0583
3520.87 1.3419
3522.4 1.2634
3523.93 1.5331
3525.46 1.3094
3526.99 1.2968
3528.52 1.3765
3530.05 1.2806
3531.58 1.09
3533.11 1.2336
3534.64 1.2126
3536.17 1.1583
3537.7 1.1223
3539.23 1.1663
3540.76 1.2113
3542.29 1.174
3543.82 1.3085
3545.35 1.32
3546.88 1.5752
3548.41 1.4324
3549.94 1.2268
3551.47 1.0337
3553.0 1.3385
3554.53 1.4129
3556.06 1.2701
3557.59 1.2378
3559.12 1.0869
3560.65 1.2999
3562.18 1.1232
3563.71 1.2348
3565.24 1.2009
3566.77 0.92414
3568.3 1.1095
3569.83 1.2324
3571.36 1.0806
3572.89 1.1699
3574.42 1.1423
3575.95 0.91501
3577.48 1.0161
3579.01 1.0326
3580.54 1.0
3582.07 1.0908
3583.6 1.1515
3585.13 1.1453
3586.66 1.1603
3588.19 1.1174
3589.72 1.14
3591.25 1.2449
3592.78 1.0818
3594.31 1.0119
3595.84 1.0286
3597.37 1.0995
3598.9 1.0545
3600.43 0.99429
3601.96 0.98544
3603.49 1.093
3605.02 1.1412
3606.55 1.0902
3608.08 1.02
3609.61 0.95782
3611.14 1.0249
3612.67 1.0954
3614.2 1.072
3615.73 1.0008
3617.26 0.99148
3618.79 1.0609
3620.32 1.0722
3621.85 1.0223
3623.38 1.0858
3624.91 1.0239
3626.44 1.0844
3627.97 1.1011
3629.5 1.0573
3631.03 1.1664
3632.56 1.2073
3634.09 1.1562
3635.62 0.98536
3637.15 1.0656
3638.68 0.96951
3640.21 1.0831
3641.74 1.1682
3643.27 1.1202
3644.8 1.1941
3646.33 1.2113
3647.86 1.0736
3649.39 1.1298
3650.92 1.0533
3652.45 1.1378
3653.98 1.1687
3655.51 1.045
3657.04 0.90295
3658.57 0.83142
3660.1 0.93443
3661.63 1.0907
3663.16 1.0495
3664.69 0.87028
3666.22 0.85557
3667.75 0.93821
3669.28 0.99358
3670.81 1.008
3672.34 0.91234
3673.87 0.95179
3675.4 0.92415
3676.93 0.9479
3678.46 0.91022
3679.99 0.98513
3681.52 0.91618
3683.05 0.93763
3684.58 0.96979
3686.11 0.80711
3687.64 0.93898
3689.17 0.83062
3690.7 0.85456
3692.23 0.85189
3693.76 0.90202
3695.29 0.80103
3696.82 0.78635
3698.35 0.92577
3699.88 0.84682
3701.41 0.7531
3702.94 0.79778
3704.47 0.89535
3706.0 0.89213
3707.53 0.77364
3709.06 0.70854
3710.59 0.76171
3712.12 0.81301
3713.65 0.95668
3715.18 0.98157
3716.71 0.7906
3718.24 0.8401
3719.77 0.83371
3721.3 0.90408
3722.83 0.90816
3724.36 0.88838
