#wave flux
4600.0 2.43736
4600.62305 2.13166
4601.24609 2.63346
4601.86914 2.84057
4602.49219 2.82864
4603.11523 2.56645
4603.73828 2.16507
4604.36133 2.38312
4604.98438 1.84584
4605.60742 2.26827
4606.23047 2.10525
4606.85352 2.46157
4607.47656 2.53489
4608.09961 2.65442
4608.72266 2.60658
4609.3457 1.89053
4609.96875 2.64573
4610.5918 2.37872
4611.21484 1.70243
4611.83789 1.98016
4612.46094 2.42795
4613.08398 2.43224
4613.70703 2.39516
4614.33008 2.64579
4614.95312 2.88406
4615.57617 2.80105
4616.19922 2.46373
4616.82227 2.31348
4617.44531 2.3905
4618.06836 2.54474
4618.69141 2.25515
4619.31445 2.56523
4619.9375 2.5933
4620.56055 2.24428
4621.18359 2.61743
4621.80664 2.77432
4622.42969 2.87396
4623.05273 3.20463
4623.67578 2.76178
4624.29883 2.6417
4624.92188 2.52401
4625.54492 2.65855
4626.16797 3.15914
4626.79102 2.74995
4627.41406 2.40032
4628.03711 2.52883
4628.66016 2.78349
4629.2832 2.86474
4629.90625 2.78074
4630.5293 2.93132
4631.15234 3.0278
4631.77539 2.82609
4632.39844 2.55888
4633.02148 2.80971
4633.64453 3.25814
4634.26758 2.90498
4634.89062 2.57105
4635.51367 2.91246
4636.13672 3.02297
4636.75977 2.87622
4637.38281 2.95118
4638.00586 3.05414
4638.62891 3.09843
4639.25195 3.06386
4639.875 3.22458
4640.49805 3.14233
4641.12109 2.68884
4641.74414 3.1226
4642.36719 3.17285
4642.99023 3.06283
4643.61328 3.27109
4644.23633 3.23931
4644.85938 3.56668
4645.48242 3.70853
4646.10547 3.19098
4646.72852 2.9065
4647.35156 2.9381
4647.97461 3.07803
4648.59766 3.33507
4649.2207 3.74303
4649.84375 3.39659
4650.4668 3.16666
4651.08984 3.25278
4651.71289 3.45342
4652.33594 3.54468
4652.95898 3.43287
4653.58203 3.41019
4654.20508 3.30601
4654.82812 3.5095
4655.45117 3.21911
4656.07422 3.57184
4656.69727 3.63616
4657.32031 3.72149
4657.94336 3.4401
4658.56641 3.67106
4659.18945 3.74455
4659.8125 3.83216
4660.43555 3.76954
4661.05859 3.94185
4661.68164 3.83426
4662.30469 3.41843
4662.92773 3.45022
4663.55078 4.38606
4664.17383 3.94968
4664.79688 3.99019
4665.41992 3.8837
4666.04297 3.82526
4666.66602 4.28201
4667.28906 4.36451
4667.91211 4.44538
4668.53516 4.04989
4669.1582 4.82008
4669.78125 4.49198
4670.4043 3.90321
4671.02734 4.5026
4671.65039 4.79031
4672.27344 4.19301
4672.89648 4.2704
4673.51953 4.77712
4674.14258 4.46685
4674.76562 4.49779
4675.38867 4.96935
4676.01172 5.05014
4676.63477 5.03855
4677.25781 4.71973
4677.88086 4.74661
4678.50391 5.1403
4679.12695 4.60579
4679.75 4.21419
4680.37305 4.35725
4680.99609 4.05861
4681.61914 4.23538
4682.24219 4.354
4682.86523 3.9131
4683.48828 4.44761
4684.11133 5.0821
4684.73438 4.5009
4685.35742 4.07469
4685.98047 4.38611
4686.60352 4.2241
4687.22656 4.50404
4687.84961 4.45523
4688.47266 4.08366
4689.0957 3.90765
4689.71875 3.50644
4690.3418 3.58603
4690.96484 3.88055
4691.58789 4.18861
4692.21094 3.86186
4692.83398 3.69461
4693.45703 3.70816
4694.08008 3.33842
4694.70312 3.53606
4695.32617 3.20956
4695.94922 3.24046
4696.57227 3.73384
4697.19531 3.07757
4697.81836 2.9762
4698.44141 3.35371
4699.06445 3.39254
4699.6875 3.46855
4700.31055 3.43557
4700.93359 3.29091
4701.55664 2.98942
4702.17969 3.10291
4702.80273 3.01125
4703.42578 2.76057
4704.04883 2.68671
4704.67188 2.82623
4705.29492 2.88038
4705.91797 3.3295
4706.54102 3.31113
4707.16406 3.23555
4707.78711 3.39739
4708.41016 2.89264
4709.0332 2.6711
4709.65625 3.39932
4710.2793 3.47869
4710.90234 2.76618
4711.52539 2.76386
4712.14844 2.99319
4712.77148 2.85622
4713.39453 2.53376
4714.01758 2.70231
4714.64062 2.11825
4715.26367 2.77785
4715.88672 2.62276
4716.50977 2.74226
4717.13281 3.50988
4717.75586 2.88814
4718.37891 2.76495
4719.00195 2.64834
4719.625 3.63562
4720.24805 2.92229
4720.87109 2.96154
4721.49414 2.85738
4722.11719 2.65262
4722.74023 2.76023
4723.36328 2.69004
4723.98633 2.51047
4724.60938 2.89216
4725.23242 2.746
4725.85547 3.00017
4726.47852 3.00678
4727.10156 2.27881
4727.72461 2.3377
4728.34766 2.75925
4728.9707 2.5842
4729.59375 2.92103
4730.2168 2.66806
4730.83984 2.48779
4731.46289 2.59282
4732.08594 2.81798
4732.70898 2.86747
4733.33203 2.72365
4733.95508 2.57739
4734.57812 2.4166
