#wave flux
3800.0 1.25526
3801.53 1.3196
3803.06 1.26052
3804.59 1.25986
3806.12 1.30189
3807.65 1.33329
3809.18 1.27277
3810.71 1.20636
3812.24 1.06486
3813.77 1.13469
3815.3 1.30323
3816.83 1.26908
3818.36 1.27611
3819.89 1.41439
3821.42 1.46298
3822.95 1.37977
3824.48 1.46667
3826.01 1.46486
3827.54 1.42793
3829.07 1.50176
3830.6 1.40343
3832.13 1.19003
3833.66 1.21774
3835.19 1.2679
3836.72 1.44178
3838.25 1.47075
3839.78 1.58987
3841.31 1.68031
3842.84 1.68439
3844.37 1.65742
3845.9 1.68352
3847.43 1.66229
3848.96 1.6986
3850.49 1.73043
3852.02 1.7835
3853.55 1.79166
3855.08 1.78475
3856.61 1.86415
3858.14 1.75115
3859.67 1.79872
3861.2 1.83232
3862.73 1.8525
3864.26 1.95306
3865.79 2.02414
3867.32 2.01821
3868.85 2.06932
3870.38 1.89061
3871.91 1.93743
3873.44 2.00283
3874.97 1.93284
3876.5 1.78817
3878.03 1.82086
3879.56 1.94364
3881.09 1.87248
3882.62 1.87412
3884.15 1.6232
3885.68 1.44241
3887.21 1.47094
3888.74 1.75241
3890.27 1.85018
3891.8 1.88405
3893.33 1.8943
3894.86 1.89316
3896.39 1.71383
3897.92 1.60695
3899.45 1.65927
3900.98 1.72018
3902.51 1.75975
3904.04 1.76316
3905.57 1.94301
3907.1 1.93167
3908.63 1.82679
3910.16 1.68435
3911.69 1.50289
3913.22 1.53351
3914.75 1.6763
3916.28 1.87263
3917.81 1.87758
3919.34 1.80524
3920.87 1.75696
3922.4 1.7572
3923.93 1.87059
3925.46 1.73777
3926.99 1.65055
3928.52 1.44465
3930.05 1.08739
3931.58 0.95135
3933.11 1.14693
3934.64 1.45791
3936.17 1.57869
3937.7 1.78558
3939.23 1.95168
3940.76 1.82573
3942.29 1.69232
3943.82 1.70099
3945.35 1.71748
3946.88 1.77251
3948.41 1.72124
3949.94 1.78463
3951.47 1.94089
3953.0 1.90003
3954.53 1.80987
3956.06 1.74625
3957.59 1.76697
3959.12 1.6867
3960.65 1.56986
3962.18 1.49626
3963.71 1.31092
3965.24 1.02318
3966.77 0.87316
3968.3 0.9999
3969.83 1.28655
3971.36 1.54886
3972.89 1.62657
3974.42 1.64683
3975.95 1.70362
3977.48 1.65369
3979.01 1.63273
3980.54 1.6208
3982.07 1.64396
3983.6 1.62422
3985.13 1.68458
3986.66 1.6378
3988.19 1.6429
3989.72 1.68219
3991.25 1.73239
3992.78 1.71716
3994.31 1.55078
3995.84 1.54654
3997.37 1.64871
3998.9 1.58732
4000.43 1.53991
4001.96 1.5518
4003.49 1.62618
4005.02 1.54772
4006.55 1.59619
4008.08 1.52888
4009.61 1.50525
4011.14 1.56864
4012.67 1.58677
4014.2 1.56852
4015.73 1.65291
4017.26 1.6951
4018.79 1.67948
4020.32 1.63046
4021.85 1.52617
4023.38 1.53626
4024.91 1.51283
4026.44 1.52931
4027.97 1.58709
4029.5 1.59227
4031.03 1.51432
4032.56 1.49818
4034.09 1.56181
4035.62 1.57327
4037.15 1.49559
4038.68 1.52389
4040.21 1.52896
4041.74 1.37961
4043.27 1.36418
4044.8 1.46439
4046.33 1.42667
4047.86 1.45497
4049.39 1.43224
4050.92 1.39951
4052.45 1.39943
4053.98 1.4755
4055.51 1.49791
4057.04 1.52056
4058.57 1.52805
4060.1 1.43978
4061.63 1.36783
4063.16 1.47177
4064.69 1.45163
4066.22 1.38746
4067.75 1.36862
4069.28 1.42624
4070.81 1.41647
4072.34 1.51502
4073.87 1.43589
4075.4 1.34554
4076.93 1.30641
4078.46 1.403
4079.99 1.48135
4081.52 1.4649
4083.05 1.43311
4084.58 1.46847
4086.11 1.44147
4087.64 1.38028
4089.17 1.41242
4090.7 1.47503
4092.23 1.49143
4093.76 1.4826
4095.29 1.44284
4096.82 1.34228
4098.35 1.13645
4099.88 1.11824
4101.41 1.27913
4102.94 1.41289
4104.47 1.44845
4106.0 1.45823
4107.53 1.47118
4109.06 1.47891
4110.59 1.45823
4112.12 1.49061
4113.65 1.46808
4115.18 1.46675
4116.71 1.44857
4118.24 1.37451
4119.77 1.39735
4121.3 1.39225
4122.83 1.41615
4124.36 1.37203
4125.89 1.31689
4127.42 1.32674
4128.95 1.39668
4130.48 1.38821
4132.01 1.45305
4133.54 1.42306
4135.07 1.44732
4136.6 1.46439
4138.13 1.45171
4139.66 1.40524
4141.19 1.42337
4142.72 1.40681
4144.25 1.36108
4145.78 1.44249
4147.31 1.44021
4148.84 1.44512
4150.37 1.43586
4151.9 1.47012
4153.43 1.51381
4154.96 1.52856
4156.49 1.53508
4158.02 1.39284
4159.55 1.38644
4161.08 1.33294
4162.61 1.37831
4164.14 1.45462
4165.67 1.43919
4167.2 1.4481
4168.73 1.36579
4170.26 1.25864
4171.79 1.24459
4173.32 1.28588
4174.85 1.26115
4176.38 1.22873
4177.91 1.27497
4179.44 1.36587
4180.97 1.37839
4182.5 1.35343
4184.03 1.33906
4185.56 1.40654
4187.09 1.47899
4188.62 1.47012
4190.15 1.48245
4191.68 1.46258
4193.21 1.46757
4194.74 1.48303
4196.27 1.40854
4197.8 1.41407
4199.33 1.41242
4200.86 1.39288
4202.39 1.34366
4203.92 1.41223
4205.45 1.37247
4206.98 1.41407
4208.51 1.43283
4210.04 1.42698
4211.57 1.41878
4213.1 1.39715
4214.63 1.40049
4216.16 1.44826
4217.69 1.4777
4219.22 1.46215
4220.75 1.5352
4222.28 1.46341
4223.81 1.48386
4225.34 1.60573
4226.87 1.65625
4228.4 1.5173
4229.93 1.43122
4231.46 1.38106
4232.99 1.44896
4234.52 1.5644
4236.05 1.60024
4237.58 1.5803
4239.11 1.57578
4240.64 1.47989
4242.17 1.51852
4243.7 1.45112
4245.23 1.42961
4246.76 1.46054
4248.29 1.48209
4249.82 1.42977
4251.35 1.45089
4252.88 1.47793
4254.41 1.52162
4255.94 1.40512
4257.47 1.44838
4259.0 1.45854
4260.53 1.43601
4262.06 1.4804
4263.59 1.51907
4265.12 1.52232
4266.65 1.49995
4268.18 1.44826
4269.71 1.40442
4271.24 1.45046
4272.77 1.41996
4274.3 1.43562
4275.83 1.49077
4277.36 1.53422
4278.89 1.50015
4280.42 1.44951
4281.95 1.49104
4283.48 1.53131
4285.01 1.48347
4286.54 1.38024
4288.07 1.3373
4289.6 1.34762
4291.13 1.36513
4292.66 1.40241
4294.19 1.35052
4295.72 1.39295
4297.25 1.29844
4298.78 1.20177
4300.31 1.28239
4301.84 1.35912
4303.37 1.33588
4304.9 1.36846
4306.43 1.41548
4307.96 1.43534
4309.49 1.33223
4311.02 1.24655
4312.55 1.25118
4314.08 1.31983
4315.61 1.4295
4317.14 1.40728
4318.67 1.42589
4320.2 1.42734
4321.73 1.37003
4323.26 1.38385
4324.79 1.46133
4326.32 1.44249
4327.85 1.42836
4329.38 1.53343
4330.91 1.54187
4332.44 1.51475
4333.97 1.42388
4335.5 1.35712
4337.03 1.27697
4338.56 1.23933
4340.09 1.34672
4341.62 1.46714
4343.15 1.50446
4344.68 1.53649
4346.21 1.47581
4347.74 1.4291
4349.27 1.4605
4350.8 1.44068
4352.33 1.45627
4353.86 1.45481
4355.39 1.49528
4356.92 1.55423
4358.45 1.53257
4359.98 1.51188
4361.51 1.53708
4363.04 1.51145
4364.57 1.51373
4366.1 1.45477
4367.63 1.36222
4369.16 1.43845
4370.69 1.5133
4372.22 1.47059
4373.75 1.46149
4375.28 1.48186
4376.81 1.53402
4378.34 1.51895
4379.87 1.40375
4381.4 1.33388
4382.93 1.31956
4384.46 1.34185
4385.99 1.40811
4387.52 1.43864
4389.05 1.43923
4390.58 1.41054
4392.11 1.28647
4393.64 1.31496
4395.17 1.38565
4396.7 1.34943
4398.23 1.41733
4399.76 1.4145
4401.29 1.46011
4402.82 1.51726
4404.35 1.51161
4405.88 1.49736
4407.41 1.44806
4408.94 1.41859
4410.47 1.43436
4412.0 1.4001
4413.53 1.334
4415.06 1.30421
4416.59 1.40069
4418.12 1.46302
4419.65 1.43291
4421.18 1.47569
4422.71 1.4742
4424.24 1.44787
4425.77 1.48398
4427.3 1.4198
4428.83 1.41183
4430.36 1.46486
4431.89 1.45462
4433.42 1.42157
4434.95 1.41195
4436.48 1.42667
4438.01 1.32336
4439.54 1.30806
4441.07 1.33074
4442.6 1.35649
4444.13 1.37576
4445.66 1.42906
4447.19 1.41607
4448.72 1.42954
4450.25 1.47032
4451.78 1.50403
4453.31 1.48657
4454.84 1.48201
4456.37 1.52468
4457.9 1.4713
4459.43 1.40885
4460.96 1.43495
4462.49 1.42785
4464.02 1.45925
4465.55 1.36654
4467.08 1.33526
4468.61 1.41505
4470.14 1.43527
4471.67 1.45379
4473.2 1.4419
4474.73 1.43688
4476.26 1.44076
4477.79 1.25621
4479.32 1.28666
4480.85 1.42016
4482.38 1.43295
4483.91 1.45336
4485.44 1.38554
4486.97 1.3181
4488.5 1.35688
4490.03 1.45925
4491.56 1.52158
4493.09 1.50195
4494.62 1.51934
4496.15 1.46149
4497.68 1.34797
4499.21 1.37529
4500.74 1.42785
4502.27 1.4888
4503.8 1.40862
4505.33 1.33463
4506.86 1.40983
4508.39 1.43299
4509.92 1.44563
4511.45 1.42424
4512.98 1.36418
4514.51 1.40995
4516.04 1.33192
4517.57 1.32572
4519.1 1.34911
4520.63 1.33671
4522.16 1.48629
4523.69 1.44516
4525.22 1.36681
4526.75 1.38467
4528.28 1.39825
4529.81 1.36363
4531.34 1.29522
4532.87 1.3897
4534.4 1.44249
4535.93 1.48437
4537.46 1.48421
4538.99 1.4127
4540.52 1.43067
4542.05 1.48009
4543.58 1.51632
4545.11 1.37686
4546.64 1.27395
4548.17 1.25334
4549.7 1.40524
4551.23 1.42439
4552.76 1.30346
4554.29 1.23081
4555.82 1.31657
4557.35 1.40288
4558.88 1.4481
4560.41 1.36328
4561.94 1.35284
4563.47 1.439
4565.0 1.51848
4566.53 1.44253
4568.06 1.37349
4569.59 1.29718
4571.12 1.35104
4572.65 1.40818
4574.18 1.43142
4575.71 1.45305
4577.24 1.43162
4578.77 1.31948
4580.3 1.26629
4581.83 1.27065
4583.36 1.32062
4584.89 1.3015
4586.42 1.27242
4587.95 1.33742
4589.48 1.36999
4591.01 1.37906
4592.54 1.41666
4594.07 1.42494
4595.6 1.44394
4597.13 1.38102
4598.66 1.45171
