#wave flux
4600.0 1.17098
4600.62305 1.59811
4601.24609 1.37781
4601.86914 1.70798
4602.49219 1.62909
4603.11523 2.00347
4603.73828 1.77744
4604.36133 1.41204
4604.98438 1.40155
4605.60742 1.17095
4606.23047 1.39576
4606.85352 0.93306
4607.47656 1.92695
4608.09961 1.66648
4608.72266 1.30448
4609.3457 1.63313
4609.96875 1.41369
4610.5918 1.34126
4611.21484 1.71216
4611.83789 1.69653
4612.46094 1.2244
4613.08398 1.73023
4613.70703 1.7329
4614.33008 1.4611
4614.95312 1.44667
4615.57617 1.76876
4616.19922 1.33651
4616.82227 1.05618
4617.44531 1.55732
4618.06836 2.13178
4618.69141 2.08974
4619.31445 1.43022
4619.9375 1.33269
4620.56055 1.28283
4621.18359 1.5808
4621.80664 1.69767
4622.42969 1.5917
4623.05273 2.01669
4623.67578 1.59187
4624.29883 1.44827
4624.92188 1.72331
4625.54492 1.46235
4626.16797 1.72882
4626.79102 1.89762
4627.41406 1.95256
4628.03711 1.6298
4628.66016 1.23774
4629.2832 1.55366
4629.90625 1.70906
4630.5293 1.95558
4631.15234 2.00744
4631.77539 1.31829
4632.39844 1.12427
4633.02148 1.32511
4633.64453 1.36426
4634.26758 1.14404
4634.89062 0.85361
4635.51367 0.72702
4636.13672 1.15337
4636.75977 1.51834
4637.38281 1.23155
4638.00586 1.39444
4638.62891 1.4103
4639.25195 1.31028
4639.875 1.59161
4640.49805 1.45855
4641.12109 1.06449
4641.74414 1.04911
4642.36719 1.27719
4642.99023 1.41246
4643.61328 1.66516
4644.23633 1.39841
4644.85938 1.4594
4645.48242 1.673
4646.10547 1.5836
4646.72852 1.5551
4647.35156 1.5321
4647.97461 1.47924
4648.59766 1.48405
4649.2207 1.25422
4649.84375 0.97728
4650.4668 1.47931
4651.08984 1.9234
4651.71289 1.36014
4652.33594 1.3423
4652.95898 1.74025
4653.58203 1.72222
4654.20508 1.8221
4654.82812 1.26822
4655.45117 1.17194
4656.07422 1.68755
4656.69727 1.99312
4657.32031 1.95754
4657.94336 1.78306
4658.56641 1.48928
4659.18945 1.99922
4659.8125 2.14564
4660.43555 1.5762
4661.05859 1.50521
4661.68164 1.83855
4662.30469 1.87555
4662.92773 2.08841
4663.55078 1.68804
4664.17383 1.43964
4664.79688 1.16811
4665.41992 1.42373
4666.04297 1.96092
4666.66602 1.89931
4667.28906 1.4615
4667.91211 1.56486
4668.53516 1.34338
4669.1582 2.17913
4669.78125 1.89552
4670.4043 1.60972
4671.02734 1.44477
4671.65039 1.32032
4672.27344 1.17873
4672.89648 1.54867
4673.51953 1.62098
4674.14258 1.6006
4674.76562 2.02488
4675.38867 1.36273
4676.01172 0.99103
4676.63477 1.56847
4677.25781 1.48055
4677.88086 1.28253
4678.50391 1.64897
4679.12695 1.73531
4679.75 1.40791
4680.37305 1.30667
4680.99609 1.82794
4681.61914 1.88975
4682.24219 2.04864
4682.86523 1.85683
4683.48828 1.33602
4684.11133 1.66165
4684.73438 1.51407
4685.35742 1.75974
4685.98047 2.15175
4686.60352 1.67055
4687.22656 1.64215
4687.84961 1.87513
4688.47266 1.5186
4689.0957 1.60674
4689.71875 2.00711
4690.3418 1.93458
4690.96484 1.61882
4691.58789 1.80252
4692.21094 1.94994
4692.83398 1.51839
4693.45703 1.31881
4694.08008 1.65765
4694.70312 1.93929
4695.32617 1.80227
4695.94922 1.66097
4696.57227 1.59271
4697.19531 1.57745
4697.81836 1.61278
4698.44141 1.45561
4699.06445 1.12616
4699.6875 1.33975
4700.31055 1.56434
4700.93359 1.31305
4701.55664 1.62094
4702.17969 1.65099
4702.80273 1.29171
4703.42578 1.12182
4704.04883 1.15693
4704.67188 1.39549
4705.29492 1.37684
4705.91797 1.52295
4706.54102 1.59282
4707.16406 1.76475
4707.78711 1.33919
4708.41016 1.16047
4709.0332 1.4901
4709.65625 1.98704
4710.2793 1.9638
4710.90234 1.87405
4711.52539 1.82928
4712.14844 1.87561
4712.77148 2.00323
4713.39453 1.82851
4714.01758 1.61823
4714.64062 1.6432
4715.26367 1.98101
4715.88672 1.86141
4716.50977 1.32621
4717.13281 1.52796
4717.75586 1.66913
4718.37891 1.5483
4719.00195 1.04036
4719.625 1.24788
4720.24805 1.3512
4720.87109 1.54657
4721.49414 1.67911
4722.11719 1.43566
4722.74023 1.75951
4723.36328 2.01103
4723.98633 1.54681
4724.60938 1.58149
4725.23242 1.77447
4725.85547 1.61821
