#wave flux
4600.0 1.06296
4600.62305 1.49116
4601.24609 1.84599
4601.86914 1.72851
4602.49219 1.43355
4603.11523 1.58916
4603.73828 2.01831
4604.36133 1.42934
4604.98438 1.0125
4605.60742 1.34961
4606.23047 1.27699
4606.85352 1.44071
4607.47656 1.79003
4608.09961 1.4608
4608.72266 1.18979
4609.3457 1.22567
4609.96875 1.88953
4610.5918 1.35274
4611.21484 1.19792
4611.83789 1.21261
4612.46094 1.37137
4613.08398 1.46131
4613.70703 1.80026
4614.33008 1.79502
4614.95312 1.42724
4615.57617 1.88166
4616.19922 1.65178
4616.82227 1.6794
4617.44531 1.62604
4618.06836 1.36496
4618.69141 1.37848
4619.31445 1.72392
4619.9375 1.31966
4620.56055 1.24226
4621.18359 1.86765
4621.80664 1.46162
4622.42969 0.92013
4623.05273 1.20256
4623.67578 1.89514
4624.29883 1.76189
4624.92188 1.08316
4625.54492 1.04253
4626.16797 1.47459
4626.79102 1.63055
4627.41406 1.43221
4628.03711 1.31248
4628.66016 1.60252
4629.2832 1.40164
4629.90625 1.21153
4630.5293 1.35428
4631.15234 1.81105
4631.77539 1.61649
4632.39844 1.50406
4633.02148 1.69854
4633.64453 1.25258
4634.26758 1.15908
4634.89062 1.29982
4635.51367 1.48198
4636.13672 1.95464
4636.75977 1.79443
4637.38281 1.57644
4638.00586 1.41817
4638.62891 1.63259
4639.25195 1.84559
4639.875 1.17518
4640.49805 1.12533
4641.12109 1.54348
4641.74414 1.41118
4642.36719 1.24245
4642.99023 1.41794
4643.61328 1.50878
4644.23633 1.42797
4644.85938 1.48413
4645.48242 1.54249
4646.10547 1.45548
4646.72852 1.60231
4647.35156 1.75443
4647.97461 1.4057
4648.59766 1.01553
4649.2207 1.45578
4649.84375 1.40965
4650.4668 1.69204
4651.08984 1.72022
4651.71289 1.56306
4652.33594 1.09234
4652.95898 1.14178
4653.58203 1.09064
4654.20508 1.31268
4654.82812 1.66938
4655.45117 1.90229
4656.07422 1.57604
4656.69727 1.58119
4657.32031 1.61222
4657.94336 1.49481
4658.56641 1.25377
4659.18945 1.54468
4659.8125 1.80403
4660.43555 1.1798
4661.05859 1.37685
4661.68164 1.48501
4662.30469 1.10513
4662.92773 1.07242
4663.55078 1.59295
4664.17383 1.41045
4664.79688 1.46602
4665.41992 1.31221
4666.04297 1.08585
4666.66602 1.50595
4667.28906 1.47633
4667.91211 1.52361
4668.53516 1.51676
4669.1582 1.34259
4669.78125 1.94505
4670.4043 1.69799
4671.02734 1.11489
4671.65039 0.92812
4672.27344 1.67905
4672.89648 1.66962
4673.51953 1.35205
4674.14258 1.6514
4674.76562 1.11363
4675.38867 1.0931
4676.01172 1.48469
4676.63477 1.4531
4677.25781 1.35354
4677.88086 1.57504
4678.50391 1.25623
4679.12695 1.20705
4679.75 1.45047
4680.37305 1.32641
4680.99609 1.27733
4681.61914 1.26799
4682.24219 1.06534
4682.86523 1.45265
4683.48828 1.91297
4684.11133 1.74814
4684.73438 1.46077
4685.35742 1.34951
4685.98047 1.08845
4686.60352 1.47162
4687.22656 1.52192
4687.84961 1.18271
4688.47266 1.5334
4689.0957 1.88431
4689.71875 1.18162
4690.3418 0.77704
4690.96484 1.08921
4691.58789 1.18116
4692.21094 1.05478
4692.83398 1.00393
4693.45703 1.52326
4694.08008 1.67581
4694.70312 1.58579
4695.32617 1.55387
4695.94922 1.58609
4696.57227 1.505
4697.19531 1.19506
4697.81836 1.12564
4698.44141 1.26971
4699.06445 1.34029
4699.6875 1.17055
4700.31055 1.26582
4700.93359 1.35153
4701.55664 1.0854
4702.17969 1.18103
4702.80273 1.65332
4703.42578 1.80518
4704.04883 1.41055
4704.67188 1.28951
4705.29492 1.46533
4705.91797 1.35495
4706.54102 1.31597
4707.16406 1.14712
4707.78711 1.06853
4708.41016 1.0392
4709.0332 0.98187
4709.65625 1.2042
4710.2793 1.5431
4710.90234 1.43167
4711.52539 0.94366
4712.14844 1.01386
4712.77148 1.62149
4713.39453 1.70165
4714.01758 1.75724
4714.64062 1.55309
4715.26367 1.35463
4715.88672 1.07395
4716.50977 1.63248
4717.13281 1.71477
4717.75586 1.33945
4718.37891 1.15376
4719.00195 1.41743
4719.625 1.60338
4720.24805 1.1089
4720.87109 1.13513
4721.49414 1.19358
4722.11719 0.93492
4722.74023 1.22893
4723.36328 1.21455
4723.98633 1.3853
4724.60938 1.25022
4725.23242 1.37804
4725.85547 1.74766
4726.47852 1.58845
4727.10156 1.22148
4727.72461 1.60266
4728.34766 1.63476
4728.9707 1.61361
4729.59375 1.48805
4730.2168 1.51914
4730.83984 1.48581
4731.46289 1.28276
4732.08594 1.4796
4732.70898 1.53724
4733.33203 1.38518
4733.95508 1.50429
4734.57812 1.36771
4735.20117 1.37919
4735.82422 1.2859
4736.44727 1.42902
4737.07031 1.12148
4737.69336 1.244
4738.31641 1.72263
4738.93945 1.60305
4739.5625 1.76182
4740.18555 1.65641
4740.80859 1.32589
4741.43164 1.24131
4742.05469 1.26699
4742.67773 1.172
4743.30078 1.20559
4743.92383 1.60412
4744.54688 1.88185
4745.16992 1.62588
4745.79297 1.25614
4746.41602 1.28705
4747.03906 1.45962
4747.66211 1.86386
4748.28516 1.81393
4748.9082 1.28431
4749.53125 1.17795
4750.1543 1.32157
4750.77734 1.42734
4751.40039 1.58629
4752.02344 1.57752
4752.64648 1.84415
4753.26953 2.01987
4753.89258 1.74787
4754.51562 1.50972
4755.13867 1.21808
4755.76172 1.24037
4756.38477 1.56746
4757.00781 1.59888
4757.63086 1.37404
4758.25391 1.1809
4758.87695 1.53236
4759.5 1.66306
4760.12305 1.11718
4760.74609 1.14291
4761.36914 1.2783
4761.99219 1.02447
4762.61523 1.1713
4763.23828 1.36212
4763.86133 1.36724
4764.48438 1.39051
4765.10742 1.10699
4765.73047 1.1745
4766.35352 1.51824
4766.97656 1.2674
