#wave flux
4600.0 3.07723
4600.62305 1.755
4601.24609 2.34588
4601.86914 2.1004
4602.49219 2.45364
4603.11523 2.34704
4603.73828 1.87046
4604.36133 1.70802
4604.98438 2.69415
4605.60742 4.02735
4606.23047 2.89603
4606.85352 1.80936
4607.47656 3.32019
4608.09961 3.87193
4608.72266 2.31941
4609.3457 1.25849
4609.96875 2.3092
4610.5918 1.71601
4611.21484 -0.70761
4611.83789 2.15677
4612.46094 2.08747
4613.08398 2.9708
4613.70703 3.09668
4614.33008 1.64803
4614.95312 1.45636
4615.57617 2.03314
4616.19922 2.37289
4616.82227 3.16704
4617.44531 2.51709
4618.06836 1.67782
4618.69141 1.74073
4619.31445 2.60146
4619.9375 2.84298
4620.56055 2.08265
4621.18359 2.32154
4621.80664 2.882
4622.42969 3.57454
4623.05273 2.84066
4623.67578 2.49887
4624.29883 3.85181
4624.92188 3.61138
4625.54492 2.71893
4626.16797 1.4713
4626.79102 1.80045
4627.41406 2.31347
4628.03711 2.99456
4628.66016 3.39544
4629.2832 2.75623
4629.90625 2.87678
4630.5293 3.5715
4631.15234 2.45889
4631.77539 1.58905
4632.39844 2.60755
4633.02148 2.94379
4633.64453 2.43073
4634.26758 1.32934
4634.89062 2.26172
4635.51367 2.82347
4636.13672 2.12333
4636.75977 1.94915
4637.38281 2.30658
4638.00586 1.93151
4638.62891 2.79176
4639.25195 3.66877
4639.875 3.35784
4640.49805 3.15581
4641.12109 3.29734
4641.74414 4.40038
4642.36719 4.01958
4642.99023 2.92571
4643.61328 2.12306
4644.23633 2.61382
4644.85938 2.59324
4645.48242 2.94461
4646.10547 2.75845
4646.72852 2.59804
4647.35156 2.10437
4647.97461 2.40712
4648.59766 3.21847
4649.2207 4.25996
4649.84375 3.6977
4650.4668 1.48886
4651.08984 2.23103
4651.71289 3.4992
4652.33594 2.73135
4652.95898 2.6962
4653.58203 3.38275
4654.20508 2.82199
4654.82812 3.60727
4655.45117 2.81366
4656.07422 1.65342
4656.69727 3.82859
4657.32031 3.91952
4657.94336 2.51364
4658.56641 3.59607
4659.18945 2.766
4659.8125 3.04951
4660.43555 3.13158
4661.05859 3.57875
4661.68164 4.23102
4662.30469 4.08355
4662.92773 4.35272
4663.55078 3.20226
4664.17383 2.73643
4664.79688 4.62637
4665.41992 2.81294
4666.04297 1.25808
4666.66602 1.74644
4667.28906 2.69452
4667.91211 2.50289
4668.53516 1.44345
4669.1582 3.42597
4669.78125 3.80286
4670.4043 3.20262
4671.02734 1.96735
4671.65039 2.86286
4672.27344 2.79307
4672.89648 1.17577
4673.51953 1.83937
4674.14258 1.93681
4674.76562 3.85909
4675.38867 3.82054
4676.01172 2.86395
4676.63477 1.87382
4677.25781 1.78834
4677.88086 3.86747
4678.50391 2.99754
4679.12695 2.95461
4679.75 2.84115
4680.37305 2.53912
4680.99609 3.46316
4681.61914 3.06223
4682.24219 3.40911
4682.86523 1.77157
4683.48828 2.15695
4684.11133 3.03682
4684.73438 3.20689
4685.35742 3.65933
4685.98047 3.22086
4686.60352 2.76323
4687.22656 3.12202
4687.84961 3.49321
4688.47266 2.72183
4689.0957 2.78347
4689.71875 4.01152
4690.3418 3.45082
4690.96484 3.55938
4691.58789 3.01746
4692.21094 2.15371
4692.83398 2.63876
4693.45703 2.55893
4694.08008 2.68916
4694.70312 3.44316
4695.32617 2.87828
4695.94922 2.68521
4696.57227 3.81747
4697.19531 2.781
4697.81836 2.39711
4698.44141 2.97217
4699.06445 2.4026
4699.6875 2.85848
4700.31055 2.69943
4700.93359 2.03226
4701.55664 2.67988
4702.17969 3.72736
4702.80273 3.54597
4703.42578 3.93311
4704.04883 3.96599
4704.67188 3.45227
4705.29492 4.20734
4705.91797 2.66284
4706.54102 2.86368
4707.16406 3.04907
4707.78711 2.89914
4708.41016 3.15499
4709.0332 2.90224
4709.65625 2.8683
4710.2793 2.50887
4710.90234 2.12102
4711.52539 3.04069
4712.14844 2.92966
4712.77148 3.2342
4713.39453 3.34077
4714.01758 2.91112
4714.64062 2.67141
4715.26367 2.74073
4715.88672 2.61127
4716.50977 2.20947
4717.13281 3.37781
4717.75586 4.43906
4718.37891 2.96796
4719.00195 2.89767
4719.625 3.74758
4720.24805 2.50332
4720.87109 2.49273
4721.49414 2.59017
4722.11719 2.88024
4722.74023 2.87626
4723.36328 3.5015
4723.98633 2.71303
4724.60938 1.91852
4725.23242 1.93944
4725.85547 2.13947
4726.47852 2.38723
4727.10156 1.44452
4727.72461 2.00737
4728.34766 2.20818
4728.9707 3.69576
4729.59375 3.01585
4730.2168 1.46884
4730.83984 2.6713
4731.46289 2.61636
4732.08594 2.57094
4732.70898 3.18272
4733.33203 2.79487
4733.95508 2.66984
4734.57812 3.13716
4735.20117 2.94762
4735.82422 3.21467
4736.44727 5.01413
4737.07031 4.75492
4737.69336 2.88799
4738.31641 3.1228
4738.93945 2.70958
4739.5625 2.82069
4740.18555 3.14934
4740.80859 3.24129
4741.43164 2.63563
4742.05469 2.81547
4742.67773 2.89826
4743.30078 1.37778
4743.92383 2.44232
4744.54688 2.85472
4745.16992 3.02278
4745.79297 1.85914
4746.41602 1.12138
4747.03906 2.40379
4747.66211 2.36818
4748.28516 1.95139
4748.9082 3.49337
4749.53125 3.38508
4750.1543 2.39487
4750.77734 2.86628
4751.40039 2.82529
4752.02344 2.32233
4752.64648 3.70879
4753.26953 3.33893
4753.89258 3.18003
4754.51562 3.20664
4755.13867 2.03462
4755.76172 2.4353
4756.38477 3.20196
4757.00781 1.83066
4757.63086 2.07054
4758.25391 2.88947
4758.87695 1.7999
4759.5 2.53684
4760.12305 3.56567
4760.74609 3.25162
4761.36914 2.35674
4761.99219 2.80315
4762.61523 4.00226
4763.23828 3.95744
4763.86133 3.95597
4764.48438 3.86119
4765.10742 2.99902
4765.73047 2.97187
4766.35352 4.25707
4766.97656 3.80731
4767.59961 2.38176
4768.22266 3.09563
4768.8457 3.57429
4769.46875 2.35107
4770.0918 1.90562
4770.71484 3.10152
4771.33789 2.24423
4771.96094 2.51061
4772.58398 2.24726
4773.20703 3.02228
4773.83008 3.35815
4774.45312 2.42986
4775.07617 2.51488
4775.69922 2.84003
4776.32227 2.17124
4776.94531 1.04405
4777.56836 2.66885
4778.19141 2.20421
4778.81445 2.29647
4779.4375 3.21131
4780.06055 2.53225
4780.68359 2.08371
4781.30664 2.63527
4781.92969 3.40385
4782.55273 3.79685
4783.17578 2.2959
4783.79883 1.64684
4784.42188 2.92269
4785.04492 2.911
4785.66797 2.75484
4786.29102 2.87353
4786.91406 3.2593
4787.53711 3.7939
4788.16016 2.17149
4788.7832 1.8302
4789.40625 2.91018
4790.0293 2.9439
4790.65234 3.75896
4791.27539 2.94415
4791.89844 1.83998
4792.52148 2.43501
4793.14453 2.82857
4793.76758 2.32441
4794.39062 2.29371
4795.01367 2.54014
4795.63672 2.69257
4796.25977 2.63275
4796.88281 2.46423
4797.50586 1.28622
4798.12891 1.73613
4798.75195 2.90542
4799.375 2.10839
4799.99805 2.0591
4800.62109 3.40395
4801.24414 2.4026
4801.86719 2.57545
4802.49023 1.9658
4803.11328 2.23355
4803.73633 3.06336
4804.35938 2.31814
4804.98242 1.47517
4805.60547 2.53469
4806.22852 2.87179
4806.85156 3.17917
4807.47461 2.26492
4808.09766 2.23196
4808.7207 3.35174
4809.34375 3.33613
4809.9668 2.9838
4810.58984 2.89667
4811.21289 1.81508
4811.83594 1.83563
4812.45898 2.87369
4813.08203 1.82725
4813.70508 2.43854
4814.32812 3.40655
4814.95117 2.41356
4815.57422 3.12359
4816.19727 4.19013
4816.82031 3.20801
4817.44336 2.03157
4818.06641 2.10243
4818.68945 3.59768
4819.3125 4.01945
4819.93555 1.96746
4820.55859 1.57792
4821.18164 3.11564
4821.80469 3.539
4822.42773 3.11256
4823.05078 2.87956
4823.67383 2.25222
4824.29688 1.89008
4824.91992 2.89102
4825.54297 3.67096
4826.16602 2.51514
4826.78906 2.14167
4827.41211 3.55175
4828.03516 3.20095
4828.6582 3.38136
4829.28125 3.84501
4829.9043 2.92081
4830.52734 2.43622
4831.15039 3.38904
4831.77344 2.85737
4832.39648 2.99644
4833.01953 2.10386
4833.64258 2.54424
4834.26562 3.48654
4834.88867 3.03536
4835.51172 3.37399
4836.13477 3.44107
4836.75781 2.70025
4837.38086 3.13464
4838.00391 2.48773
4838.62695 2.20113
4839.25 2.7638
4839.87305 2.93735
