#wave flux
4600.0 -0.8616
4600.62305 0.47059
4601.24609 1.66725
4601.86914 -0.49449
4602.49219 -1.2045
4603.11523 -1.06515
4603.73828 0.06142
4604.36133 -1.66261
4604.98438 0.68714
4605.60742 1.83191
4606.23047 1.05249
4606.85352 1.67478
4607.47656 0.15963
4608.09961 0.25954
4608.72266 1.49971
4609.3457 0.80771
4609.96875 1.41446
4610.5918 0.09857
4611.21484 -1.16016
4611.83789 -0.64748
4612.46094 -0.55424
4613.08398 0.4053
4613.70703 1.29255
4614.33008 1.03612
4614.95312 0.23032
4615.57617 0.59791
4616.19922 -0.24607
4616.82227 -0.33232
4617.44531 -1.16042
4618.06836 -0.96188
4618.69141 -1.53386
4619.31445 -2.75514
4619.9375 1.51343
4620.56055 0.69221
4621.18359 0.63403
4621.80664 1.9708
4622.42969 -0.17193
4623.05273 -0.96543
4623.67578 -0.42028
4624.29883 1.38553
4624.92188 0.23297
4625.54492 0.42667
4626.16797 0.20519
4626.79102 1.22606
4627.41406 0.59359
4628.03711 0.91764
4628.66016 1.73106
4629.2832 -1.05037
4629.90625 -2.38843
4630.5293 -2.54541
4631.15234 -0.84344
4631.77539 1.41537
4632.39844 -0.50038
4633.02148 -2.50931
4633.64453 -1.59103
4634.26758 0.46042
4634.89062 -0.88751
4635.51367 -1.63419
4636.13672 -0.33705
4636.75977 -0.73567
4637.38281 0.02547
4638.00586 1.01875
4638.62891 0.37558
4639.25195 -0.80872
4639.875 -1.28173
4640.49805 -0.56081
4641.12109 -0.34311
4641.74414 -0.2961
4642.36719 -0.88795
4642.99023 0.03548
4643.61328 0.73038
4644.23633 -0.06743
4644.85938 -0.36166
4645.48242 0.4435
4646.10547 -0.13954
4646.72852 -1.69665
4647.35156 -0.44603
4647.97461 -0.2177
4648.59766 -0.01537
4649.2207 -0.05967
4649.84375 0.07958
4650.4668 1.82522
4651.08984 0.28587
4651.71289 -0.16475
4652.33594 0.37313
4652.95898 -0.77788
4653.58203 -0.11918
4654.20508 -0.73577
4654.82812 -0.68973
4655.45117 1.02665
4656.07422 0.41143
4656.69727 -0.09863
