#wave flux
3400.0 0.1353
3401.53 0.17253
3403.06 0.22202
3404.59 0.32067
3406.12 0.29069
3407.65 0.30088
3409.18 0.28473
3410.71 0.35376
3412.24 0.46322
3413.77 0.45052
3415.3 0.49982
3416.83 0.60335
3418.36 0.5391
3419.89 0.52349
3421.42 0.66599
3422.95 0.57178
3424.48 0.92529
3426.01 0.83631
3427.54 0.76876
3429.07 0.84945
3430.6 0.90608
3432.13 0.70313
3433.66 1.1377
3435.19 0.99022
3436.72 0.88077
3438.25 0.80967
3439.78 0.84087
3441.31 0.7299
3442.84 0.9918
3444.37 0.97725
3445.9 0.85843
3447.43 0.96348
3448.96 1.0989
3450.49 1.0518
3452.02 1.188
3453.55 0.95411
3455.08 0.88834
3456.61 0.79662
3458.14 0.91143
3459.67 1.1611
3461.2 0.97663
3462.73 1.0358
3464.26 1.0174
3465.79 0.93789
3467.32 1.0307
3468.85 1.05
3470.38 0.93524
3471.91 1.0192
3473.44 1.3235
3474.97 1.0902
3476.5 0.87312
3478.03 1.0523
3479.56 1.1154
3481.09 0.90037
3482.62 0.99616
3484.15 1.0271
3485.68 1.0669
3487.21 1.108
3488.74 1.1571
3490.27 1.1976
3491.8 1.2857
3493.33 1.3254
3494.86 0.96495
3496.39 1.1006
3497.92 1.2403
3499.45 1.2879
3500.98 1.2191
3502.51 1.1283
3504.04 0.91277
3505.57 0.98024
3507.1 0.99734
3508.63 1.1884
3510.16 0.96511
3511.69 1.1531
3513.22 1.3175
3514.75 1.194
3516.28 1.3508
3517.81 1.2335
3519.34 1.2133
3520.87 0.84499
3522.4 0.86853
3523.93 0.78692
3525.46 1.0287
3526.99 1.0942
3528.52 0.90296
3530.05 0.93084
3531.58 0.88631
3533.11 1.0747
3534.64 1.0103
3536.17 0.83726
3537.7 0.91855
3539.23 0.92769
3540.76 0.77738
3542.29 0.82047
3543.82 0.81909
3545.35 0.89472
3546.88 0.86506
3548.41 1.1227
3549.94 1.151
3551.47 0.85085
3553.0 1.0554
3554.53 1.0085
3556.06 0.9307
3557.59 1.0061
3559.12 1.0715
3560.65 1.0718
3562.18 0.96744
3563.71 0.85979
3565.24 0.91629
3566.77 0.84216
3568.3 0.91885
3569.83 0.90501
3571.36 0.84123
3572.89 0.74001
3574.42 0.84816
3575.95 0.82386
3577.48 0.79249
3579.01 0.78586
3580.54 0.77384
3582.07 0.75479
3583.6 0.72528
3585.13 0.63887
3586.66 0.79551
3588.19 0.9122
3589.72 0.78082
3591.25 0.59818
3592.78 0.8197
3594.31 0.78949
3595.84 0.84356
3597.37 0.80529
3598.9 0.7483
3600.43 0.73729
3601.96 0.64776
3603.49 0.64961
3605.02 0.68354
3606.55 0.68041
3608.08 0.6466
3609.61 0.61563
3611.14 0.63012
3612.67 0.56292
3614.2 0.6318
3615.73 0.70746
3617.26 0.75745
3618.79 0.66025
3620.32 0.72858
3621.85 0.62693
3623.38 0.51557
3624.91 0.58448
3626.44 0.64512
3627.97 0.6024
3629.5 0.59407
3631.03 0.54354
3632.56 0.59965
3634.09 0.68058
3635.62 0.55857
3637.15 0.54847
3638.68 0.62005
3640.21 0.56552
3641.74 0.61221
3643.27 0.64743
3644.8 0.6796
3646.33 0.64089
3647.86 0.65191
3649.39 0.6218
3650.92 0.53431
3652.45 0.54445
3653.98 0.52457
3655.51 0.61235
3657.04 0.68042
3658.57 0.60475
3660.1 0.62228
3661.63 0.59999
3663.16 0.71032
3664.69 0.557
3666.22 0.58426
3667.75 0.56612
3669.28 0.54771
3670.81 0.59429
3672.34 0.59516
3673.87 0.53949
3675.4 0.60837
3676.93 0.55648
3678.46 0.5157
3679.99 0.55026
3681.52 0.57639
3683.05 0.59417
3684.58 0.58126
3686.11 0.5542
3687.64 0.65619
3689.17 0.61871
3690.7 0.52982
3692.23 0.49959
3693.76 0.51233
3695.29 0.60259
3696.82 0.63111
3698.35 0.53959
3699.88 0.54014
3701.41 0.51579
3702.94 0.57736
3704.47 0.60478
3706.0 0.58388
3707.53 0.52219
3709.06 0.65991
3710.59 0.71563
3712.12 0.59275
3713.65 0.58808
3715.18 0.53108
3716.71 0.52687
3718.24 0.4713
3719.77 0.5873
3721.3 0.62411
3722.83 0.55717
3724.36 0.61759
3725.89 0.65611
3727.42 0.55954
3728.95 0.56318
3730.48 0.49946
3732.01 0.63578
3733.54 0.57379
3735.07 0.55268
3736.6 0.60597
3738.13 0.67193
3739.66 0.66737
3741.19 0.62874
3742.72 0.58583
3744.25 0.60653
3745.78 0.62523
3747.31 0.56566
3748.84 0.53643
3750.37 0.62612
3751.9 0.57933
3753.43 0.62199
3754.96 0.60467
3756.49 0.68207
3758.02 0.54102
3759.55 0.58061
3761.08 0.5449
3762.61 0.59239
3764.14 0.49369
3765.67 0.55322
3767.2 0.62244
3768.73 0.56941
3770.26 0.59582
3771.79 0.63844
3773.32 0.67298
3774.85 0.58531
3776.38 0.58775
