#wave flux
4600.0 2.08328
4600.62305 1.4959
4601.24609 1.15103
4601.86914 1.46818
4602.49219 1.35227
4603.11523 1.34696
4603.73828 1.71886
4604.36133 1.92622
4604.98438 1.25291
4605.60742 0.94436
4606.23047 0.86896
4606.85352 1.06622
4607.47656 2.07506
4608.09961 1.94764
4608.72266 1.70146
4609.3457 2.33708
4609.96875 2.09316
4610.5918 0.95911
4611.21484 1.18742
4611.83789 1.31625
4612.46094 0.97385
4613.08398 1.81249
4613.70703 1.91939
4614.33008 1.08848
4614.95312 1.12063
4615.57617 0.97419
4616.19922 1.11334
4616.82227 2.02953
4617.44531 1.5229
4618.06836 1.58607
4618.69141 1.27903
4619.31445 1.39993
4619.9375 1.81757
4620.56055 0.93193
4621.18359 0.78381
4621.80664 1.13331
4622.42969 1.32265
4623.05273 1.70498
4623.67578 0.85464
4624.29883 1.04085
4624.92188 0.92197
4625.54492 2.22265
4626.16797 1.59043
4626.79102 -0.0585
4627.41406 0.65808
4628.03711 1.89838
4628.66016 1.66883
4629.2832 1.30559
4629.90625 0.78043
4630.5293 1.80424
4631.15234 2.06744
4631.77539 0.99816
4632.39844 0.62081
4633.02148 1.29612
4633.64453 1.46191
4634.26758 1.32757
4634.89062 1.04109
4635.51367 1.60551
4636.13672 1.52089
4636.75977 1.77642
4637.38281 1.53293
4638.00586 1.08432
4638.62891 0.87259
4639.25195 1.58955
4639.875 1.40837
4640.49805 1.39296
4641.12109 1.51495
4641.74414 1.69402
4642.36719 1.84021
4642.99023 1.55425
4643.61328 1.72732
4644.23633 1.73573
4644.85938 0.86484
4645.48242 1.05146
4646.10547 1.05994
4646.72852 1.31526
4647.35156 1.91272
4647.97461 1.34335
4648.59766 1.45554
4649.2207 1.5664
4649.84375 0.95233
4650.4668 1.22486
4651.08984 1.63696
4651.71289 1.18292
4652.33594 0.9359
4652.95898 1.41928
4653.58203 1.84908
4654.20508 2.30375
4654.82812 2.13592
4655.45117 1.20666
4656.07422 1.3603
4656.69727 1.60473
4657.32031 1.95699
4657.94336 2.23805
4658.56641 1.70188
4659.18945 2.24113
4659.8125 1.85977
4660.43555 1.46555
4661.05859 1.44047
4661.68164 1.58009
4662.30469 1.78047
4662.92773 1.24746
4663.55078 1.75313
4664.17383 1.71561
4664.79688 1.48945
4665.41992 1.37446
4666.04297 0.78827
4666.66602 1.67084
4667.28906 1.74391
4667.91211 1.73134
4668.53516 1.49662
4669.1582 1.05383
4669.78125 0.83889
4670.4043 1.26467
4671.02734 1.98239
4671.65039 1.99663
4672.27344 0.96638
4672.89648 1.12039
4673.51953 1.45445
4674.14258 0.84847
4674.76562 0.36197
4675.38867 1.89667
4676.01172 1.45107
4676.63477 0.99336
4677.25781 0.87558
4677.88086 0.99533
4678.50391 2.1701
4679.12695 1.59787
4679.75 0.61205
4680.37305 1.23792
4680.99609 1.18788
4681.61914 1.49672
4682.24219 1.41997
4682.86523 1.45814
4683.48828 1.10333
4684.11133 2.04382
4684.73438 1.69197
4685.35742 1.96828
4685.98047 1.60645
4686.60352 1.34374
4687.22656 1.55191
4687.84961 1.11969
4688.47266 1.69331
4689.0957 1.46804
4689.71875 1.26913
4690.3418 1.41429
4690.96484 1.28093
4691.58789 1.30995
4692.21094 1.98434
4692.83398 1.18486
4693.45703 1.37186
4694.08008 1.14307
4694.70312 1.07277
4695.32617 1.88433
4695.94922 1.46018
4696.57227 0.81549
4697.19531 1.0541
4697.81836 1.21336
4698.44141 1.49621
4699.06445 1.74235
4699.6875 2.03219
4700.31055 2.09816
4700.93359 1.8671
4701.55664 1.80284
4702.17969 2.08229
4702.80273 1.96705
4703.42578 1.71303
4704.04883 1.94091
4704.67188 1.86919
4705.29492 0.90782
4705.91797 0.84186
4706.54102 1.20051
4707.16406 1.58875
4707.78711 1.7366
4708.41016 1.28593
4709.0332 1.39256
4709.65625 1.7798
4710.2793 1.70912
4710.90234 1.54387
4711.52539 1.03589
4712.14844 0.77243
4712.77148 1.13138
4713.39453 1.44159
4714.01758 1.76511
4714.64062 1.70503
4715.26367 1.65201
4715.88672 1.87363
4716.50977 1.48956
4717.13281 1.16954
4717.75586 1.34689
4718.37891 1.52564
4719.00195 1.52365
4719.625 1.3519
4720.24805 1.00024
4720.87109 0.80871
4721.49414 1.33109
4722.11719 1.91063
4722.74023 1.35858
4723.36328 1.02941
4723.98633 1.4997
4724.60938 1.67172
4725.23242 1.41037
4725.85547 1.13877
4726.47852 1.37721
4727.10156 1.33969
4727.72461 0.97931
4728.34766 0.95892
4728.9707 1.55486
4729.59375 1.71727
4730.2168 1.87525
4730.83984 1.23756
4731.46289 1.49619
4732.08594 1.7664
4732.70898 1.50467
4733.33203 1.06359
4733.95508 1.22127
4734.57812 1.16163
4735.20117 1.37372
4735.82422 0.56529
4736.44727 1.02533
4737.07031 1.39346
4737.69336 1.79703
4738.31641 2.14388
4738.93945 1.6821
4739.5625 0.78307
4740.18555 1.18589
4740.80859 2.2675
4741.43164 1.71966
4742.05469 1.29914
4742.67773 1.46563
4743.30078 1.83562
4743.92383 2.59838
4744.54688 1.87972
4745.16992 1.7025
4745.79297 1.30108
4746.41602 1.02879
4747.03906 1.1055
4747.66211 1.84766
4748.28516 0.8987
4748.9082 0.67247
4749.53125 1.53611
4750.1543 1.4356
4750.77734 1.445
4751.40039 0.89949
4752.02344 1.46293
4752.64648 1.76936
4753.26953 1.66808
4753.89258 1.66766
4754.51562 1.34371
4755.13867 1.76856
4755.76172 2.36364
4756.38477 1.49432
4757.00781 1.19905
4757.63086 1.28261
4758.25391 1.10898
4758.87695 1.50892
4759.5 1.45367
4760.12305 1.44845
4760.74609 1.70547
4761.36914 1.47265
4761.99219 1.97109
4762.61523 2.46451
4763.23828 1.9245
4763.86133 1.59308
4764.48438 1.54317
4765.10742 1.15248
4765.73047 1.29246
4766.35352 1.58094
4766.97656 1.30237
4767.59961 1.29092
4768.22266 1.81207
4768.8457 1.36947
4769.46875 1.18884
4770.0918 1.54018
4770.71484 1.83718
4771.33789 2.02192
4771.96094 1.47554
4772.58398 1.25627
4773.20703 1.86636
4773.83008 1.90761
4774.45312 1.7367
4775.07617 2.09322
4775.69922 1.81079
4776.32227 1.38935
4776.94531 1.63976
4777.56836 2.06291
4778.19141 2.29068
4778.81445 2.27993
4779.4375 1.81151
4780.06055 1.62885
4780.68359 1.65192
4781.30664 1.67056
4781.92969 1.47353
4782.55273 1.14395
4783.17578 1.27662
4783.79883 1.88215
4784.42188 1.58149
4785.04492 1.6216
4785.66797 1.33548
