#wave flux
3400.0 0.67989
3401.5 0.65909
3403.0 0.48265
3404.5 0.56235
3406.0 -0.01605
3407.5 0.18222
3409.0 0.311
3410.5 0.53494
3412.0 0.67183
3413.5 0.43625
3415.0 0.63518
3416.5 0.47749
3418.0 0.65632
3419.5 0.53145
3421.0 0.81843
3422.5 0.64273
3424.0 0.5878
3425.5 0.25097
3427.0 0.22217
3428.5 0.34244
3430.0 0.51194
3431.5 0.61235
3433.0 0.70743
3434.5 0.25384
3436.0 0.12851
3437.5 0.62852
3439.0 0.5565
3440.5 0.11884
3442.0 0.6233
3443.5 0.27021
3445.0 0.55432
3446.5 0.25949
3448.0 0.56939
3449.5 0.47878
3451.0 0.42677
3452.5 0.76663
3454.0 1.48543
3455.5 0.75148
3457.0 0.93291
3458.5 0.77754
3460.0 0.41327
3461.5 1.26348
3463.0 0.95051
3464.5 0.60968
3466.0 0.68389
3467.5 0.58554
3469.0 0.77197
3470.5 0.59814
3472.0 0.40097
3473.5 1.14424
3475.0 0.80279
3476.5 0.77909
3478.0 0.57085
3479.5 0.70347
3481.0 1.08798
3482.5 0.87111
3484.0 0.64789
3485.5 0.78701
3487.0 0.9152
3488.5 1.01427
3490.0 0.88899
3491.5 0.67676
3493.0 0.21311
3494.5 0.792
3496.0 0.66691
3497.5 1.01935
3499.0 1.0443
3500.5 1.17001
3502.0 0.58891
3503.5 0.55854
3505.0 0.51293
3506.5 0.50816
3508.0 0.86086
3509.5 0.73603
3511.0 0.44648
3512.5 0.35405
3514.0 0.35066
3515.5 0.97091
3517.0 1.05736
3518.5 0.79575
3520.0 1.01574
3521.5 1.1829
3523.0 0.93031
3524.5 0.84146
3526.0 0.63646
3527.5 0.71928
3529.0 0.78301
3530.5 0.9114
3532.0 0.35253
3533.5 0.64213
3535.0 0.64447
3536.5 0.56541
3538.0 0.82412
3539.5 0.45091
3541.0 0.349
3542.5 0.33672
3544.0 0.35113
3545.5 0.70977
3547.0 0.45133
3548.5 0.04615
3550.0 0.32527
3551.5 0.45359
3553.0 0.37999
3554.5 0.40439
3556.0 0.39714
3557.5 0.91403
3559.0 0.74188
3560.5 0.61732
3562.0 0.9407
3563.5 0.86618
3565.0 0.57812
3566.5 0.71477
3568.0 0.83957
3569.5 0.45528
3571.0 0.20997
3572.5 0.81411
3574.0 0.69335
3575.5 0.7528
3577.0 0.39065
3578.5 0.0667
3580.0 0.42558
3581.5 0.57917
3583.0 1.13868
3584.5 0.70551
3586.0 0.08806
3587.5 0.36398
3589.0 0.39235
3590.5 0.83502
3592.0 0.82641
3593.5 0.871
3595.0 1.04167
3596.5 1.09208
3598.0 0.81553
3599.5 0.37723
3601.0 0.46985
3602.5 0.70817
3604.0 0.84027
3605.5 0.55453
3607.0 0.77097
3608.5 0.43323
3610.0 -0.00412
3611.5 0.00905
3613.0 0.07992
3614.5 -0.00914
3616.0 -0.17405
3617.5 0.0705
3619.0 0.19167
3620.5 0.22898
3622.0 0.18291
3623.5 0.23975
3625.0 0.34217
3626.5 0.46512
3628.0 0.64599
3629.5 0.52531
3631.0 0.48666
3632.5 0.62334
3634.0 0.86932
3635.5 0.73095
3637.0 0.5735
3638.5 0.58681
3640.0 0.8981
3641.5 0.66887
3643.0 0.60676
3644.5 0.51083
3646.0 0.23578
3647.5 0.21911
3649.0 0.16766
3650.5 0.65557
3652.0 0.90822
3653.5 0.89297
3655.0 0.90991
3656.5 0.59248
3658.0 0.23934
3659.5 0.14511
3661.0 0.45059
3662.5 0.71818
3664.0 0.7731
3665.5 0.93112
3667.0 0.70052
3668.5 0.89653
3670.0 1.02913
3671.5 1.08986
3673.0 0.908
3674.5 1.05713
3676.0 1.18609
3677.5 1.2628
3679.0 0.99792
3680.5 1.338
3682.0 1.11484
3683.5 1.19839
3685.0 1.20411
3686.5 1.07748
3688.0 1.31825
3689.5 0.97365
3691.0 1.13917
3692.5 1.01945
3694.0 1.13815
3695.5 1.28058
3697.0 1.00891
3698.5 1.05495
3700.0 0.9445
3701.5 0.99221
3703.0 0.76152
3704.5 1.00945
3706.0 1.04273
3707.5 0.99299
3709.0 0.8593
3710.5 0.82811
3712.0 0.93044
3713.5 0.94061
3715.0 0.85017
3716.5 0.81926
3718.0 0.80695
3719.5 0.62156
3721.0 0.73908
3722.5 0.75943
3724.0 0.52959
3725.5 0.50251
3727.0 0.7758
3728.5 0.91147
3730.0 0.98629
3731.5 0.76913
3733.0 0.82886
3734.5 0.90818
3736.0 0.72572
3737.5 0.94386
3739.0 0.67595
3740.5 0.9855
3742.0 0.96437
3743.5 1.06032
3745.0 1.03131
3746.5 0.59123
3748.0 0.34171
3749.5 0.302
3751.0 0.53498
3752.5 0.80298
3754.0 0.81323
3755.5 0.56463
3757.0 0.6628
3758.5 0.90517
3760.0 0.81911
3761.5 0.83575
3763.0 1.08221
3764.5 0.88387
3766.0 0.66538
3767.5 0.60482
3769.0 0.81455
3770.5 0.82503
3772.0 0.80302
3773.5 0.63233
3775.0 0.58215
3776.5 0.63661
3778.0 0.75358
3779.5 0.70838
3781.0 0.71622
3782.5 0.6425
3784.0 0.62963
3785.5 0.70444
3787.0 0.55527
3788.5 0.47114
3790.0 0.81511
3791.5 0.67287
3793.0 0.7624
3794.5 0.72636
3796.0 0.45034
3797.5 0.73381
3799.0 0.51332
3800.5 0.49038
3802.0 0.4908
3803.5 0.65133
3805.0 0.5043
3806.5 0.55403
3808.0 0.48484
3809.5 0.63662
3811.0 0.57573
3812.5 0.56803
3814.0 0.72521
3815.5 0.53757
3817.0 0.48574
3818.5 0.70035
3820.0 0.46292
3821.5 0.731
3823.0 0.57196
3824.5 0.68925
3826.0 0.6955
3827.5 0.49022
3829.0 0.83457
3830.5 0.61666
3832.0 0.51584
3833.5 0.63126
3835.0 0.9244
3836.5 0.84514
3838.0 0.65844
3839.5 0.84159
3841.0 0.58027
3842.5 0.62112
3844.0 0.72217
3845.5 0.5293
3847.0 0.87202
3848.5 0.77057
3850.0 0.79518
3851.5 0.76794
3853.0 0.57498
3854.5 0.7257
3856.0 0.79114
3857.5 0.82609
