#wave flux
3400.0 4.29682
3401.5 4.41169
3403.0 4.18804
3404.5 3.05737
3406.0 2.43819
3407.5 1.36544
3409.0 1.79006
3410.5 3.74735
3412.0 4.50255
3413.5 5.06248
3415.0 4.2349
3416.5 4.63691
3418.0 3.91424
3419.5 3.56645
3421.0 2.3264
3422.5 2.1862
3424.0 1.2947
3425.5 2.12802
3427.0 1.64849
3428.5 1.62754
3430.0 0.50522
3431.5 0.52106
3433.0 0.22836
3434.5 0.04464
3436.0 0.43118
3437.5 0.73913
3439.0 1.66701
3440.5 2.27724
3442.0 3.2989
3443.5 4.00942
3445.0 4.24891
3446.5 3.994
3448.0 4.50419
3449.5 4.29974
3451.0 4.35788
3452.5 5.44667
3454.0 6.51041
3455.5 6.29682
3457.0 5.40756
3458.5 5.44658
3460.0 6.15281
3461.5 5.83625
3463.0 5.92841
3464.5 5.75062
3466.0 5.01632
3467.5 4.485
3469.0 6.07807
3470.5 5.02284
3472.0 4.63427
3473.5 4.26844
3475.0 4.87177
3476.5 4.66246
3478.0 4.61102
3479.5 3.96083
3481.0 4.57636
3482.5 4.2007
3484.0 4.63315
3485.5 4.12582
3487.0 4.45277
3488.5 4.5512
3490.0 4.24438
3491.5 4.19121
3493.0 4.80007
3494.5 4.52091
3496.0 4.48848
3497.5 3.92284
3499.0 4.25901
3500.5 3.56569
3502.0 2.84722
3503.5 3.61823
3505.0 3.97536
3506.5 4.49946
3508.0 4.30845
3509.5 4.06095
3511.0 4.1442
3512.5 4.6906
3514.0 4.35683
3515.5 4.37444
3517.0 4.67411
3518.5 3.93865
3520.0 3.97581
3521.5 4.51305
3523.0 4.52223
3524.5 3.8775
3526.0 3.61612
3527.5 4.58128
3529.0 3.99746
3530.5 3.53673
3532.0 3.25215
3533.5 3.15672
3535.0 2.96722
3536.5 2.59735
3538.0 3.10459
3539.5 2.95547
3541.0 2.89954
3542.5 2.89466
3544.0 2.66995
3545.5 3.2153
3547.0 2.86363
3548.5 2.5331
3550.0 2.87198
3551.5 2.87189
3553.0 2.8433
3554.5 2.92171
3556.0 2.49422
3557.5 2.00799
3559.0 1.82768
3560.5 1.26972
3562.0 1.32321
3563.5 2.13334
3565.0 2.55687
3566.5 2.82626
3568.0 2.87492
3569.5 2.23172
3571.0 2.59275
3572.5 2.59878
3574.0 2.21551
3575.5 1.92794
3577.0 2.37508
3578.5 2.82384
3580.0 2.93137
3581.5 2.45798
3583.0 2.81988
3584.5 3.1996
3586.0 2.54859
3587.5 2.79804
3589.0 3.20646
3590.5 3.13271
3592.0 3.24061
3593.5 3.0692
3595.0 2.72519
3596.5 2.54334
3598.0 2.24099
3599.5 2.14031
3601.0 2.29135
3602.5 2.64574
3604.0 2.47307
3605.5 2.61268
3607.0 2.55444
3608.5 2.49738
3610.0 2.48196
3611.5 2.61469
3613.0 2.76513
3614.5 2.41733
3616.0 2.28828
3617.5 2.27654
3619.0 2.63497
3620.5 2.38503
3622.0 2.26963
3623.5 2.09181
3625.0 1.84486
3626.5 2.07094
3628.0 1.62193
3629.5 2.29367
3631.0 2.62268
3632.5 2.64729
3634.0 2.20807
3635.5 2.22296
3637.0 2.32919
3638.5 2.0594
3640.0 1.9644
3641.5 1.93155
3643.0 2.68974
3644.5 2.37152
3646.0 2.47765
3647.5 2.16931
3649.0 1.66473
3650.5 2.05329
3652.0 2.51702
3653.5 2.43911
3655.0 1.89969
3656.5 1.84354
3658.0 2.07552
3659.5 2.42265
3661.0 2.26614
3662.5 2.08013
3664.0 2.23151
3665.5 2.19371
3667.0 2.13896
3668.5 1.58495
3670.0 2.14248
3671.5 2.03042
3673.0 2.05533
3674.5 2.28833
3676.0 1.67974
3677.5 1.67016
3679.0 1.63347
3680.5 1.46484
3682.0 1.43979
3683.5 1.28772
3685.0 1.37462
3686.5 1.83106
3688.0 1.77731
3689.5 1.83785
3691.0 1.80524
3692.5 1.42046
3694.0 1.7278
3695.5 2.10156
3697.0 2.09144
3698.5 1.77226
3700.0 1.80765
3701.5 1.88665
3703.0 1.89864
3704.5 1.73518
3706.0 1.69172
3707.5 1.94949
3709.0 1.65656
3710.5 1.71941
3712.0 1.98907
3713.5 2.03969
3715.0 1.87135
3716.5 2.10513
3718.0 2.13612
3719.5 1.65616
3721.0 1.70403
3722.5 1.94144
3724.0 1.79651
3725.5 2.42164
3727.0 2.10914
3728.5 2.17189
3730.0 2.43706
3731.5 2.09766
3733.0 2.04245
3734.5 2.18152
3736.0 1.84383
3737.5 2.08429
3739.0 2.41355
3740.5 2.29181
3742.0 2.2884
3743.5 2.04981
3745.0 1.97472
3746.5 2.51317
3748.0 2.46571
3749.5 2.37942
3751.0 1.90393
3752.5 2.00388
3754.0 2.36764
3755.5 2.12237
3757.0 1.91538
3758.5 1.43667
3760.0 0.80077
3761.5 1.22076
3763.0 1.50409
3764.5 1.3132
3766.0 1.0663
3767.5 0.78988
3769.0 0.81528
3770.5 1.02695
3772.0 1.75545
3773.5 2.10926
3775.0 2.26237
3776.5 2.11591
3778.0 2.35687
3779.5 2.46854
3781.0 2.52604
3782.5 2.36661
3784.0 2.15439
3785.5 2.06747
3787.0 2.10529
3788.5 2.40394
3790.0 1.86593
3791.5 2.18263
3793.0 2.42787
3794.5 2.11204
3796.0 2.33259
3797.5 2.12577
3799.0 2.33242
3800.5 2.46619
3802.0 2.27998
3803.5 2.02651
3805.0 1.91994
3806.5 1.87304
3808.0 1.96601
3809.5 2.09915
3811.0 2.24426
3812.5 2.52365
3814.0 1.92976
3815.5 2.08206
3817.0 2.26118
3818.5 2.09097
3820.0 2.05017
3821.5 2.32858
3823.0 2.2694
3824.5 2.00443
3826.0 2.04846
3827.5 2.31263
3829.0 2.34539
3830.5 2.31354
3832.0 2.1286
3833.5 2.32184
3835.0 1.97873
3836.5 2.04324
3838.0 2.15719
3839.5 2.06107
3841.0 2.00253
3842.5 2.24873
3844.0 2.29513
3845.5 2.06904
3847.0 2.07786
3848.5 1.89357
3850.0 2.13185
3851.5 2.52636
3853.0 2.42502
3854.5 2.36957
3856.0 2.5657
3857.5 2.222
3859.0 1.94238
3860.5 2.04753
3862.0 2.16571
3863.5 2.32669
3865.0 1.95187
3866.5 2.05969
3868.0 2.44532
3869.5 2.48627
3871.0 1.93247
3872.5 2.09511
3874.0 2.60059
3875.5 2.3415
3877.0 2.32585
3878.5 2.31926
3880.0 2.72727
3881.5 2.5087
3883.0 2.55337
3884.5 2.67213
3886.0 2.45296
3887.5 2.32222
3889.0 2.69288
3890.5 2.81129
3892.0 2.77531
3893.5 2.78006
3895.0 3.04271
3896.5 2.52795
3898.0 2.21258
3899.5 2.35715
3901.0 2.67248
3902.5 2.46237
3904.0 2.67979
3905.5 2.59949
3907.0 2.48464
3908.5 2.84918
3910.0 2.60092
3911.5 2.66984
3913.0 2.70512
3914.5 2.28289
3916.0 2.24651
3917.5 2.16667
3919.0 2.34531
3920.5 2.59652
3922.0 2.52499
3923.5 2.72819
3925.0 2.4658
3926.5 2.20788
3928.0 2.57284
3929.5 2.47315
3931.0 2.57368
3932.5 2.41511
3934.0 2.17711
3935.5 1.93167
3937.0 1.44097
3938.5 1.73556
3940.0 2.2614
3941.5 2.45369
3943.0 2.5835
3944.5 2.61977
3946.0 2.54809
3947.5 2.56369
3949.0 2.58622
3950.5 2.55349
3952.0 2.71328
3953.5 2.81368
3955.0 2.71434
3956.5 2.54817
3958.0 2.31351
3959.5 2.06822
3961.0 2.09154
3962.5 2.01946
3964.0 1.92659
3965.5 2.12528
3967.0 2.35625
3968.5 2.31964
3970.0 2.29828
3971.5 2.02103
3973.0 1.74777
3974.5 1.75703
3976.0 2.21685
3977.5 2.09991
3979.0 1.79454
3980.5 1.7414
3982.0 2.04937
3983.5 2.34336
3985.0 2.29411
3986.5 2.52527
3988.0 2.4476
3989.5 2.30914
3991.0 2.10675
3992.5 2.34973
3994.0 2.2133
3995.5 2.33033
3997.0 2.48698
3998.5 2.22637
4000.0 2.18608
4001.5 2.21273
4003.0 2.24177
4004.5 2.12311
4006.0 2.14382
4007.5 1.97648
4009.0 2.12688
4010.5 2.18382
4012.0 2.00962
4013.5 2.43327
4015.0 2.05433
4016.5 1.83566
4018.0 2.13253
4019.5 2.23754
4021.0 2.05118
4022.5 1.98784
4024.0 2.01891
4025.5 2.10025
4027.0 2.0868
4028.5 1.90141
4030.0 1.58759
4031.5 1.74087
4033.0 2.01089
4034.5 1.97672
4036.0 2.04279
4037.5 1.9879
4039.0 1.92683
4040.5 1.82132
4042.0 1.86702
4043.5 1.82228
4045.0 1.59277
4046.5 1.7114
4048.0 2.07543
4049.5 1.4961
4051.0 1.53087
4052.5 1.38984
4054.0 1.52588
4055.5 1.69181
4057.0 1.48428
4058.5 1.5921
4060.0 1.47756
4061.5 1.29373
4063.0 1.56378
4064.5 1.59855
4066.0 1.35506
4067.5 1.4247
4069.0 1.39726
4070.5 1.27304
4072.0 1.35398
4073.5 1.47116
4075.0 1.50791
4076.5 0.96848
4078.0 1.33758
4079.5 1.33394
4081.0 1.67989
4082.5 1.38723
4084.0 1.20812
4085.5 1.24674
4087.0 1.4524
4088.5 1.55257
4090.0 1.25903
4091.5 1.40469
4093.0 1.57334
4094.5 1.84089
4096.0 1.46815
4097.5 1.33448
4099.0 1.54041
4100.5 1.36655
4102.0 1.54412
4103.5 1.50937
4105.0 1.42081
4106.5 1.51476
4108.0 1.3848
4109.5 1.47458
4111.0 1.53071
4112.5 1.54693
4114.0 1.68807
4115.5 1.56126
4117.0 1.57402
4118.5 1.62746
4120.0 1.72343
4121.5 1.76745
4123.0 1.76922
4124.5 1.59678
4126.0 1.59801
4127.5 1.39957
4129.0 1.62295
4130.5 1.72075
4132.0 1.93944
4133.5 1.73283
4135.0 1.81627
4136.5 1.63705
4138.0 1.68475
4139.5 1.86734
4141.0 1.7478
4142.5 1.74559
4144.0 1.88192
4145.5 1.9261
4147.0 1.78581
4148.5 1.67047
4150.0 1.78211
4151.5 1.79404
4153.0 1.92051
4154.5 1.97894
4156.0 2.03919
4157.5 1.99147
4159.0 1.804
4160.5 1.68558
4162.0 1.63732
4163.5 1.9513
4165.0 1.92782
4166.5 1.88263
4168.0 1.99803
4169.5 1.75944
4171.0 1.79842
4172.5 1.77835
4174.0 1.73939
4175.5 1.78237
4177.0 1.96475
4178.5 2.15472
4180.0 1.68339
4181.5 1.96713
4183.0 1.81009
4184.5 1.77187
4186.0 1.82621
4187.5 1.89195
4189.0 1.72476
4190.5 1.78664
4192.0 1.74912
4193.5 1.7828
4195.0 1.69209
4196.5 1.74861
4198.0 1.99855
4199.5 1.78293
4201.0 2.13907
4202.5 2.06848
4204.0 1.99144
4205.5 1.85999
4207.0 1.86571
4208.5 1.73254
4210.0 1.97216
4211.5 1.9767
4213.0 1.95255
4214.5 1.94178
4216.0 1.87063
4217.5 1.93459
4219.0 1.851
4220.5 1.82734
4222.0 2.01052
4223.5 1.79524
4225.0 1.86955
4226.5 1.75338
4228.0 1.81474
4229.5 1.93456
4231.0 2.1899
4232.5 2.03352
4234.0 2.00455
4235.5 2.19483
4237.0 2.08913
4238.5 1.98763
4240.0 1.83178
4241.5 1.90878
4243.0 2.1035
4244.5 1.90579
4246.0 1.92
4247.5 1.99655
4249.0 2.00796
4250.5 1.80014
4252.0 2.0332
4253.5 1.9964
4255.0 1.81517
4256.5 1.8761
4258.0 2.02282
4259.5 2.30246
4261.0 2.30351
4262.5 2.2649
4264.0 2.07303
4265.5 2.04579
4267.0 2.01828
4268.5 2.08918
4270.0 2.08359
4271.5 2.20156
4273.0 2.13193
4274.5 2.26936
4276.0 2.3366
4277.5 2.19771
4279.0 2.01091
4280.5 1.95146
4282.0 2.15767
4283.5 1.98586
4285.0 1.96902
4286.5 1.73924
4288.0 1.7439
4289.5 2.09205
4291.0 2.16393
4292.5 2.37603
4294.0 2.24826
4295.5 2.28941
4297.0 2.39303
4298.5 2.50235
4300.0 2.41452
4301.5 2.17585
4303.0 2.29269
4304.5 2.30548
4306.0 2.31248
4307.5 2.00758
4309.0 1.8972
4310.5 1.91499
4312.0 1.76646
4313.5 1.67464
4315.0 1.69066
4316.5 2.4855
4318.0 2.49713
4319.5 2.45019
4321.0 2.6209
4322.5 2.37374
4324.0 2.58466
4325.5 2.60588
4327.0 2.43649
4328.5 2.61515
4330.0 2.44861
4331.5 2.62736
4333.0 2.69323
4334.5 2.9563
4336.0 2.74492
4337.5 2.65631
4339.0 2.50396
4340.5 2.78007
4342.0 2.89088
4343.5 2.85037
4345.0 2.72873
4346.5 2.71829
4348.0 2.74582
4349.5 2.56708
4351.0 2.58491
4352.5 2.72559
4354.0 2.62971
4355.5 2.25846
4357.0 2.9842
4358.5 3.23738
4360.0 2.60022
4361.5 2.45409
4363.0 2.8478
4364.5 2.58555
4366.0 2.6015
4367.5 2.71838
4369.0 2.65864
4370.5 1.7956
4372.0 1.00508
4373.5 0.90371
4375.0 1.3043
4376.5 1.58049
4378.0 1.45386
4379.5 1.35563
4381.0 1.27324
4382.5 1.49666
4384.0 2.00978
4385.5 2.1116
4387.0 2.35756
4388.5 2.38948
4390.0 2.32377
4391.5 2.30308
4393.0 2.65965
4394.5 2.20864
4396.0 2.1444
4397.5 2.36694
4399.0 2.36674
4400.5 2.35218
4402.0 2.41241
4403.5 2.29699
4405.0 2.32937
4406.5 2.22847
4408.0 2.39495
4409.5 2.25074
4411.0 2.12863
4412.5 2.36817
4414.0 2.33352
4415.5 1.98239
4417.0 2.06909
4418.5 2.06865
4420.0 2.10616
4421.5 2.01062
4423.0 2.20077
4424.5 2.20029
4426.0 2.26977
4427.5 2.27454
4429.0 2.25395
4430.5 2.14017
4432.0 2.19923
4433.5 2.06384
4435.0 2.05465
4436.5 2.25008
4438.0 2.15814
4439.5 2.06417
4441.0 2.1409
4442.5 2.0744
4444.0 1.88532
4445.5 2.37169
4447.0 2.31475
4448.5 1.92135
4450.0 1.9351
4451.5 1.98417
4453.0 2.07854
4454.5 2.09125
4456.0 2.15638
4457.5 2.07525
4459.0 1.96293
4460.5 1.99902
4462.0 2.24932
4463.5 2.19183
4465.0 1.96369
4466.5 1.90402
4468.0 1.87891
4469.5 1.76048
4471.0 1.88426
4472.5 1.97799
4474.0 1.99291
4475.5 2.07453
4477.0 1.97819
4478.5 2.09953
4480.0 1.98653
4481.5 2.10179
4483.0 2.09403
4484.5 1.99628
4486.0 1.95032
4487.5 1.83118
4489.0 2.01949
4490.5 2.06712
4492.0 2.04173
4493.5 1.68347
4495.0 1.7779
4496.5 1.92881
4498.0 1.8623
4499.5 2.09544
4501.0 1.93569
4502.5 1.78551
4504.0 1.50935
4505.5 1.78051
4507.0 1.84597
