#wave flux
4600.0 0.84257
4600.62305 0.38803
4601.24609 1.36261
4601.86914 1.73393
4602.49219 1.16852
4603.11523 1.76381
4603.73828 1.7423
4604.36133 1.53695
4604.98438 1.05183
4605.60742 1.0055
4606.23047 1.40391
4606.85352 1.25806
4607.47656 1.28768
4608.09961 2.01954
4608.72266 1.49991
4609.3457 1.74948
4609.96875 1.13904
4610.5918 1.23327
4611.21484 1.0466
4611.83789 1.49438
4612.46094 1.18414
4613.08398 1.43813
4613.70703 1.20733
4614.33008 1.54342
4614.95312 1.07941
4615.57617 1.05827
4616.19922 2.01485
4616.82227 1.20935
4617.44531 1.36726
4618.06836 1.08994
4618.69141 1.16485
4619.31445 1.51083
4619.9375 0.96092
4620.56055 0.64405
4621.18359 1.03295
4621.80664 1.10748
4622.42969 0.83076
4623.05273 1.30664
4623.67578 1.74197
4624.29883 0.62231
4624.92188 1.08732
4625.54492 1.87232
4626.16797 1.45405
4626.79102 1.32525
4627.41406 1.43168
4628.03711 1.6071
4628.66016 2.12171
4629.2832 1.59125
4629.90625 0.99883
4630.5293 0.80913
4631.15234 0.61485
4631.77539 1.58472
4632.39844 2.26727
4633.02148 1.54113
4633.64453 1.05793
4634.26758 1.01728
4634.89062 1.49233
4635.51367 1.39538
4636.13672 0.74007
4636.75977 1.40605
4637.38281 2.06374
4638.00586 1.17986
4638.62891 0.44112
4639.25195 0.79145
4639.875 1.35515
4640.49805 1.1827
4641.12109 0.69731
4641.74414 0.63358
4642.36719 0.90653
4642.99023 1.14564
4643.61328 0.99952
4644.23633 1.48659
4644.85938 1.78248
4645.48242 1.74007
4646.10547 1.80051
4646.72852 1.29317
4647.35156 0.68253
4647.97461 0.81533
4648.59766 1.1333
4649.2207 1.23269
4649.84375 1.1467
4650.4668 1.04159
4651.08984 1.27312
4651.71289 1.26439
4652.33594 1.59809
4652.95898 1.35533
4653.58203 0.74964
4654.20508 0.95154
4654.82812 0.93707
4655.45117 1.15188
4656.07422 1.35387
4656.69727 1.36464
4657.32031 1.7144
4657.94336 1.79346
4658.56641 2.03645
4659.18945 1.49222
4659.8125 1.58321
4660.43555 1.87014
4661.05859 0.80258
4661.68164 1.47166
4662.30469 1.78328
4662.92773 1.81885
4663.55078 0.6029
4664.17383 0.5609
4664.79688 1.52258
4665.41992 1.30561
4666.04297 0.87156
4666.66602 1.3045
4667.28906 0.99898
4667.91211 0.28596
4668.53516 1.05653
4669.1582 1.68354
4669.78125 0.50999
4670.4043 1.07524
4671.02734 1.36205
4671.65039 1.07184
4672.27344 0.91607
4672.89648 1.47122
4673.51953 1.25827
4674.14258 0.87428
4674.76562 1.72936
4675.38867 1.72302
4676.01172 1.22038
4676.63477 1.28065
4677.25781 1.63632
4677.88086 1.19482
4678.50391 1.21092
4679.12695 1.46742
4679.75 1.3693
4680.37305 0.90454
4680.99609 1.26165
4681.61914 1.43055
4682.24219 1.32506
4682.86523 0.94376
4683.48828 0.26164
4684.11133 1.03692
4684.73438 1.53894
4685.35742 1.04412
4685.98047 0.75165
4686.60352 1.01332
4687.22656 1.55233
4687.84961 2.00148
4688.47266 1.98446
4689.0957 1.51951
4689.71875 0.94362
4690.3418 1.16959
4690.96484 1.21221
4691.58789 1.49053
4692.21094 1.71907
4692.83398 1.51954
4693.45703 1.6076
4694.08008 1.28783
4694.70312 0.86328
4695.32617 1.31957
4695.94922 1.46532
4696.57227 1.41266
4697.19531 1.42874
4697.81836 0.97347
4698.44141 1.13055
4699.06445 1.60893
4699.6875 1.12324
