#wave flux
4600.0 2.08142
4600.62305 0.94097
4601.24609 0.75319
4601.86914 1.0666
4602.49219 0.17811
4603.11523 0.52473
4603.73828 1.50672
4604.36133 1.70417
4604.98438 0.76227
4605.60742 1.3905
4606.23047 1.03433
4606.85352 1.17492
4607.47656 0.43778
4608.09961 0.49397
4608.72266 1.69146
4609.3457 2.2166
4609.96875 2.16694
4610.5918 0.72302
4611.21484 1.66477
4611.83789 1.65383
4612.46094 0.938
4613.08398 1.40164
4613.70703 0.38264
4614.33008 1.25099
4614.95312 1.0579
4615.57617 1.1221
4616.19922 1.35832
4616.82227 1.0372
4617.44531 1.653
4618.06836 1.69285
4618.69141 1.26323
4619.31445 1.32271
4619.9375 0.8083
4620.56055 0.11316
4621.18359 0.75695
4621.80664 2.3148
4622.42969 2.27502
4623.05273 1.63474
4623.67578 1.40585
4624.29883 1.32553
4624.92188 1.72135
4625.54492 1.09
4626.16797 0.91502
4626.79102 1.64069
4627.41406 1.90276
4628.03711 1.43668
4628.66016 1.64581
4629.2832 1.75516
4629.90625 2.01588
4630.5293 2.56464
4631.15234 0.98053
4631.77539 0.53509
4632.39844 1.95251
4633.02148 2.17357
4633.64453 1.59757
4634.26758 1.61721
4634.89062 2.05727
4635.51367 1.79199
4636.13672 2.12618
4636.75977 2.07349
4637.38281 1.58436
4638.00586 1.7881
4638.62891 2.65887
4639.25195 2.3147
4639.875 1.37797
4640.49805 1.54422
4641.12109 1.56775
4641.74414 1.42043
4642.36719 1.315
4642.99023 2.19444
4643.61328 2.04197
4644.23633 1.41438
4644.85938 1.41657
4645.48242 1.43917
4646.10547 1.10466
4646.72852 1.30314
4647.35156 1.4293
4647.97461 1.86587
4648.59766 1.8251
4649.2207 0.85414
4649.84375 0.55945
4650.4668 1.53131
4651.08984 1.15321
4651.71289 1.37506
4652.33594 1.94828
4652.95898 1.81861
4653.58203 2.27429
4654.20508 1.78355
4654.82812 1.70774
4655.45117 2.40214
4656.07422 1.62907
4656.69727 1.31711
4657.32031 1.76783
4657.94336 2.06119
4658.56641 1.60956
4659.18945 1.28704
4659.8125 1.56814
4660.43555 0.98749
4661.05859 1.423
4661.68164 2.22125
4662.30469 1.27007
4662.92773 1.79246
4663.55078 1.37697
4664.17383 0.91963
4664.79688 0.98013
4665.41992 1.71346
4666.04297 1.87663
4666.66602 0.66652
4667.28906 0.91357
4667.91211 1.9672
4668.53516 1.34475
4669.1582 0.9122
4669.78125 1.7038
4670.4043 1.13642
4671.02734 1.33926
4671.65039 1.22269
4672.27344 1.20981
4672.89648 2.00778
4673.51953 1.8901
4674.14258 1.73871
4674.76562 1.61378
4675.38867 1.35421
4676.01172 1.72385
4676.63477 0.6459
4677.25781 1.70869
4677.88086 2.27636
4678.50391 1.67558
4679.12695 0.86695
4679.75 1.50559
4680.37305 2.03085
4680.99609 1.79313
4681.61914 1.28957
4682.24219 1.51214
4682.86523 1.50686
4683.48828 1.58722
4684.11133 1.12355
4684.73438 0.59791
4685.35742 1.47118
4685.98047 1.13569
4686.60352 0.88494
4687.22656 1.72134
4687.84961 1.7345
4688.47266 1.04973
4689.0957 0.3827
4689.71875 0.39122
4690.3418 0.67071
4690.96484 1.12381
4691.58789 1.40093
4692.21094 1.17154
4692.83398 0.97191
4693.45703 0.91914
4694.08008 0.96407
4694.70312 1.46557
4695.32617 1.57419
4695.94922 0.87509
4696.57227 1.0135
4697.19531 1.69125
4697.81836 1.70339
4698.44141 1.9143
4699.06445 1.89066
4699.6875 1.23562
4700.31055 1.79638
4700.93359 2.4241
4701.55664 1.83071
4702.17969 1.72573
4702.80273 1.27358
4703.42578 1.11105
4704.04883 1.61292
4704.67188 1.30463
4705.29492 1.36901
4705.91797 0.79903
4706.54102 0.98889
4707.16406 1.01924
4707.78711 0.61815
4708.41016 1.31366
4709.0332 1.98666
4709.65625 1.66343
4710.2793 1.4227
4710.90234 0.72186
4711.52539 0.66514
4712.14844 2.08407
4712.77148 1.97683
4713.39453 1.45751
4714.01758 1.4715
4714.64062 1.59703
4715.26367 1.95198
4715.88672 1.60217
4716.50977 1.30331
4717.13281 1.7055
4717.75586 1.6052
4718.37891 1.12841
4719.00195 0.90292
4719.625 1.40216
4720.24805 1.53443
4720.87109 1.77026
4721.49414 1.38515
4722.11719 0.98598
4722.74023 1.61058
4723.36328 1.27766
4723.98633 1.24871
4724.60938 1.0667
4725.23242 1.45221
4725.85547 2.36931
4726.47852 1.5961
4727.10156 1.58037
4727.72461 1.80889
4728.34766 1.4021
4728.9707 1.47446
4729.59375 1.9243
4730.2168 2.01547
4730.83984 1.71965
4731.46289 1.74871
4732.08594 1.71952
4732.70898 1.94165
4733.33203 1.9773
4733.95508 0.97614
4734.57812 1.24713
4735.20117 1.69498
4735.82422 2.0366
4736.44727 0.93774
4737.07031 1.07419
4737.69336 0.94884
4738.31641 1.10259
4738.93945 1.74192
4739.5625 1.89279
4740.18555 1.78885
4740.80859 1.54184
4741.43164 1.26719
4742.05469 1.57459
4742.67773 1.56623
4743.30078 1.15798
4743.92383 1.1536
4744.54688 1.17295
4745.16992 1.48081
4745.79297 1.45346
4746.41602 1.35398
4747.03906 1.10715
4747.66211 1.19305
4748.28516 1.64731
4748.9082 1.89284
4749.53125 1.4093
4750.1543 1.58261
4750.77734 1.67709
4751.40039 1.03868
4752.02344 0.95768
4752.64648 1.54634
4753.26953 1.51529
4753.89258 1.70983
4754.51562 2.41587
4755.13867 2.2986
4755.76172 1.91617
4756.38477 1.6324
4757.00781 1.67626
4757.63086 1.73669
4758.25391 1.02888
4758.87695 1.33329
4759.5 1.98429
4760.12305 1.31321
4760.74609 1.19023
4761.36914 1.36802
4761.99219 1.4168
4762.61523 1.49943
4763.23828 1.13255
4763.86133 1.21471
4764.48438 1.21991
4765.10742 1.54954
4765.73047 1.19116
4766.35352 0.70391
4766.97656 1.14837
4767.59961 1.04663
4768.22266 1.43804
4768.8457 1.77526
4769.46875 1.6863
4770.0918 1.30025
4770.71484 1.51791
4771.33789 1.41522
4771.96094 1.51548
4772.58398 1.23816
4773.20703 0.66923
4773.83008 1.92519
4774.45312 2.49212
4775.07617 1.40878
4775.69922 1.28294
4776.32227 1.18061
4776.94531 1.32528
4777.56836 0.83847
4778.19141 1.41813
4778.81445 2.11124
4779.4375 1.90433
4780.06055 1.0068
4780.68359 1.17804
4781.30664 0.88434
4781.92969 1.76269
4782.55273 1.61674
4783.17578 1.33216
4783.79883 0.91702
4784.42188 0.94711
4785.04492 1.27442
4785.66797 1.7282
4786.29102 1.603
4786.91406 1.08083
4787.53711 1.04596
4788.16016 1.70404
4788.7832 1.10361
4789.40625 0.29611
4790.0293 1.19262
4790.65234 1.53032
4791.27539 1.89546
4791.89844 1.846
4792.52148 1.81668
4793.14453 1.33485
4793.76758 1.15864
4794.39062 1.21763
4795.01367 1.02869
4795.63672 1.45137
4796.25977 1.27896
4796.88281 0.86736
4797.50586 1.25026
4798.12891 1.49903
4798.75195 1.60618
4799.375 2.01173
4799.99805 1.1562
4800.62109 1.29224
4801.24414 1.7675
4801.86719 1.38105
4802.49023 1.06323
4803.11328 1.37991
4803.73633 1.56901
4804.35938 1.53741
4804.98242 1.16402
4805.60547 1.15281
4806.22852 1.14652
4806.85156 1.12778
4807.47461 1.60013
4808.09766 1.93781
4808.7207 1.92763
4809.34375 1.00277
4809.9668 0.72233
4810.58984 1.78745
4811.21289 2.41908
4811.83594 1.43759
4812.45898 1.20212
4813.08203 1.25558
4813.70508 1.19392
4814.32812 1.45256
4814.95117 1.43557
4815.57422 1.08419
4816.19727 0.76645
4816.82031 1.34184
4817.44336 2.13498
4818.06641 1.33206
4818.68945 0.6021
4819.3125 1.30988
4819.93555 1.62975
4820.55859 1.80782
4821.18164 1.50562
4821.80469 1.08661
4822.42773 1.29386
4823.05078 1.327
4823.67383 1.5256
4824.29688 1.73851
4824.91992 1.78739
4825.54297 1.51043
4826.16602 1.0823
4826.78906 1.04755
4827.41211 1.26376
4828.03516 1.59086
4828.6582 1.64893
4829.28125 1.72024
4829.9043 1.85692
4830.52734 1.15405
4831.15039 1.07237
4831.77344 1.51148
4832.39648 1.52022
4833.01953 1.41682
4833.64258 1.45154
4834.26562 1.51418
4834.88867 1.43308
4835.51172 1.2686
4836.13477 1.59707
4836.75781 1.26019
4837.38086 0.77252
4838.00391 1.37285
4838.62695 1.97351
4839.25 1.25573
4839.87305 1.05822
4840.49609 1.72842
4841.11914 1.54087
4841.74219 1.47505
4842.36523 1.74388
4842.98828 1.44747
4843.61133 2.19212
4844.23438 0.34282
4844.85742 0.86021
4845.48047 1.53589
4846.10352 0.96415
4846.72656 0.6934
4847.34961 1.32598
4847.97266 1.12908
4848.5957 1.37228
4849.21875 1.00492
4849.8418 0.99258
4850.46484 1.50504
4851.08789 1.16103
4851.71094 1.29029
4852.33398 1.13564
4852.95703 0.83375
4853.58008 0.94684
4854.20312 1.67955
4854.82617 2.45449
4855.44922 2.03902
4856.07227 1.01433
4856.69531 0.91112
4857.31836 1.24382
4857.94141 1.40756
4858.56445 1.70013
4859.1875 1.2938
4859.81055 1.35628
4860.43359 1.18874
4861.05664 1.08715
4861.67969 1.13593
4862.30273 1.13614
4862.92578 1.17777
4863.54883 1.52396
4864.17188 1.62532
4864.79492 1.35084
4865.41797 1.07011
4866.04102 1.49995
4866.66406 1.68193
4867.28711 0.87159
4867.91016 1.15696
4868.5332 1.63978
4869.15625 1.25682
4869.7793 1.50301
4870.40234 1.27112
4871.02539 0.97228
4871.64844 1.10574
4872.27148 0.85756
4872.89453 0.88491
4873.51758 1.25502
4874.14062 1.41834
4874.76367 1.81715
4875.38672 1.95615
4876.00977 1.60351
4876.63281 1.3026
4877.25586 1.24861
4877.87891 1.39592
4878.50195 1.28214
4879.125 0.72774
4879.74805 0.81553
4880.37109 1.62102
4880.99414 1.53005
4881.61719 1.27397
4882.24023 1.20344
4882.86328 1.18468
4883.48633 1.15896
4884.10938 1.41859
4884.73242 1.48328
4885.35547 1.34671
4885.97852 1.24233
4886.60156 1.04958
4887.22461 1.52345
4887.84766 1.51745
4888.4707 0.87114
4889.09375 1.17422
4889.7168 1.31086
4890.33984 1.10008
