#wave flux
3200.16602 0.0
3201.23999 -0.0
3202.31396 0.0
3203.38892 0.0
3204.46289 -0.0
3205.53711 -0.0
3206.61108 -0.0
3207.68604 0.0
3208.76001 -0.0
3209.83398 0.0
3210.90796 0.0
3211.98291 0.0
3213.05688 0.0
3214.1311 0.0
3215.20508 0.0
3216.28003 0.0
3217.354 0.0
3218.42798 0.0
3219.50195 0.0
3220.5769 0.0
3221.65088 0.0
3222.7251 0.0
3223.79907 0.0
3224.87402 0.0
3225.948 0.0
3227.02197 0.0
3228.09595 0.0
3229.1709 0.0
3230.24512 0.0
3231.31909 0.0
3232.39307 0.0
3233.46802 0.0
3234.54199 0.0
3235.61597 0.0
3236.68994 0.0
3237.76392 0.0
3238.83911 0.0
3239.91309 0.0
3240.98706 0.0
3242.06104 0.0
3243.13599 -0.0
3244.20996 0.0
3245.28394 -0.0
3246.35791 0.0
3247.4331 0.0
3248.50708 -0.0
3249.58106 0.0
3250.65503 0.0
3251.72998 0.0
3252.80396 0.0
3253.87793 0.0
3254.9519 -0.0
3256.0271 0.0
3257.10107 0.0
3258.17505 -0.0
3259.24902 0.0
3260.32398 0.0
3261.39795 -0.0
3262.47192 -0.0
3263.5459 0.0
3264.62109 0.0
3265.69507 -0.0
3266.76904 -0.0
3267.84302 0.0
3268.91797 0.0
3269.99194 0.0
3271.06592 0.0
3272.13989 0.0
3273.21509 -0.0
3274.28906 0.0
3275.36304 0.0
3276.43701 0.0
3277.51196 0.0
3278.58594 0.0
3279.65991 0.0
3280.73389 0.0
3281.80908 0.0
3282.88306 0.0
3283.95703 0.0
3285.03101 0.0
3286.10596 0.0
3287.17993 0.0
3288.25391 0.0
3289.32788 0.0
3290.40308 0.0
3291.47705 0.0
3292.55102 -0.0
3293.625 -0.0
3294.69995 -0.0
3295.77393 0.0
3296.8479 0.0
3297.92212 0.0
3298.99707 0.0
3300.07104 0.0
3301.14502 0.0
3302.21899 0.0
3303.29394 0.0
3304.36792 0.0
3305.4419 0.0
3306.51611 0.0
3307.59106 0.0
3308.66504 0.0
3309.73901 0.0
3310.81299 0.0
3311.88794 0.0
3312.96191 0.0
3314.03589 0.0
3315.11011 0.0
3316.18506 0.0
3317.25903 0.0
3318.33301 0.0
3319.40698 0.0
3320.48193 0.0
3321.55591 0.0
3322.62988 0.0
3323.7041 0.0
3324.77905 0.0
3325.85303 0.0
3326.927 0.0
3328.00098 0.0
3329.07593 -0.0
3330.1499 0.0
3331.22412 0.0
3332.2981 0.0
3333.37207 0.0
3334.44702 0.0
3335.521 0.0
3336.59497 0.0
3337.66894 0.0
3338.7439 0.0
3339.81812 -0.0
3340.89209 0.0
3341.96606 0.0
3343.04102 0.0
3344.11499 0.0
3345.18896 0.0
3346.26392 0.0
3347.33789 0.0
3348.41211 0.0
3349.48608 0.0
3350.56104 0.0
3351.63501 0.0
3352.70898 0.0
3353.78296 0.0
3354.85791 0.0
3355.93188 -0.0
3357.0061 0.0
3358.08008 0.0
3359.15503 0.0
3360.229 0.0
3361.30298 0.0
3362.37695 0.0
3363.4519 0.0
3364.52588 0.0
3365.6001 0.0
3366.67407 0.0
3367.74902 0.0
3368.823 0.0
3369.89697 0.0
3370.97095 0.0
3372.0459 0.0
3373.12012 0.0
3374.19409 0.0
3375.26807 0.0
3376.34302 0.0
3377.41699 0.0
3378.49097 0.0
3379.56494 0.0
3380.63989 0.0
3381.71411 0.0
3382.78809 0.0
3383.86206 0.0
3384.93604 -0.0
3386.01099 -0.0
3387.08496 0.0
3388.15894 0.0
3389.23291 0.0
3390.3081 0.0
3391.38208 0.0
3392.45606 0.0
3393.53003 0.0
3394.60498 0.0
3395.67896 -0.0
3396.75293 0.0
3397.8269 0.0
3398.9021 0.0
3399.97607 0.0
3401.05005 0.0
3402.12402 0.0
3403.19898 0.0
3404.27295 0.0
3405.34692 0.0
3406.4209 0.0
3407.49609 0.0
3408.57007 0.0
3409.64404 0.0
3410.71802 0.0
3411.79297 0.0
3412.86694 0.0
3413.94092 0.0
3415.01489 0.0
3416.09009 0.0
3417.16406 0.0
3418.23804 0.0
3419.31201 0.0
3420.38696 0.0
3421.46094 0.0
3422.53491 0.0
3423.60889 0.0
3424.68408 0.0
3425.75806 0.0
3426.83203 0.0
3427.90601 0.0
3428.98096 0.0
3430.05493 0.0
3431.12891 0.0
3432.20288 0.0
3433.27808 0.0
3434.35205 0.0
3435.42602 0.0
3436.5 0.0
3437.57495 0.0
3438.64893 0.0
3439.7229 0.0
3440.79712 0.0
3441.87207 0.0
3442.94604 0.0
3444.02002 0.0
3445.09399 0.0
3446.16894 0.0
3447.24292 0.0
3448.3169 0.0
3449.39111 0.0
3450.46606 0.0
3451.54004 0.0
3452.61401 0.0
3453.68799 0.0
3454.76294 0.0
3455.83691 0.0
3456.91089 0.0
3457.98511 0.0
3459.06006 0.0
3460.13403 0.0
3461.20801 0.0
3462.28198 0.0
3463.35693 0.0
3464.43091 0.0
3465.50488 0.0
3466.5791 0.0
3467.65405 0.0
3468.72803 0.0
3469.802 0.0
3470.87598 0.0
3471.95093 0.0
3473.0249 0.0
3474.09912 0.0
3475.1731 0.0
3476.24805 0.0
3477.32202 0.0
3478.396 0.0
3479.46997 0.0
3480.54492 0.0
3481.6189 0.0
3482.69312 0.0
3483.76709 0.0
3484.84204 0.0
3485.91602 0.0
3486.98999 0.0
3488.06396 0.0
3489.13892 0.0
3490.21289 0.0
3491.28711 0.0
3492.36108 0.0
3493.43604 0.0
3494.51001 0.0
3495.58398 0.0
3496.65796 0.0
3497.73291 0.0
3498.80688 0.0
3499.8811 0.0
3500.95508 0.0
3502.03003 0.0
3503.104 0.0
3504.17798 0.0
3505.25195 0.0
3506.3269 0.0
3507.40088 0.0
3508.4751 0.0
3509.54907 0.0
3510.62402 0.0
3511.698 0.0
3512.77197 0.0
3513.84595 0.0
3514.9209 0.0
3515.99512 0.0
3517.06909 0.0
3518.14307 0.0
3519.21802 0.0
3520.29199 0.0
3521.36597 0.0
3522.43994 0.0
3523.51489 0.0
3524.58911 0.0
3525.66309 0.0
3526.73706 0.0
3527.81104 0.0
3528.88599 0.0
3529.95996 0.0
3531.03394 0.0
3532.10791 0.0
3533.1831 0.0
3534.25708 0.0
3535.33106 0.0
3536.40503 0.0
3537.47998 0.0
3538.55396 0.0
3539.62793 0.0
3540.7019 0.0
3541.7771 0.0
3542.85107 0.0
3543.92505 0.0
3544.99902 0.0
3546.07398 0.0
3547.14795 0.0
3548.22192 0.0
3549.2959 0.0
3550.37109 0.0
3551.44507 0.0
3552.51904 0.0
3553.59302 0.0
3554.66797 0.0
3555.74194 0.0
3556.81592 0.0
3557.88989 0.0
3558.96509 0.0
3560.03906 0.0
3561.11304 0.0
3562.18701 0.0
3563.26196 0.0
3564.33594 0.0
3565.40991 0.0
3566.48389 0.0
3567.55908 0.0
3568.63306 0.0
3569.70703 0.0
3570.78101 0.0
3571.85596 0.0
3572.92993 0.0
3574.00391 0.0
3575.07788 0.0
3576.15308 0.0
3577.22705 0.0
3578.30102 0.0
3579.375 0.0
3580.44995 0.0
3581.52393 0.0
3582.5979 0.0
3583.67212 0.0
3584.74707 0.0
3585.82104 0.0
3586.89502 0.0
3587.96899 0.0
3589.04394 0.0
3590.11792 0.0
3591.1919 0.0
3592.26611 0.0
3593.34106 0.0
3594.41504 0.0
3595.48901 0.0
3596.56299 0.0
3597.63794 0.0
3598.71191 0.0
3599.78589 0.0
3600.86011 0.0
3601.93506 0.0
3603.00903 0.0
3604.08301 0.0
3605.15698 0.0
3606.23193 0.0
3607.30591 0.0
3608.37988 0.0
3609.4541 0.0
3610.52905 0.0
3611.60303 0.0
3612.677 0.0
3613.75098 0.0
3614.82593 0.0
3615.8999 0.0
3616.97412 0.0
3618.0481 0.0
3619.12305 0.0
3620.19702 0.0
3621.271 0.0
3622.34497 0.0
3623.41992 0.0
3624.4939 0.0
3625.56812 0.0
3626.64209 0.0
3627.71704 0.0
3628.79102 0.0
3629.86499 0.0
3630.93896 0.0
3632.01392 0.0
3633.08789 0.0
3634.16211 0.0
3635.23608 0.0
3636.31104 0.0
3637.38501 0.0
3638.45898 0.0
