#wave flux
4600.0 1.48379
4600.62305 1.89793
4601.24609 1.307
4601.86914 1.17085
4602.49219 1.35297
4603.11523 1.32198
4603.73828 1.48881
4604.36133 1.39639
4604.98438 1.27474
4605.60742 1.77285
4606.23047 1.41682
4606.85352 1.56982
4607.47656 1.77766
4608.09961 1.29576
4608.72266 1.89758
4609.3457 1.5581
4609.96875 1.6973
4610.5918 1.88683
4611.21484 2.02071
4611.83789 1.97759
4612.46094 1.18343
4613.08398 1.15492
4613.70703 1.84656
4614.33008 1.51266
4614.95312 1.9582
4615.57617 1.70923
4616.19922 2.18209
4616.82227 2.19907
4617.44531 2.07317
4618.06836 1.4746
4618.69141 1.34124
4619.31445 1.7976
4619.9375 1.18567
4620.56055 1.48796
4621.18359 1.89332
4621.80664 1.72225
4622.42969 1.36923
4623.05273 1.18807
4623.67578 1.45213
4624.29883 1.82085
4624.92188 1.5082
4625.54492 1.86463
4626.16797 1.71083
4626.79102 1.49267
4627.41406 1.19667
4628.03711 1.43812
4628.66016 1.59416
4629.2832 1.40192
4629.90625 1.54818
4630.5293 1.91312
4631.15234 1.66327
4631.77539 1.42086
4632.39844 1.20877
4633.02148 1.41531
4633.64453 1.86369
4634.26758 1.71744
4634.89062 1.4793
4635.51367 1.23394
4636.13672 1.17907
4636.75977 1.6562
4637.38281 1.59826
4638.00586 1.66933
4638.62891 1.68872
4639.25195 1.36732
4639.875 1.4877
4640.49805 1.72898
4641.12109 1.89009
4641.74414 2.0705
4642.36719 1.78098
4642.99023 1.35291
4643.61328 1.34955
4644.23633 1.48785
4644.85938 1.73701
4645.48242 1.82287
4646.10547 1.65893
4646.72852 1.52265
4647.35156 1.4545
4647.97461 1.56352
4648.59766 1.83458
4649.2207 1.94395
4649.84375 1.77179
4650.4668 1.39219
4651.08984 1.4475
4651.71289 1.97222
4652.33594 2.0438
4652.95898 1.2895
4653.58203 1.16548
4654.20508 1.54182
4654.82812 1.29757
4655.45117 1.5851
4656.07422 1.8595
4656.69727 1.74646
4657.32031 1.25797
4657.94336 1.4132
4658.56641 1.67541
4659.18945 1.26011
4659.8125 0.83414
4660.43555 1.40567
4661.05859 1.60649
4661.68164 1.41216
4662.30469 1.32075
4662.92773 1.66618
4663.55078 1.7473
4664.17383 1.50816
4664.79688 1.62428
4665.41992 1.73796
4666.04297 1.68391
4666.66602 1.35897
4667.28906 1.72113
4667.91211 1.5653
4668.53516 0.71552
4669.1582 1.66579
4669.78125 2.1666
4670.4043 1.63672
4671.02734 1.28465
4671.65039 1.10632
4672.27344 1.26293
4672.89648 1.58981
4673.51953 1.67079
4674.14258 1.49026
4674.76562 1.36213
4675.38867 1.64387
4676.01172 1.55122
4676.63477 1.46769
4677.25781 1.55487
4677.88086 1.86519
4678.50391 2.14375
4679.12695 1.29961
4679.75 1.17315
4680.37305 1.24351
4680.99609 1.14469
4681.61914 1.60501
4682.24219 1.39273
4682.86523 1.71431
4683.48828 1.65763
4684.11133 1.22829
4684.73438 1.43749
4685.35742 1.62448
4685.98047 1.39186
4686.60352 1.17465
4687.22656 1.20727
4687.84961 1.45059
4688.47266 1.56239
4689.0957 1.32762
4689.71875 1.65925
4690.3418 1.52659
4690.96484 1.41086
4691.58789 1.77886
4692.21094 1.78462
4692.83398 1.76075
4693.45703 2.04669
4694.08008 1.66478
4694.70312 1.40901
4695.32617 1.44899
4695.94922 1.32935
4696.57227 1.68189
4697.19531 2.19491
4697.81836 1.84136
4698.44141 1.29261
4699.06445 1.13466
4699.6875 1.29996
4700.31055 1.43323
4700.93359 1.49868
4701.55664 1.75781
4702.17969 1.69353
4702.80273 1.56976
4703.42578 1.42395
4704.04883 1.54296
4704.67188 1.67512
4705.29492 1.20904
4705.91797 1.33517
4706.54102 1.91228
4707.16406 1.86208
4707.78711 1.21854
4708.41016 1.47419
4709.0332 1.6024
4709.65625 1.50886
4710.2793 1.53472
4710.90234 1.35097
4711.52539 1.30696
4712.14844 1.58062
4712.77148 2.08368
4713.39453 2.13199
4714.01758 1.73214
4714.64062 1.6899
4715.26367 1.68501
4715.88672 2.01744
4716.50977 1.98565
4717.13281 1.73543
4717.75586 1.32818
4718.37891 1.23389
4719.00195 1.29927
4719.625 1.38779
4720.24805 1.52329
4720.87109 1.59345
4721.49414 1.48394
4722.11719 1.47628
4722.74023 1.43621
4723.36328 1.28143
4723.98633 1.59574
4724.60938 1.3435
4725.23242 1.22711
4725.85547 1.83085
4726.47852 1.5878
4727.10156 1.45627
4727.72461 1.47155
4728.34766 1.66659
4728.9707 1.89462
4729.59375 1.49816
4730.2168 1.48818
4730.83984 1.47766
4731.46289 1.36062
4732.08594 1.63343
4732.70898 1.49807
4733.33203 1.86096
4733.95508 2.11897
4734.57812 1.88536
4735.20117 1.72749
4735.82422 1.57403
4736.44727 1.69288
4737.07031 2.02674
4737.69336 1.91054
4738.31641 1.70775
4738.93945 2.00291
4739.5625 1.6435
4740.18555 1.36516
4740.80859 1.71168
4741.43164 1.49629
4742.05469 1.07282
4742.67773 1.3009
4743.30078 1.39909
4743.92383 1.36334
4744.54688 1.39748
4745.16992 0.9924
4745.79297 1.28122
4746.41602 1.83
4747.03906 1.77841
4747.66211 1.64394
4748.28516 2.05337
4748.9082 1.94294
4749.53125 2.01809
4750.1543 2.16752
4750.77734 1.89084
4751.40039 1.82248
4752.02344 1.28045
4752.64648 0.86474
4753.26953 1.17173
4753.89258 1.33811
4754.51562 1.57981
4755.13867 1.86909
4755.76172 1.8641
4756.38477 1.58236
4757.00781 1.50295
4757.63086 1.83078
4758.25391 2.03123
4758.87695 1.62516
4759.5 1.47538
4760.12305 1.8468
4760.74609 1.8917
4761.36914 1.5548
4761.99219 1.55216
4762.61523 1.92708
4763.23828 1.99699
4763.86133 1.89022
4764.48438 1.92029
4765.10742 1.94494
4765.73047 1.9234
4766.35352 2.00151
4766.97656 1.71285
4767.59961 1.40641
4768.22266 1.45599
4768.8457 1.33097
4769.46875 1.54372
4770.0918 1.8129
4770.71484 1.55339
4771.33789 1.69354
4771.96094 1.58659
4772.58398 1.63534
4773.20703 1.82028
4773.83008 1.62929
4774.45312 1.75108
4775.07617 1.71056
4775.69922 1.80511
4776.32227 1.65947
4776.94531 1.54687
4777.56836 1.78313
4778.19141 1.71477
4778.81445 1.66167
4779.4375 1.57343
4780.06055 2.05156
4780.68359 1.72957
4781.30664 1.54574
4781.92969 1.31957
4782.55273 1.65773
4783.17578 1.83815
4783.79883 1.77364
4784.42188 1.67617
4785.04492 1.8248
4785.66797 1.64282
4786.29102 1.91147
4786.91406 1.96282
4787.53711 1.87262
4788.16016 1.76054
4788.7832 1.96469
4789.40625 1.56942
4790.0293 1.49512
4790.65234 1.81231
4791.27539 1.52717
4791.89844 1.44402
4792.52148 1.35022
4793.14453 1.74191
4793.76758 1.4509
4794.39062 1.53467
4795.01367 1.84111
4795.63672 1.69681
4796.25977 1.62357
4796.88281 1.57601
4797.50586 1.7263
4798.12891 1.56626
4798.75195 2.19985
4799.375 2.05019
4799.99805 1.84082
4800.62109 1.8982
4801.24414 1.64721
4801.86719 1.3624
4802.49023 1.0895
4803.11328 1.60108
4803.73633 1.99009
4804.35938 2.40621
4804.98242 2.02595
4805.60547 1.72411
4806.22852 1.77463
4806.85156 1.74542
4807.47461 1.66046
4808.09766 1.53192
4808.7207 1.6769
4809.34375 1.68906
4809.9668 1.53159
4810.58984 1.53477
4811.21289 1.57684
4811.83594 1.78803
4812.45898 1.78508
4813.08203 1.96676
4813.70508 1.98057
4814.32812 1.85285
4814.95117 1.73177
4815.57422 1.46004
4816.19727 1.41842
4816.82031 1.68004
4817.44336 1.81075
4818.06641 1.85854
4818.68945 1.94143
4819.3125 1.80811
4819.93555 1.6699
4820.55859 1.78547
4821.18164 1.69268
4821.80469 1.71283
4822.42773 2.22316
4823.05078 2.23369
4823.67383 1.65786
4824.29688 1.42472
4824.91992 1.562
4825.54297 1.58899
4826.16602 1.60595
4826.78906 1.59029
4827.41211 1.48886
4828.03516 1.75523
4828.6582 2.22019
4829.28125 2.00975
4829.9043 1.97332
4830.52734 2.25732
4831.15039 1.84937
4831.77344 1.55317
4832.39648 1.53571
4833.01953 1.88367
4833.64258 1.87237
4834.26562 1.8234
4834.88867 1.62453
4835.51172 1.76126
4836.13477 1.84364
4836.75781 1.814
4837.38086 1.55256
4838.00391 1.75352
4838.62695 2.20917
4839.25 2.2737
4839.87305 1.69904
4840.49609 1.81453
4841.11914 2.3732
4841.74219 2.04723
4842.36523 1.6468
4842.98828 1.96951
4843.61133 1.94345
4844.23438 1.88894
4844.85742 1.98806
4845.48047 1.60295
4846.10352 1.43226
4846.72656 1.91808
4847.34961 2.09035
4847.97266 1.69821
4848.5957 1.63267
4849.21875 1.96035
4849.8418 2.04999
4850.46484 1.96085
4851.08789 1.62481
4851.71094 1.47474
4852.33398 1.44047
4852.95703 1.77385
4853.58008 1.96128
4854.20312 1.64931
4854.82617 1.74715
4855.44922 1.65123
4856.07227 2.02729
4856.69531 2.53432
4857.31836 2.03308
4857.94141 1.59557
4858.56445 1.811
4859.1875 2.0095
4859.81055 2.12457
4860.43359 2.00853
4861.05664 1.90828
4861.67969 1.7472
4862.30273 1.8956
4862.92578 1.77904
4863.54883 1.71986
4864.17188 1.7084
4864.79492 1.78463
4865.41797 1.77265
4866.04102 1.65454
4866.66406 1.48712
4867.28711 1.58209
4867.91016 1.76668
4868.5332 1.82874
4869.15625 1.69275
4869.7793 1.51969
4870.40234 1.4651
4871.02539 1.47259
4871.64844 1.64061
4872.27148 1.69371
4872.89453 1.63028
4873.51758 1.42448
4874.14062 1.24404
4874.76367 1.24929
4875.38672 1.50843
4876.00977 1.77296
4876.63281 1.80182
4877.25586 1.91654
4877.87891 1.68741
4878.50195 1.51433
4879.125 1.6234
4879.74805 1.67597
4880.37109 1.64117
4880.99414 1.71772
4881.61719 1.9328
4882.24023 2.05778
4882.86328 1.94763
4883.48633 1.62904
4884.10938 1.63666
4884.73242 1.81287
4885.35547 1.99703
4885.97852 1.47937
4886.60156 1.50137
4887.22461 1.78174
4887.84766 1.77365
4888.4707 1.58282
4889.09375 1.40212
4889.7168 1.56072
4890.33984 1.75236
4890.96289 1.74922
4891.58594 1.83361
4892.20898 1.6365
4892.83203 1.44919
4893.45508 1.46735
4894.07812 1.63284
4894.70117 1.81723
4895.32422 1.72579
4895.94727 1.45388
4896.57031 1.63094
4897.19336 1.72208
4897.81641 1.40641
4898.43945 1.65164
4899.0625 1.69647
4899.68555 1.87609
4900.30859 1.68974
4900.93164 1.42748
4901.55469 2.03167
4902.17773 2.09607
4902.80078 1.79671
4903.42383 2.04591
4904.04688 1.82707
4904.66992 1.43253
4905.29297 1.54502
4905.91602 1.64126
4906.53906 1.71133
4907.16211 1.71158
4907.78516 1.66713
4908.4082 1.65267
4909.03125 1.40225
4909.6543 1.79688
4910.27734 1.29507
4910.90039 0.91141
4911.52344 1.52119
4912.14648 1.97416
4912.76953 1.79667
4913.39258 1.33734
4914.01562 1.58794
4914.63867 1.49818
4915.26172 1.80391
4915.88477 1.77268
4916.50781 1.74197
4917.13086 1.8769
4917.75391 1.74018
4918.37695 1.5615
4919.0 1.67717
4919.62305 1.84315
4920.24609 1.69785
4920.86914 1.25241
4921.49219 1.48903
4922.11523 1.59984
4922.73828 1.29061
4923.36133 1.30839
4923.98438 1.61531
4924.60742 1.64813
4925.23047 1.39967
4925.85352 1.26146
4926.47656 1.5138
4927.09961 1.56282
4927.72266 1.26193
4928.3457 1.16645
4928.96875 1.42468
4929.5918 1.4945
4930.21484 1.44454
4930.83789 1.53336
4931.46094 1.65471
4932.08398 1.6118
4932.70703 1.59327
4933.33008 1.73007
4933.95312 1.79921
4934.57617 1.7926
4935.19922 1.63149
4935.82227 1.55206
4936.44531 1.62862
4937.06836 1.57332
4937.69141 1.48541
4938.31445 1.45094
4938.9375 1.43392
4939.56055 1.54236
4940.18359 1.67079
4940.80664 1.7659
4941.42969 1.60154
4942.05273 1.25656
4942.67578 1.41538
4943.29883 1.56801
4943.92188 1.41723
4944.54492 1.40444
4945.16797 1.44481
4945.79102 1.4181
4946.41406 1.32894
4947.03711 1.52889
4947.66016 1.67968
4948.2832 1.51266
4948.90625 1.30109
4949.5293 1.49514
4950.15234 1.55119
4950.77539 1.52379
4951.39844 1.80341
4952.02148 1.56183
4952.64453 1.65482
4953.26758 1.40191
4953.89062 1.32261
4954.51367 1.47507
4955.13672 1.236
4955.75977 1.26251
4956.38281 1.2978
4957.00586 1.33309
4957.62891 1.36838
4958.25195 1.40367
4958.875 1.43896
4959.49805 1.47425
4960.12109 1.50954
4960.74414 1.54483
4961.36719 1.58012
4961.99023 1.70261
4962.61328 1.49991
4963.23633 1.24109
4963.85938 1.45126
4964.48242 1.55748
4965.10547 1.42066
4965.72852 1.43586
4966.35156 1.37476
4966.97461 1.44482
4967.59766 1.54364
4968.2207 1.64015
4968.84375 1.41204
4969.4668 1.32417
4970.08984 1.0604
4970.71289 1.28552
4971.33594 1.48189
4971.95898 1.29144
4972.58203 1.41814
4973.20508 1.36532
4973.82812 1.45972
4974.45117 1.38597
4975.07422 1.28542
4975.69727 1.35066
4976.32031 1.54951
4976.94336 1.48977
4977.56641 1.54352
4978.18945 1.38234
4978.8125 1.57821
4979.43555 1.25524
4980.05859 1.39212
4980.68164 1.45163
4981.30469 1.17914
4981.92773 1.43242
4982.55078 1.69207
4983.17383 1.41972
4983.79688 1.27026
4984.41992 1.68977
4985.04297 1.58309
4985.66602 1.58085
4986.28906 1.43722
4986.91211 1.4235
4987.53516 1.36944
4988.1582 1.33952
4988.78125 1.46043
4989.4043 1.2517
4990.02734 1.22176
4990.65039 1.57033
4991.27344 1.70648
4991.89648 1.60838
4992.51953 1.43014
4993.14258 1.24822
4993.76562 1.45406
4994.38867 1.45131
4995.01172 1.48298
4995.63477 1.72419
4996.25781 1.38831
4996.88086 1.20716
4997.50391 1.2409
4998.12695 1.23745
4998.75 1.46089
4999.37305 1.50076
4999.99609 1.50862
5000.61914 1.33566
5001.24219 1.18871
5001.86523 1.41538
5002.48828 1.30408
5003.11133 1.24419
5003.73438 1.40328
5004.35742 1.28533
5004.98047 1.2993
5005.60352 1.47517
5006.22656 1.61279
5006.84961 1.65189
5007.47266 1.48928
5008.0957 1.463
5008.71875 1.51385
5009.3418 1.56815
5009.96484 1.55954
5010.58789 1.38458
5011.21094 1.39611
5011.83398 1.22888
5012.45703 1.46761
5013.08008 1.49564
5013.70312 1.23052
5014.32617 1.35314
5014.94922 1.22225
5015.57227 1.43208
5016.19531 1.41211
5016.81836 1.0158
5017.44141 0.95386
5018.06445 1.21367
5018.6875 1.53217
5019.31055 1.64439
5019.93359 1.51671
5020.55664 1.3286
5021.17969 1.4124
5021.80273 1.53812
5022.42578 1.30852
5023.04883 1.14112
5023.67188 1.48684
5024.29492 1.09891
5024.91797 1.29023
5025.54102 1.43225
5026.16406 1.48485
5026.78711 1.61764
5027.41016 1.35595
5028.0332 1.40311
5028.65625 1.36788
5029.2793 1.32053
5029.90234 1.58831
5030.52539 1.46635
5031.14844 1.18528
5031.77148 1.3604
5032.39453 1.51209
5033.01758 1.28386
5033.64062 1.13785
5034.26367 1.40323
5034.88672 1.51023
5035.50977 1.46696
5036.13281 1.3549
5036.75586 1.4243
5037.37891 1.24668
5038.00195 1.388
5038.625 1.25957
5039.24805 1.34728
5039.87109 1.45919
5040.49414 1.46774
5041.11719 1.24665
5041.74023 1.20038
5042.36328 1.42182
5042.98633 1.43896
5043.60938 1.46701
5044.23242 1.31147
5044.85547 1.12033
5045.47852 1.32158
5046.10156 1.34298
5046.72461 1.31914
5047.34766 1.49543
5047.9707 1.59291
5048.59375 1.27414
5049.2168 1.05541
5049.83984 0.9471
5050.46289 1.16857
5051.08594 1.31757
5051.70898 1.197
5052.33203 1.28762
5052.95508 1.43513
5053.57812 1.37993
5054.20117 1.27547
5054.82422 1.30933
5055.44727 1.27999
5056.07031 1.16417
5056.69336 1.27165
5057.31641 1.43625
5057.93945 1.40368
5058.5625 1.2827
5059.18555 1.29266
5059.80859 1.35194
5060.43164 1.28288
5061.05469 1.1499
5061.67773 1.26149
5062.30078 1.45197
5062.92383 1.25395
5063.54688 1.29139
5064.16992 1.44244
5064.79297 1.35712
5065.41602 1.37271
5066.03906 1.4666
5066.66211 1.40526
5067.28516 1.11488
5067.9082 1.34942
5068.53125 1.46664
5069.1543 1.26972
5069.77734 1.19669
5070.40039 1.13455
5071.02344 1.05661
5071.64648 1.10324
5072.26953 1.19523
5072.89258 1.13798
5073.51562 1.05315
5074.13867 1.26884
5074.76172 1.17944
5075.38477 1.06333
5076.00781 0.90012
5076.63086 1.24292
5077.25391 1.20158
5077.87695 1.23904
5078.5 1.29789
5079.12305 1.20533
5079.74609 1.46041
5080.36914 1.34656
5080.99219 1.42459
5081.61523 1.38544
5082.23828 1.07513
5082.86133 1.08882
5083.48438 1.23241
5084.10742 1.34476
5084.73047 1.3768
5085.35352 1.34681
5085.97656 1.49843
5086.59961 1.4542
5087.22266 0.99305
5087.8457 1.3487
5088.46875 1.56822
5089.0918 1.30327
5089.71484 1.25664
5090.33789 1.26584
5090.96094 1.05008
5091.58398 0.95316
5092.20703 1.10123
5092.83008 1.18474
5093.45312 1.12759
5094.07617 1.5279
5094.69922 1.52068
5095.32227 1.16677
5095.94531 1.35858
5096.56836 1.66541
5097.19141 1.36207
5097.81445 1.2903
5098.4375 1.29938
5099.06055 1.03047
5099.68359 1.15357
5100.30664 1.44737
5100.92969 1.36149
5101.55273 1.25527
5102.17578 1.03742
5102.79883 1.08491
5103.42188 1.61608
5104.04492 1.53713
5104.66797 1.21588
5105.29102 1.19505
5105.91406 1.28614
5106.53711 1.41774
5107.16016 1.25263
5107.7832 1.0606
5108.40625 0.98454
5109.0293 1.14769
5109.65234 1.2663
5110.27539 1.1468
5110.89844 1.21334
5111.52148 1.28784
5112.14453 1.26285
5112.76758 1.18239
5113.39062 1.15642
5114.01367 1.27375
5114.63672 1.20764
5115.25977 1.25384
5115.88281 1.33569
5116.50586 1.24554
5117.12891 1.16405
5117.75195 1.18705
5118.375 1.34794
5118.99805 1.44422
5119.62109 1.43049
5120.24414 1.31518
5120.86719 1.30053
5121.49023 1.43964
5122.11328 1.50536
5122.73633 1.39628
5123.35938 1.51995
5123.98242 1.53351
5124.60547 1.13022
5125.22852 1.21691
5125.85156 1.34265
5126.47461 1.3296
5127.09766 1.36134
5127.7207 1.29651
5128.34375 1.11577
5128.9668 1.38299
5129.58984 1.42487
5130.21289 1.48286
5130.83594 1.16613
5131.45898 1.20773
5132.08203 1.3057
5132.70508 1.36971
5133.32812 1.38118
5133.95117 1.17664
5134.57422 1.29618
5135.19727 1.25071
5135.82031 1.01171
5136.44336 1.05246
5137.06641 1.32644
5137.68945 1.41167
5138.3125 1.14176
5138.93555 0.96954
5139.55859 1.20613
5140.18164 1.48709
5140.80469 1.36555
5141.42773 1.28425
5142.05078 1.65574
5142.67383 1.50184
5143.29688 1.2902
5143.91992 1.09237
5144.54297 1.26011
5145.16602 1.27104
5145.78906 1.09053
5146.41211 1.2368
5147.03516 1.63046
5147.6582 1.41626
5148.28125 1.41487
5148.9043 1.54821
5149.52734 1.58338
5150.15039 1.42193
5150.77344 1.28941
5151.39648 1.10953
5152.01953 1.30946
5152.64258 1.24322
