#wave flux
3400.0 0.67977
3401.5 0.97511
3403.0 0.6858
3404.5 0.31934
3406.0 0.24864
3407.5 0.10286
3409.0 0.23214
3410.5 0.49441
3412.0 0.31207
3413.5 0.37062
3415.0 0.4983
3416.5 0.4602
3418.0 0.48225
3419.5 0.61802
3421.0 0.37464
3422.5 0.35961
3424.0 0.34992
3425.5 0.35692
3427.0 0.43915
3428.5 0.42324
3430.0 0.55059
3431.5 0.28953
3433.0 0.31696
3434.5 0.34672
3436.0 0.27619
3437.5 0.27471
3439.0 0.39126
3440.5 0.32126
3442.0 0.40496
3443.5 0.34065
3445.0 0.43115
3446.5 0.37759
3448.0 0.37382
3449.5 0.42318
3451.0 0.50806
3452.5 0.45503
3454.0 0.2445
3455.5 0.42826
3457.0 0.4502
3458.5 0.54115
3460.0 0.39346
3461.5 0.50215
3463.0 0.27132
3464.5 0.18712
3466.0 0.27345
3467.5 0.36671
3469.0 0.41216
3470.5 0.3476
3472.0 0.38224
3473.5 0.37564
3475.0 0.32598
3476.5 0.30637
3478.0 0.50441
3479.5 0.4133
3481.0 0.36666
3482.5 0.43488
3484.0 0.46552
3485.5 0.4953
3487.0 0.32781
3488.5 0.34829
3490.0 0.54352
3491.5 0.37288
3493.0 0.27293
3494.5 0.26316
3496.0 0.42658
3497.5 0.40153
3499.0 0.24184
3500.5 0.41931
3502.0 0.43477
3503.5 0.52076
3505.0 0.33643
3506.5 0.47737
3508.0 0.46511
3509.5 0.25231
3511.0 0.24954
3512.5 0.47844
3514.0 0.51494
3515.5 0.33324
3517.0 0.31907
3518.5 0.35757
3520.0 0.45549
3521.5 0.52986
3523.0 0.33821
3524.5 0.40308
3526.0 0.68066
3527.5 0.54262
3529.0 0.47036
3530.5 0.46848
3532.0 0.21629
3533.5 0.4066
3535.0 0.49323
3536.5 0.48836
3538.0 0.42765
3539.5 0.48164
3541.0 0.38638
3542.5 0.45322
3544.0 0.3679
3545.5 0.29435
3547.0 0.42245
3548.5 0.39957
3550.0 0.36915
3551.5 0.48562
3553.0 0.27637
3554.5 0.41567
3556.0 0.35015
3557.5 0.32352
3559.0 0.24946
3560.5 0.12295
3562.0 0.26142
3563.5 0.46431
3565.0 0.38344
3566.5 0.29556
3568.0 0.37351
3569.5 0.23075
3571.0 0.23478
3572.5 0.27054
3574.0 0.36889
3575.5 0.17061
3577.0 0.28459
3578.5 0.19308
3580.0 0.21356
3581.5 0.22267
3583.0 0.24116
3584.5 0.34575
3586.0 0.35055
3587.5 0.41609
3589.0 0.443
3590.5 0.2451
3592.0 0.19427
3593.5 0.28213
3595.0 0.31242
3596.5 0.46825
3598.0 0.35193
3599.5 0.27234
3601.0 0.21129
3602.5 0.30047
3604.0 0.42056
3605.5 0.38472
3607.0 0.35586
3608.5 0.30389
3610.0 0.41298
3611.5 0.51154
3613.0 0.40052
3614.5 0.3529
3616.0 0.34947
3617.5 0.33043
3619.0 0.33909
3620.5 0.30508
3622.0 0.20857
3623.5 0.17743
3625.0 0.19118
3626.5 0.25917
3628.0 0.45355
3629.5 0.37136
3631.0 0.36617
3632.5 0.43484
3634.0 0.31548
3635.5 0.2347
3637.0 0.33465
3638.5 0.41356
3640.0 0.37653
3641.5 0.3642
3643.0 0.33419
3644.5 0.25154
3646.0 0.46431
3647.5 0.44692
3649.0 0.40559
3650.5 0.21046
3652.0 0.29419
3653.5 0.47943
3655.0 0.57728
3656.5 0.38692
3658.0 0.47227
3659.5 0.25066
3661.0 0.35628
3662.5 0.43984
3664.0 0.36191
3665.5 0.37796
3667.0 0.41587
3668.5 0.2016
3670.0 0.45058
3671.5 0.36139
3673.0 0.4741
3674.5 0.38841
3676.0 0.37825
3677.5 0.41054
3679.0 0.45943
3680.5 0.41198
3682.0 0.19799
3683.5 0.20141
3685.0 0.20202
3686.5 0.22844
3688.0 0.29021
3689.5 0.36087
3691.0 0.41357
3692.5 0.48678
3694.0 0.38363
3695.5 0.34181
3697.0 0.33614
3698.5 0.36883
3700.0 0.31635
3701.5 0.2344
3703.0 0.04682
3704.5 0.09125
3706.0 -0.02341
3707.5 -0.01195
3709.0 -0.06644
3710.5 0.03738
3712.0 -0.01234
3713.5 -0.06582
