#wave flux
4600.0 0.97751
4600.62305 1.07207
4601.24609 0.75166
4601.86914 0.04952
4602.49219 1.32412
4603.11523 0.63047
4603.73828 0.85991
4604.36133 0.71532
4604.98438 0.87368
4605.60742 0.87733
4606.23047 -0.21183
4606.85352 1.0798
4607.47656 1.93478
4608.09961 0.75077
4608.72266 1.59346
4609.3457 2.07888
4609.96875 1.19338
4610.5918 1.55371
4611.21484 1.18509
4611.83789 0.02961
4612.46094 0.82203
4613.08398 0.96963
4613.70703 0.67526
4614.33008 0.85856
4614.95312 0.81089
4615.57617 1.03341
4616.19922 1.67064
4616.82227 1.32898
4617.44531 1.28617
4618.06836 1.66224
4618.69141 1.45672
4619.31445 0.55341
4619.9375 0.63895
4620.56055 0.46175
4621.18359 0.90623
4621.80664 1.65179
4622.42969 1.23206
4623.05273 0.93101
4623.67578 1.10513
4624.29883 1.05877
4624.92188 1.24326
4625.54492 1.42934
4626.16797 1.05059
4626.79102 1.02484
4627.41406 1.03537
4628.03711 0.7066
4628.66016 0.71624
4629.2832 0.29364
4629.90625 0.32823
4630.5293 1.10609
4631.15234 0.99164
4631.77539 0.33094
4632.39844 0.34347
4633.02148 1.05757
4633.64453 0.85047
4634.26758 0.24272
4634.89062 0.80793
4635.51367 1.34546
4636.13672 1.06942
4636.75977 1.21374
4637.38281 1.73987
4638.00586 1.19434
4638.62891 0.52179
4639.25195 1.16478
4639.875 0.87065
4640.49805 0.11982
4641.12109 0.68161
4641.74414 1.6374
4642.36719 1.66124
4642.99023 0.83306
4643.61328 0.91131
4644.23633 1.26988
4644.85938 0.57291
4645.48242 0.28515
4646.10547 -0.1076
4646.72852 -0.20992
4647.35156 0.44065
4647.97461 0.58395
4648.59766 1.07856
4649.2207 1.79924
4649.84375 1.62277
4650.4668 0.73993
4651.08984 1.12322
4651.71289 1.69433
4652.33594 1.56114
4652.95898 0.32183
4653.58203 1.10268
4654.20508 0.13538
4654.82812 0.5873
4655.45117 0.63563
4656.07422 1.15066
4656.69727 1.26816
4657.32031 1.83692
4657.94336 0.96744
4658.56641 0.8074
4659.18945 0.40976
4659.8125 0.25015
4660.43555 1.34773
4661.05859 0.75159
4661.68164 1.03816
4662.30469 1.02588
4662.92773 0.96977
4663.55078 1.23479
4664.17383 1.09602
4664.79688 1.18209
4665.41992 0.29631
4666.04297 0.13068
4666.66602 0.65737
4667.28906 1.01361
4667.91211 0.64216
4668.53516 0.95262
4669.1582 1.18743
4669.78125 0.9928
4670.4043 0.99
4671.02734 0.86203
4671.65039 0.71251
4672.27344 0.12026
4672.89648 0.6067
4673.51953 1.59864
4674.14258 1.21451
4674.76562 1.08007
4675.38867 0.73924
4676.01172 1.24512
4676.63477 2.01472
4677.25781 1.55584
4677.88086 1.41827
4678.50391 1.30547
4679.12695 1.03791
4679.75 0.91674
4680.37305 0.90785
4680.99609 0.52326
4681.61914 0.51132
4682.24219 0.95036
4682.86523 1.471
4683.48828 0.87447
4684.11133 1.05293
4684.73438 1.40326
4685.35742 1.02028
4685.98047 0.47331
4686.60352 -0.28773
4687.22656 0.25781
4687.84961 1.63997
4688.47266 1.88454
4689.0957 1.66999
4689.71875 1.39783
4690.3418 0.60019
4690.96484 0.68747
4691.58789 1.41185
4692.21094 1.43708
4692.83398 1.41388
4693.45703 1.11637
4694.08008 0.31631
4694.70312 0.39915
4695.32617 0.98204
4695.94922 1.02392
4696.57227 1.24254
4697.19531 1.14364
4697.81836 0.90559
4698.44141 0.40881
4699.06445 0.48639
4699.6875 0.97975
