#wave flux
4600.0 1.11516
4600.62305 2.01149
4601.24609 0.65008
4601.86914 1.00985
4602.49219 2.11925
4603.11523 2.35357
4603.73828 1.90463
4604.36133 0.64344
4604.98438 0.66148
4605.60742 0.40528
4606.23047 1.87217
4606.85352 3.96223
4607.47656 3.91787
4608.09961 2.93888
4608.72266 2.06776
4609.3457 2.37148
4609.96875 2.86598
4610.5918 1.58559
4611.21484 1.03669
4611.83789 1.4578
4612.46094 1.83811
4613.08398 1.40061
4613.70703 0.89446
4614.33008 0.76284
4614.95312 0.76978
4615.57617 1.31333
4616.19922 0.9653
4616.82227 0.39433
4617.44531 0.26242
4618.06836 1.53143
4618.69141 1.35588
4619.31445 -1.07222
4619.9375 -0.13765
4620.56055 1.43658
4621.18359 1.10462
4621.80664 1.68783
4622.42969 1.01302
4623.05273 -0.60169
4623.67578 -0.03398
4624.29883 1.01833
4624.92188 0.68858
4625.54492 0.03348
4626.16797 1.36858
4626.79102 1.0588
4627.41406 0.69603
4628.03711 0.66081
4628.66016 0.6776
4629.2832 1.66083
4629.90625 1.57288
4630.5293 0.34351
4631.15234 1.08183
4631.77539 1.82706
4632.39844 1.6216
4633.02148 1.05472
4633.64453 0.40445
4634.26758 0.96812
4634.89062 0.27804
4635.51367 -0.0414
4636.13672 0.62162
4636.75977 1.44427
4637.38281 0.75207
4638.00586 -0.45849
4638.62891 -0.79658
4639.25195 0.17828
4639.875 0.93255
4640.49805 0.63304
4641.12109 0.34101
4641.74414 0.9711
4642.36719 0.35762
4642.99023 1.36071
4643.61328 1.53039
4644.23633 0.0421
4644.85938 -0.12779
4645.48242 0.975
4646.10547 1.33452
4646.72852 2.78048
4647.35156 1.60382
4647.97461 0.35295
4648.59766 1.64567
4649.2207 1.45451
4649.84375 1.10314
4650.4668 1.16957
4651.08984 2.49907
4651.71289 1.17941
4652.33594 0.4626
4652.95898 0.39795
4653.58203 0.24873
4654.20508 0.98908
4654.82812 0.79796
4655.45117 1.65184
4656.07422 2.09576
4656.69727 0.70913
4657.32031 0.73094
4657.94336 1.69798
4658.56641 1.60963
4659.18945 1.85326
4659.8125 0.69385
4660.43555 2.12821
4661.05859 2.77419
4661.68164 1.0788
4662.30469 2.34767
4662.92773 2.36204
4663.55078 2.05637
4664.17383 1.7645
4664.79688 1.40542
4665.41992 1.70082
4666.04297 1.25119
4666.66602 0.41195
4667.28906 0.10119
4667.91211 0.37278
4668.53516 0.7315
4669.1582 0.06899
4669.78125 1.38828
4670.4043 1.53003
4671.02734 1.98121
4671.65039 1.21564
4672.27344 0.30375
4672.89648 1.32203
4673.51953 1.47571
4674.14258 0.21345
4674.76562 -0.07702
4675.38867 1.08759
4676.01172 1.72091
4676.63477 0.99408
4677.25781 0.76078
4677.88086 1.88154
4678.50391 2.37945
4679.12695 1.64801
4679.75 1.07043
4680.37305 1.13997
4680.99609 1.56156
4681.61914 1.55886
4682.24219 -0.03022
4682.86523 -0.76996
4683.48828 0.5264
4684.11133 0.53577
4684.73438 -0.43359
4685.35742 0.71369
4685.98047 2.91048
4686.60352 1.29106
4687.22656 0.77286
4687.84961 0.76348
4688.47266 0.47262
4689.0957 1.2051
4689.71875 1.52649
4690.3418 1.39306
4690.96484 0.56171
4691.58789 1.33308
4692.21094 1.92887
4692.83398 2.24836
4693.45703 1.77331
4694.08008 0.51824
4694.70312 1.07459
4695.32617 2.06845
4695.94922 2.38588
4696.57227 0.89576
4697.19531 0.02122
4697.81836 0.42045
4698.44141 1.27776
4699.06445 0.18635
4699.6875 -0.06356
4700.31055 1.76055
4700.93359 1.01135
4701.55664 1.3525
4702.17969 1.21143
4702.80273 1.22822
4703.42578 1.20364
4704.04883 0.69061
4704.67188 -0.06264
4705.29492 0.30768
4705.91797 1.83436
4706.54102 2.0915
4707.16406 -0.18265
4707.78711 1.141
4708.41016 0.60584
4709.0332 2.32449
4709.65625 1.48935
4710.2793 1.55709
4710.90234 0.6843
4711.52539 1.65987
4712.14844 2.49028
4712.77148 2.18529
4713.39453 0.72451
4714.01758 0.81112
4714.64062 0.07551
4715.26367 1.62821
4715.88672 2.13302
4716.50977 1.88863
4717.13281 2.04511
4717.75586 1.85593
4718.37891 1.04862
4719.00195 1.07963
4719.625 0.46478
4720.24805 1.03341
4720.87109 1.19332
4721.49414 0.41989
4722.11719 1.00602
4722.74023 1.21205
4723.36328 0.5268
4723.98633 1.09797
4724.60938 1.69165
4725.23242 1.56999
4725.85547 1.49164
4726.47852 1.20988
4727.10156 1.88979
4727.72461 1.83717
4728.34766 1.14778
4728.9707 2.4404
4729.59375 1.5862
4730.2168 -0.11902
4730.83984 0.64355
4731.46289 0.33592
4732.08594 0.968
4732.70898 1.93892
4733.33203 2.09521
4733.95508 2.06389
4734.57812 1.55901
4735.20117 0.48359
4735.82422 1.43691
4736.44727 2.72482
4737.07031 1.94809
4737.69336 1.15315
4738.31641 0.8958
4738.93945 1.00871
4739.5625 0.62944
4740.18555 1.09684
4740.80859 1.60338
4741.43164 1.19521
4742.05469 1.59658
4742.67773 1.47087
4743.30078 1.46997
4743.92383 1.67006
4744.54688 1.81705
4745.16992 2.69774
4745.79297 2.75499
4746.41602 1.92506
4747.03906 1.85001
4747.66211 1.74907
4748.28516 1.53664
4748.9082 1.82453
4749.53125 1.64223
4750.1543 1.18537
4750.77734 1.76453
4751.40039 1.69763
4752.02344 1.35887
4752.64648 0.921
4753.26953 1.68253
4753.89258 1.89573
4754.51562 1.27389
4755.13867 1.40234
4755.76172 1.75753
4756.38477 2.0742
4757.00781 0.70697
4757.63086 0.64016
4758.25391 2.34549
4758.87695 2.01679
4759.5 1.83203
4760.12305 1.00338
4760.74609 1.07879
4761.36914 1.45764
4761.99219 1.07769
4762.61523 1.31461
4763.23828 1.90157
4763.86133 1.11944
4764.48438 0.60878
4765.10742 1.10239
4765.73047 1.53738
4766.35352 1.61921
4766.97656 0.30661
4767.59961 0.46037
4768.22266 0.67534
4768.8457 0.71134
4769.46875 0.18653
4770.0918 0.02909
4770.71484 0.64245
4771.33789 0.73332
4771.96094 0.63013
4772.58398 1.0748
4773.20703 0.91851
4773.83008 0.22943
4774.45312 0.30638
4775.07617 1.10067
4775.69922 1.97152
4776.32227 1.99378
4776.94531 1.19475
4777.56836 0.71613
4778.19141 1.84685
4778.81445 2.00893
4779.4375 1.11542
4780.06055 1.51167
4780.68359 1.7083
4781.30664 2.51212
4781.92969 2.46334
4782.55273 1.81837
4783.17578 1.36133
4783.79883 0.97855
4784.42188 2.60139
4785.04492 3.04281
4785.66797 2.49922
4786.29102 1.69487
4786.91406 1.72873
4787.53711 1.5421
4788.16016 1.0184
4788.7832 1.59528
4789.40625 2.85563
4790.0293 3.46789
4790.65234 2.97076
4791.27539 2.66766
4791.89844 3.28121
4792.52148 3.4131
4793.14453 2.09776
4793.76758 0.93242
4794.39062 1.80898
4795.01367 2.3965
4795.63672 1.53352
4796.25977 2.23292
4796.88281 2.46021
4797.50586 0.93861
4798.12891 1.33954
4798.75195 2.17921
4799.375 1.809
4799.99805 1.61482
4800.62109 2.11922
4801.24414 2.59483
4801.86719 2.92648
4802.49023 3.11728
4803.11328 2.17148
4803.73633 2.30616
4804.35938 2.00521
4804.98242 2.21411
4805.60547 2.35601
4806.22852 2.02098
4806.85156 2.27244
4807.47461 2.31508
4808.09766 2.53133
4808.7207 2.29043
4809.34375 2.46683
4809.9668 3.39852
4810.58984 3.31565
4811.21289 1.91422
4811.83594 2.52269
4812.45898 2.58264
4813.08203 2.87971
4813.70508 3.01729
4814.32812 2.48777
4814.95117 2.28753
4815.57422 3.97147
4816.19727 4.38818
4816.82031 3.05267
4817.44336 2.23706
4818.06641 2.76129
4818.68945 3.49813
4819.3125 3.48104
4819.93555 3.03881
4820.55859 2.72355
4821.18164 2.2275
4821.80469 3.6485
4822.42773 3.84098
4823.05078 3.03574
4823.67383 3.02126
4824.29688 3.10297
4824.91992 3.90159
4825.54297 3.7175
4826.16602 3.32668
4826.78906 4.49663
4827.41211 4.25831
4828.03516 2.98303
4828.6582 2.94884
4829.28125 4.23392
4829.9043 3.87611
4830.52734 2.83917
4831.15039 2.98599
4831.77344 3.87699
4832.39648 4.12868
4833.01953 4.42956
4833.64258 3.9933
4834.26562 2.33781
4834.88867 3.43318
4835.51172 4.95291
4836.13477 4.98905
4836.75781 4.49066
4837.38086 5.33143
4838.00391 3.78951
4838.62695 3.8403
4839.25 3.47015
4839.87305 2.80642
4840.49609 2.45266
4841.11914 3.38833
4841.74219 4.47703
4842.36523 4.09333
4842.98828 3.30336
4843.61133 2.811
4844.23438 3.10397
4844.85742 3.30171
4845.48047 2.46083
4846.10352 2.99548
4846.72656 2.95109
4847.34961 2.98792
4847.97266 3.53542
4848.5957 4.01066
4849.21875 3.59347
4849.8418 2.95482
4850.46484 3.46765
4851.08789 3.57155
4851.71094 3.13141
4852.33398 2.82409
4852.95703 3.19139
4853.58008 3.78396
4854.20312 3.37078
4854.82617 3.00963
4855.44922 3.36496
4856.07227 3.85143
4856.69531 4.04982
4857.31836 3.2834
4857.94141 3.22558
4858.56445 4.12052
4859.1875 3.78533
4859.81055 3.48693
4860.43359 3.39754
4861.05664 2.86571
4861.67969 3.2838
4862.30273 3.73601
4862.92578 3.44544
4863.54883 3.72031
4864.17188 3.73776
4864.79492 2.70263
4865.41797 2.26597
4866.04102 2.86903
4866.66406 3.11046
4867.28711 3.23835
4867.91016 2.92605
4868.5332 2.46735
4869.15625 3.03108
4869.7793 4.21874
4870.40234 4.12651
4871.02539 3.2232
4871.64844 1.85546
4872.27148 2.30229
4872.89453 3.231
4873.51758 2.46022
4874.14062 1.93183
4874.76367 2.88339
4875.38672 3.64404
4876.00977 3.42616
4876.63281 3.24618
4877.25586 2.69659
4877.87891 2.34927
4878.50195 3.30641
4879.125 2.82583
4879.74805 2.51268
4880.37109 2.42067
4880.99414 2.74736
4881.61719 3.21704
4882.24023 2.66613
4882.86328 3.49436
4883.48633 2.11456
4884.10938 1.43978
4884.73242 3.40636
4885.35547 3.24989
4885.97852 2.34973
4886.60156 1.8299
4887.22461 1.86102
4887.84766 1.3289
4888.4707 2.14727
4889.09375 0.99476
4889.7168 1.63561
4890.33984 2.4268
4890.96289 2.3994
4891.58594 1.1642
4892.20898 2.16007
4892.83203 2.43724
4893.45508 2.26835
4894.07812 1.69147
4894.70117 2.69047
4895.32422 2.05241
4895.94727 2.03096
4896.57031 1.92081
4897.19336 2.61964
4897.81641 2.68378
4898.43945 2.49746
4899.0625 1.89124
4899.68555 2.30707
4900.30859 1.59662
4900.93164 1.66987
4901.55469 1.87727
4902.17773 1.48101
4902.80078 2.3191
4903.42383 2.65012
4904.04688 1.85669
4904.66992 1.60042
4905.29297 1.69033
4905.91602 1.41829
4906.53906 1.57486
4907.16211 1.77047
4907.78516 0.89872
4908.4082 0.61899
4909.03125 1.19033
4909.6543 1.75852
4910.27734 2.00991
4910.90039 2.01471
4911.52344 2.04014
4912.14648 1.65851
4912.76953 1.60566
4913.39258 2.15701
