#wave flux
4600.0 3.52862
4600.62305 3.59601
4601.24609 3.78389
4601.86914 3.76708
4602.49219 3.67594
4603.11523 3.67853
4603.73828 3.58081
4604.36133 3.53578
4604.98438 3.25061
4605.60742 3.06484
4606.23047 3.07567
4606.85352 3.44274
4607.47656 3.3205
4608.09961 3.02224
4608.72266 3.01795
4609.3457 3.54022
4609.96875 3.52351
4610.5918 3.09157
4611.21484 2.85597
4611.83789 2.72257
4612.46094 2.56568
4613.08398 2.50026
4613.70703 3.07335
4614.33008 3.41072
4614.95312 2.55154
4615.57617 2.25048
4616.19922 2.25965
4616.82227 2.34984
4617.44531 2.76095
4618.06836 2.99379
4618.69141 2.12923
4619.31445 2.38895
4619.9375 2.75856
4620.56055 2.38741
4621.18359 2.24461
4621.80664 2.35824
4622.42969 3.12557
4623.05273 2.80427
4623.67578 2.14813
4624.29883 1.79805
4624.92188 2.56619
4625.54492 2.53379
4626.16797 2.27065
4626.79102 2.03467
4627.41406 1.9487
4628.03711 1.95243
4628.66016 2.28518
4629.2832 2.26146
4629.90625 1.84673
4630.5293 1.73458
4631.15234 2.02104
4631.77539 2.03402
4632.39844 2.4125
4633.02148 2.39157
4633.64453 2.01466
4634.26758 2.45528
4634.89062 2.70556
4635.51367 2.19059
4636.13672 2.1129
4636.75977 2.19352
4637.38281 2.65624
4638.00586 2.45765
4638.62891 1.57921
4639.25195 1.61217
4639.875 1.56495
4640.49805 2.29006
4641.12109 2.17174
4641.74414 1.8261
4642.36719 2.09093
4642.99023 2.20703
4643.61328 2.28637
4644.23633 2.24042
4644.85938 1.77916
4645.48242 1.95272
4646.10547 2.02994
4646.72852 1.91683
4647.35156 2.14349
4647.97461 2.11334
4648.59766 2.01351
4649.2207 2.07408
4649.84375 2.1517
4650.4668 1.88053
4651.08984 1.63037
4651.71289 1.95372
4652.33594 2.24981
4652.95898 1.98635
4653.58203 2.00237
4654.20508 2.34012
4654.82812 2.48363
4655.45117 2.21089
4656.07422 1.73706
4656.69727 2.01386
4657.32031 2.22071
4657.94336 1.91231
4658.56641 1.91695
4659.18945 1.88184
4659.8125 1.7253
4660.43555 1.92975
4661.05859 2.15399
4661.68164 1.97761
4662.30469 1.90233
4662.92773 1.97694
4663.55078 2.02297
4664.17383 2.08702
4664.79688 1.7621
4665.41992 1.95385
4666.04297 1.85745
4666.66602 1.55118
4667.28906 1.68495
4667.91211 2.01348
4668.53516 1.85332
4669.1582 1.80642
4669.78125 2.17683
4670.4043 1.97733
4671.02734 1.48947
4671.65039 1.90242
4672.27344 1.81092
4672.89648 1.70336
4673.51953 1.71452
4674.14258 1.42992
4674.76562 1.51195
4675.38867 1.55879
4676.01172 1.74444
4676.63477 1.80267
4677.25781 1.43119
4677.88086 1.40307
4678.50391 1.80163
4679.12695 1.74471
4679.75 2.03885
4680.37305 1.7323
4680.99609 1.41488
4681.61914 1.51635
4682.24219 1.91683
4682.86523 1.83915
4683.48828 1.74271
4684.11133 1.63171
4684.73438 1.71729
4685.35742 1.57784
4685.98047 1.71221
4686.60352 1.88681
4687.22656 1.51321
4687.84961 1.49096
4688.47266 1.28004
4689.0957 1.34895
4689.71875 1.78131
4690.3418 1.75712
4690.96484 1.94882
4691.58789 2.19083
4692.21094 1.78841
4692.83398 1.87395
4693.45703 1.55557
4694.08008 1.22238
4694.70312 1.55851
4695.32617 1.60828
4695.94922 1.86907
4696.57227 1.72594
4697.19531 1.25507
4697.81836 1.63602
4698.44141 1.78759
4699.06445 1.29687
4699.6875 1.54551
4700.31055 1.89526
4700.93359 1.43087
4701.55664 1.45414
4702.17969 1.88412
4702.80273 1.83081
4703.42578 1.36841
4704.04883 1.48923
4704.67188 1.57292
4705.29492 1.30819
4705.91797 1.70212
4706.54102 1.94939
4707.16406 1.47561
4707.78711 1.31894
4708.41016 1.65695
4709.0332 1.50693
4709.65625 1.42578
4710.2793 1.62544
4710.90234 1.26736
4711.52539 1.00691
4712.14844 1.16472
4712.77148 1.72039
4713.39453 1.97523
4714.01758 1.38327
4714.64062 1.16118
4715.26367 1.67178
4715.88672 1.88289
4716.50977 1.52589
4717.13281 1.38844
4717.75586 1.49147
4718.37891 1.47706
4719.00195 1.36055
4719.625 1.47663
4720.24805 1.65808
4720.87109 1.39521
4721.49414 1.36497
4722.11719 1.64923
4722.74023 1.44109
4723.36328 1.46349
4723.98633 1.46491
4724.60938 1.2482
4725.23242 1.42658
4725.85547 1.53736
4726.47852 1.47745
4727.10156 1.43896
4727.72461 1.26325
4728.34766 1.50334
4728.9707 1.63944
4729.59375 1.75992
4730.2168 1.59141
4730.83984 1.48762
4731.46289 1.39394
4732.08594 1.39783
4732.70898 1.32339
4733.33203 1.42573
4733.95508 1.24025
4734.57812 1.2687
4735.20117 1.60922
4735.82422 1.53743
4736.44727 1.43505
4737.07031 1.34284
4737.69336 1.38369
4738.31641 1.42625
4738.93945 1.10422
4739.5625 1.20713
4740.18555 1.32581
4740.80859 1.27116
4741.43164 1.44902
4742.05469 1.40115
4742.67773 1.37073
4743.30078 1.35427
4743.92383 1.21387
4744.54688 1.3145
4745.16992 1.07581
4745.79297 1.25619
4746.41602 1.2561
4747.03906 1.21342
4747.66211 1.08519
4748.28516 1.04797
4748.9082 0.96162
4749.53125 1.40636
4750.1543 1.24962
4750.77734 1.25591
4751.40039 1.41497
4752.02344 1.47666
4752.64648 1.52089
4753.26953 1.27126
4753.89258 1.42336
4754.51562 1.05996
4755.13867 1.10295
4755.76172 1.50979
4756.38477 1.23891
4757.00781 1.2374
4757.63086 1.3776
4758.25391 0.96607
4758.87695 1.19874
4759.5 1.39263
4760.12305 1.47092
4760.74609 1.18833
4761.36914 1.2319
4761.99219 1.23215
4762.61523 1.28896
4763.23828 1.51344
4763.86133 1.6234
4764.48438 1.39829
4765.10742 1.59137
4765.73047 1.71358
4766.35352 1.57462
4766.97656 1.66917
4767.59961 1.38859
4768.22266 1.10895
4768.8457 1.23331
4769.46875 1.31493
4770.0918 1.49292
4770.71484 1.69042
4771.33789 1.65253
4771.96094 1.43113
4772.58398 1.49652
4773.20703 1.77357
4773.83008 1.41801
4774.45312 1.04895
4775.07617 0.93173
4775.69922 1.09599
4776.32227 1.66104
4776.94531 1.51004
4777.56836 1.24096
4778.19141 1.24635
4778.81445 1.03662
4779.4375 0.75095
4780.06055 0.85668
4780.68359 1.49195
4781.30664 1.54119
