#wave flux
3060.9358 4.01728
3062.8838 10.62258
3064.832 0.80539
3066.7812 2.36091
3068.7307 1.71711
3070.6809 3.22378
3072.6318 0.47661
3074.583 3.08649
3076.5352 0.73091
3078.4875 1.96608
3080.4407 0.48624
3082.3943 5.88508
3084.3486 3.99574
3086.3037 5.59008
3088.259 0.70083
3090.2151 1.67316
3092.1716 3.98189
3094.1289 0.68335
3096.0864 4.85793
3098.0449 2.72256
3100.0037 3.03629
3101.9631 0.96636
3103.9233 5.95631
3105.8838 4.00532
3107.8452 1.97087
3109.8069 2.62947
3111.7693 3.45138
3113.7322 3.70751
3115.6956 4.81248
3117.6597 1.31932
3119.6243 2.76659
3121.5894 3.78614
3123.5552 3.59059
3125.5215 3.61987
3127.4883 3.72473
3129.4558 3.85859
3131.4238 1.74262
3133.3923 2.84086
3135.3616 3.40387
3137.3313 3.48662
3139.3015 4.81817
3141.2722 3.47452
3143.2437 3.04725
3145.2156 2.60943
3147.188 1.8932
3149.1611 2.28161
3151.1348 2.61187
3153.1089 4.60749
3155.0837 4.38278
3157.0588 5.11544
3159.0349 2.8025
3161.0112 3.12222
3162.988 4.2202
3164.9656 3.36151
3166.9436 4.64219
3168.9224 3.95186
3170.9014 2.45561
3172.8811 3.66571
3174.8613 2.71878
3176.8423 2.57185
3178.8235 3.81666
3180.8054 3.38256
3182.7878 3.3079
3184.771 3.24777
3186.7544 3.65158
3188.7385 4.38152
3190.7231 4.7666
3192.7083 4.19752
3194.6941 3.93778
3196.6804 4.28445
3198.667 4.18313
3200.6545 3.63048
3202.6423 4.33862
3204.6309 3.59476
3206.6196 3.6079
3208.6091 4.31539
3210.5994 2.58469
3212.5898 3.92573
3214.5808 3.61578
3216.5725 2.61818
3218.5647 3.39959
3220.5576 4.40001
3222.5508 3.20116
3224.5444 3.53213
3226.5388 2.86673
3228.5337 4.16509
3230.5291 3.68315
3232.5249 3.88111
3234.5212 4.36898
3236.5183 4.43029
3238.5159 4.55771
3240.5139 3.55761
3242.5122 3.97743
3244.5115 3.24898
3246.511 3.22093
3248.511 3.58939
3250.5117 3.95066
3252.5129 3.65191
3254.5144 3.36968
3256.5168 3.29316
3258.5195 3.72181
3260.5227 3.02928
3262.5266 3.66009
3264.5308 3.42553
3266.5356 3.40947
3268.541 3.57143
3270.5466 3.60351
3272.553 3.90303
3274.5598 4.3526
3276.5674 3.1308
3278.5752 2.80697
3280.5835 3.3985
3282.5925 4.05169
3284.6018 3.79698
3286.6118 3.08922
3288.6223 3.01228
3290.6333 3.70454
3292.6448 3.93433
3294.6567 4.07416
3296.6692 3.95527
3298.6821 3.79029
3300.6958 4.01607
3302.7097 3.66712
3304.7241 2.64303
3306.7393 3.78076
3308.7546 3.18226
3310.7708 3.3885
3312.7871 4.03341
3314.8042 3.54361
3316.8218 4.00485
3318.8398 3.20048
3320.8584 3.84275
3322.8772 3.9842
3324.8967 2.72427
3326.9167 3.69839
3328.9373 2.89822
3330.9583 3.82135
3332.9797 3.53998
3335.0017 3.33097
3337.0244 3.73053
3339.0471 3.22485
3341.0708 3.36977
3343.0947 3.79354
3345.1191 3.73023
3347.144 3.17523
3349.1694 3.42398
3351.1953 3.45508
3353.2217 3.31823
3355.2488 3.72891
3357.2759 3.29976
3359.304 3.30053
3361.3323 3.36622
3363.3611 2.65115
3365.3904 3.25211
3367.4202 3.233
3369.4504 3.59983
3371.4812 3.32723
